	sch	sch_date	wmo	wmo_date	delta_days	station	min_date	max_date	records	latitude	longitude	station_name
3578	VC_ 	1994-01-20	61	1995-03-17	420	0-20001-0-71907	1950-01-01	2022-01-08	51403	58.45000076293945	-78.12999725341797	INUKJUAK UA, QUE
3579	XXX 	2002-09-29	132	2014-06-15	4277	0-20000-0-59023	1956-08-20	2021-12-31	28460	24.799999237060547	108.0	HECHI
3580	Run 	2003-09-16	NA	1900-01-01	-1	0-20000-0-33631	1925-04-14	2009-02-13	43848	48.630001068115234	22.270000457763672	Uzhhorod
3581	99	1978-12-25	99	1978-12-25	0	0-20000-0-83236	1970-01-02	1980-03-28	1574	-12.149999618530273	-45.0	BARREIRAS (83236-0)
3582	V9* 	2001-11-06	74	2001-11-07	0	0-20000-0-07481	1975-06-01	2011-02-28	36665	45.72600173950195	5.078000068664551	LYON-ST EXUPERY
3583	H9G 	2006-10-31	133	2016-11-08	3661	0-20000-0-54374	1956-08-20	2021-12-31	45574	41.720001220703125	126.8499984741211	LINJIANG
3584	-922	1978-12-30	38	1979-06-04	156	0-20000-0-62880	1953-01-01	1990-01-06	9079	7.699999809265137	28.020000457763672	WAU
3585	RZ3 	1990-04-21	28	1993-09-18	1245	0-20000-0-20069	1955-11-01	2000-09-07	27442	79.5	76.9800033569336	OSTROV VIZE
3586	VC_ 	1978-12-29	61	2004-11-22	9459	0-20000-0-06458	1920-02-11	2022-01-07	54969	50.900001525878906	4.5	BEAUVECHAIN
3587	XXX 	2006-09-29	79	2006-10-01	1	0-20000-0-61641	1904-01-01	2018-06-09	83451	14.729999542236328	-17.5	DAKAR/YOFF
3588	W__ 	1978-12-29	99	1980-03-22	448	0-20000-0-62941	1935-12-27	1986-03-17	13095	4.869999885559082	31.600000381469727	JUBA
3589	XXX 	2002-10-24	NA	1900-01-01	-1	0-20000-0-03026	1948-01-01	2002-10-25	77433	58.220001220703125	-6.320000171661377	STORNOWAY AIRPORT
3590	-922	1978-09-29	99	1980-01-09	466	0-20000-0-07130	1920-01-07	2002-08-01	8479	48.119998931884766	-1.6799999475479126	RENNES-SAINT JACQUES
3591	W__ 	1978-12-27	99	1980-06-06	526	0-20000-0-97300	1978-11-30	2022-01-08	25339	-8.630000114440918	122.25	MAUMERE/WAI OTI
3592	XXX 	1995-12-19	111	2017-06-14	7847	0-20000-0-42886	1944-05-11	2020-10-13	22928	21.920000076293945	84.08000183105469	JHARSIGUDA
3593	XXX 	1994-12-12	9	1994-12-18	6	0-20000-0-63125	1949-06-01	2021-12-24	13333	11.600000381469727	43.150001525878906	DJIBOUTI
3594	XXX 	2005-12-21	56	2006-05-11	141	0-20000-0-91943	1953-01-04	2009-07-30	27350	-14.520000457763672	-145.0500030517578	TAKAROA
3595	XXX 	1978-12-22	XXX 	1978-12-22	0	0-20000-0-78647	1943-07-01	1987-04-21	2642	13.920000076293945	-90.83000183105469	SAN JOSE (78647-0)
3596	XXX 	1988-03-14	99	1988-03-14	0	0-20000-0-54012	1963-06-22	1992-08-07	9140	44.58300018310547	117.5999984741211	XI UJIMQIN QI
3597	1	1978-12-26	1	1978-12-26	0	0-20000-0-63260	1965-05-04	1993-01-03	358	2.0299999713897705	45.349998474121094	MOGADISCIO
3598	99	1978-09-06	99	1978-09-06	0	0-20300-0-63624	1957-07-01	1990-06-27	6078	3.950000047683716	41.869998931884766	MANDERA
3599	-922	1978-12-30	8	1979-01-05	6	0-20000-0-78720	1947-08-01	2003-07-11	20366	14.050000190734863	-87.21700286865234	TEGUCIGALPA
3600	MRr 	1991-02-03	20	1991-10-05	244	0-20300-0-20274	1957-09-18	1996-08-23	25375	77.5	82.2300033569336	OSTROV UEDINENIA
3601	XXX 	1987-12-31	99	1987-12-31	0	0-20000-0-53898	1958-11-15	2002-06-03	11492	36.130001068115234	114.3499984741211	ANYANG
3602	VC_ 	1984-02-01	80	1993-11-01	3560	0-20000-0-63705	1957-07-01	2019-10-16	11358	0.05000000074505806	32.45000076293945	ENTEBBE AIRPORT
3603	I46 	2006-06-28	20	2006-06-29	0	0-20000-0-42339	1934-10-15	2022-01-08	86004	26.270000457763672	73.05000305175781	JODHPUR
3604	NA	NA	NA	NA	NA	0-20000-0-65015	2002-05-18	2002-05-18	1	1.0	12.170000076293945	6.7
3605	NA	NA	NA	NA	NA	0-20000-0-06910	2002-05-16	2002-05-16	1	1.0	47.20000076293945	8.17
