#primary_id	ncar_flag	igra2_flag	bufr_flag
# ncar		EL-GOLEA		30.57		2.87		1953-02-24		2008-06-30
# bufr		EL-GOLEA		30.57		2.87		1963-07-01		1972-12-28
# igra2		EL-GOLEA		30.567		2.867		1973-01-01		2008-12-31
0-20000-0-87416          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-10865          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-48940          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_48940.txt	/raid60/scratch/federico/databases/IGRAv2//LAM00048940-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.48940.bfr
# ncar		VIENTIANE		17.95		102.57		1954-07-01		1988-03-10
# bufr		VIENTIANE		17.98		102.57		1965-03-11		1975-11-20
# igra2		VIENTIANE		17.95		102.567		1973-01-01		1987-12-31
0-20000-0-1278           	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-40642          	-1                       	1                        	1                        	1                        -1	/raid60/scratch/federico/databases/IGRAv2//IZM00040642-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.40642.bfr
# ncar		-		-		-		-		-
# bufr		RUTBAH		33.03		40.28		1964-10-17		1972-12-29
# igra2		RUTBAH		33.033		40.283		1973-01-01		1980-12-31
0-20000-0-47580          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_47580.txt	/raid60/scratch/federico/databases/IGRAv2//JAM00047580-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.47580.bfr
# ncar		MISAWA AB		40.68		141.38		1964-09-02		2019-03-31
# bufr		MISAWA AB		40.68		141.38		1964-09-02		1978-12-31
# igra2		MISAWA AB		40.705		141.372		1948-01-01		2019-12-31
0-20000-0-29649          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-3949           	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
