	date_time	sensor_id	value	source	comment
5902	2021-10-07 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5903	2021-10-08 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5904	2021-10-08 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5905	2021-10-09 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5906	2021-10-09 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5907	2021-10-10 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5908	2021-10-10 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5909	2021-10-11 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5910	2021-10-11 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5911	2021-10-12 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5912	2021-10-12 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5913	2021-10-13 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5914	2021-10-13 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5915	2021-10-14 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5916	2021-10-14 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5917	2021-10-15 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5918	2021-10-15 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5919	2021-10-16 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5920	2021-10-16 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5921	2021-10-17 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5922	2021-10-17 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5923	2021-10-18 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5924	2021-10-18 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5925	2021-10-19 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5926	2021-10-19 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5927	2021-10-20 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5928	2021-10-20 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5929	2021-10-21 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5930	2021-10-21 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5931	2021-10-22 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5932	2021-10-22 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5933	2021-10-23 11:31:00	58	2	WMO	AVK-BAR (Russian Federation)                
5934	2021-10-23 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5935	2021-10-24 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5936	2021-10-24 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5937	2021-10-25 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5938	2021-10-25 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5939	2021-10-26 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5940	2021-10-26 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5941	2021-10-27 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5942	2021-10-27 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5943	2021-10-28 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5944	2021-10-28 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5945	2021-10-29 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5946	2021-10-29 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5947	2021-10-30 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5948	2021-10-30 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5949	2021-10-31 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5950	2021-10-31 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5951	2021-11-01 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5952	2021-11-01 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5953	2021-11-02 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5954	2021-11-02 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5955	2021-11-03 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5956	2021-11-03 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5957	2021-11-04 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5958	2021-11-04 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5959	2021-11-05 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5960	2021-11-05 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5961	2021-11-06 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5962	2021-11-06 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5963	2021-11-07 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5964	2021-11-07 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5965	2021-11-08 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5966	2021-11-08 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5967	2021-11-09 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5968	2021-11-09 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5969	2021-11-10 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5970	2021-11-10 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5971	2021-11-11 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5972	2021-11-11 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5973	2021-11-12 12:00:00	58	2	WMO	AVK-BAR (Russian Federation)                
5974	2021-11-12 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5975	2021-11-13 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5976	2021-11-13 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5977	2021-11-14 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5978	2021-11-14 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5979	2021-11-15 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5981	2021-11-16 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5982	2021-11-16 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5983	2021-11-17 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5984	2021-11-17 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5987	2021-11-19 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5988	2021-11-19 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5989	2021-11-20 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5990	2021-11-20 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5991	2021-11-21 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5992	2021-11-21 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5993	2021-11-22 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5994	2021-11-22 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5995	2021-11-23 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5996	2021-11-23 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5997	2021-11-24 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5998	2021-11-24 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5999	2021-11-25 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6000	2021-11-25 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6001	2021-11-26 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6002	2021-11-26 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6003	2021-11-27 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6004	2021-11-27 23:31:00	58	2	WMO	AVK-BAR (Russian Federation)                
6005	2021-11-28 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6006	2021-11-28 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6009	2021-11-30 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6010	2021-11-30 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6011	2021-12-01 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6012	2021-12-01 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6013	2021-12-02 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6014	2021-12-02 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6015	2021-12-03 11:31:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6016	2021-12-03 23:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6017	2021-12-04 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6023	2021-12-07 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6024	2021-12-07 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6025	2021-12-08 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6026	2021-12-08 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6053	2021-12-22 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
6054	2021-12-22 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
6055	2021-12-23 12:00:00	58	2	WMO	AVK-BAR (Russian Federation)                
6056	2021-12-23 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
