	station_id	WMO_id	station_name	latitude	longitude
158	4727	-999	Mys Zhelania	76.95	68.58
159	4728	-999	Ostrov Chetyriohstolbovii	70.63	162.4
160	4729	-999	Ostrov Dikson	73.5	80.4
161	4730	-999	Barenzburg	78.05	14.25
162	4731	-999	Buhta Tihaya	80.32	52.8
163	4732	-999	Buhta Tiksi	71.58	128.92
164	4733	-999	Buhta Varneka	69.72	60.05
165	4734	-999	Mys Cheliuskina	77.72	104.28
166	4735	-999	Mys Shmidta	68.92	180.53
167	4736	-999	Mys Zhelania	76.85	68.58
168	4737	-999	Ostrov Chetyriohstolbovii	70.63	162.4
169	4738	-999	Ostrov Dikson	73.5	80.4
170	4739	-999	Barenzburg	78.05	14.25
171	4740	-999	Buhta Tihaya	80.32	52.8
172	4741	-999	Buhta Tiksi	71.58	128.92
173	4742	-999	Mys Cheliuskina	77.72	104.28
174	4743	-999	Mys Shmidta	68.92	180.53
175	4744	-999	Mys Zhelania	76.85	68.58
176	4745	-999	Ostrov Chetyriohstolbovii	70.63	162.4
177	4746	-999	Ostrov Dikson	73.5	80.4
178	4747	-999	Buhta Tihaya	80.32	52.8
179	4748	-999	Buhta Tiksi	71.58	128.92
180	4749	-999	Mys Cheliuskina	77.72	104.28
181	4750	-999	Mys Shmidta	68.92	180.53
182	4751	-999	Ostrov Chetyriohstolbovii	70.63	162.4
183	4752	-999	Ostrov Dikson	73.5	80.4
184	4753	-999	Uelen	66.17	190.17
185	4754	-999	Amderma	69.75	61.7
186	4755	-999	Buhta Providenia	64.4	186.77
187	4756	-999	Buhta Tihaya	80.32	52.8
188	4757	-999	Buhta Tiksi	71.58	128.92
189	4758	-999	Mys Cheliuskin	77.72	104.28
190	4759	-999	Mys Shmidta	68.92	180.53
191	4760	-999	Mys Zhelania	76.85	68.58
192	4761	-999	Ostrov Chetyriohstolbovii	70.63	162.4
193	4762	-999	Ostrov Dikson	73.5	80.4
194	4763	-999	Ostrov Kotelnii	76.0	137.9
195	4764	-999	Amderma	69.77	61.75
196	4765	-999	Buhta Providenia	64.4	186.77
197	4766	-999	Buhta Tihaya	80.32	52.8
198	4767	-999	Buhta Tiksi	71.58	128.92
199	4768	-999	Mys Cheliuskin	77.72	104.28
200	4769	-999	Mys Shmidta	68.92	180.53
201	4770	-999	Mys Zhelania	76.85	68.58
