primary_id	file
0-20000-0-03808	CC_UK__Network_M__Code_000__StationId_03808__Latitude_50.2183__Longitude_-5.3275__Elev_87.0__dummy_nan__StationName_CAMBORNE__From_1949__To_2020__Nrec_66062__
0-20000-0-03882	CC_UK__Network_M__Code_000__StationId_03882__Latitude_50.8994__Longitude_0.3169__Elev_52.0__dummy_nan__StationName_HERSTMONCEUX__From_1993__To_2020__Nrec_21792__
0-20000-0-03917	ALDERGROVE ARPT__From_1949__To_1962__Nrec_4234__
0-20000-0-03953	CC_EI__Network_M__Code_000__StationId_03953__Latitude_51.9381__Longitude_-10.2433__Elev_23.9__dummy_nan__StationName_VALENTIA OBSERVATORY__From_1949__To_2020__Nrec_68007__
0-20000-0-04018	CC_IC__Network_M__Code_000__StationId_04018__Latitude_63.9806__Longitude_-22.595__Elev_52.0__dummy_nan__StationName_KEFLAVIKURFLUGVOLLUR__From_1946__To_2020__Nrec_65872__
0-20000-0-04030	CC_IC__Network_X__Code_UAE__StationId_05425__Latitude_64.13__Longitude_-21.9__Elev_61.0__dummy_nan__StationName_REYKJAVIK__From_1921__To_1939__Nrec_270__
0-20000-0-04063	CC_IC__Network_X__Code_UAE__StationId_05424__Latitude_65.7__Longitude_-18.0__Elev_4.0__dummy_nan__StationName_AKUREYRI__From_1909__To_1928__Nrec_271__
0-20000-0-04089	CC_IC__Network_M__Code_000__StationId_04089__Latitude_65.2833__Longitude_-14.4__Elev_23.0__dummy_nan__StationName_EGILSSTADIR__From_1996__To_2020__Nrec_2447__
0-20000-0-04202	CC_GL__Network_M__Code_000__StationId_04202__Latitude_76.533__Longitude_-68.75__Elev_77.0__dummy_nan__StationName_PITUFFIK__From_1946__To_2006__Nrec_50379__
0-20000-0-04220	CC_GL__Network_M__Code_000__StationId_04220__Latitude_68.7081__Longitude_-52.8517__Elev_43.0__dummy_nan__StationName_AASIAAT (EGEDESMINDE)__From_1950__To_2020__Nrec_45877__
0-20000-0-04231	CC_GL__Network_M__Code_000__StationId_04231__Latitude_67.0__Longitude_-50.8__Elev_46.0__dummy_nan__StationName_KANGERLUSSUAK__From_1946__To_1950__Nrec_3155__
0-20000-0-04270	CC_GL__Network_M__Code_000__StationId_04270__Latitude_61.1667__Longitude_-45.4167__Elev_34.0__dummy_nan__StationName_MITTARFIK NARSARSUAQ__From_1946__To_2020__Nrec_54566__
