wmo_id	wmo_comments	sch_id	sch_comments
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MV1	 MV1 Mixed Vaisala RS80 DigiCORA (VC_) and PCCora (VD_)^ Based on 31313, mixed DigiCORA (VC_=61) and PCCora (VD_=62), but if 31313 is missing assume VD_
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MRV	 MRV Mixed Russia MARS-2-2 (RRB) and Vaisala RS80 LoRAN (VHL)^ both with DP to T around -40 but VHL averages drier than RRB
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MC4	 MC4 Mixed Canada Valcom (CVA) and Vaisala RS80 DigiCORA (VC_^ Canada mid-1990s, mixed Valcom (31=CV2) and Vaisala RS80 DigiCORA or Marwin (61=VC_), missing 31313 may be CV2
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MB1	 MB1 Mixed Czech Vinohrady (BCV) and Vaisala RS80 DigiCORA (VC_)^ Station 11520 in early 1992, mixed WMO=61 (VC_, Vaisala RS80 DigiCORA, reported by 31313 or with complete DP) and
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MV4	 MV4 Mixed Vaisala RS80 DigiCORA I/II/Marwin Omega (VCV, 31313=46105) and RS80 DigiCORA I/II/Marwin LoRAN (VCL, 31313=46106) through 19970930 1100^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVQ	 MVQ Mixed Vaisala RS80 DigiCORA I, II, or Marwin GPS (VCG, 31313=46108) and RS90 LoRAN (V9l, 31313=47106)^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVC	 MVC Mixed Vaisala RS80 DigiCORA no wind (VCN, 31313=46100) and RS80 DigiCORA GPS wind (VCG, 31313=46108)^ Station 48615 in 1999 after Omega is discontinued, 31313=46100 reported as
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VAL	 VAL Vaisala RS80 MicroCora radiosonde auto corr, LoRAN wind 31313=43706^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VC6	 VC6 Vaisala RS80 DigiCORA I, II, or Marwin no corr, LoRAN wind 31313=06106^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=L>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VC8	 VC8 Vaisala RS80 DigiCORA I, II, or Marwin no corr, GPS wind 31313=06108^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G>
