sensor_id,comment
BN1,  BN1 North Korea Poin radiosonde {late 1990s}^
BOJ,"  BOJ Indonesia/Japan Institute of Technology Bandung Meisei RS-01G {2004} 31313=55508^ (W3=55) <F=T403.7-405.2DL,P=none,T=TR,U=A,N=GD>"
BPB,"  BPB Poland Univ of Warsaw boundary layer radiosonde {~1980}^ <F=T403FL,P=none,T=T,U=W> University of Warsaw"
BPL,  BPL Poland modified Lang radiosonde {mid 1950s}^
BPR,"  BPR Poland RM-12 radiosonde {1964}^ (T=330) <F=V400??,P=A,T=B,U=G,W=Dm>"
BQA,  BQA Taiwan Aerosonde Team (TAT) model aircraft profiler {development 2002}^
BRO,  BRO Aeronautics Defense Systems Ltd. Orbiter Mini UAV (MUAV) {~2005}^
BSK,"  BSK Sri Lanka integrated circuit radiosonde {2005}^ <F=T401DL,P=S,T=S,U=S,W=?>"
BT4,"  BT4 Pakistan fan type 403-MHz FM radiosonde {~1970?}^ <F=V403F?,P=A,T=B,U=W(?),W=Dm>"
BTM,"  BTM Pakistan Metallier fan type radiosonde {early 1960s}^ (I=P) <F=V28??,P=A,T=B,U=W(?),W=Dm>"
BUV,  BUV Hungary Vaisala-type radiosonde {1950s}^
BW1,"  BW1 Sweden Vaisala RS11 assembled by Elvometer {1944}^ <F=T25FR,P=Ac,T=BSc,U=Hc>"
BWA,"  BWA Sweden Vaisala RS11 assembled by Elvometer, 30 MHz {Spring 1957}^ <F=T30FR,P=Ac,T=BSc,U=Hrc>"
BWa,"  BWa Sweden Vaisala RS11 assembled by Swedish Meteorological Institute {1943}^ <F=T25FR,P=Ac,T=BSc,U=Hc>"
BY2,"  BY2 Norway Vaisala RS12 {1960}^ <F=V25FR,P=Ac,T=BSc,U=Hrc>"
BYC,  BYC Norway Northern Research Institute CryoWing model airplane {~2007?}^
BYJ,"  BYJ Norway Dahl Jenssen radiosonde {1940s}^ <V=V25FE,P=Ac,T=BC,U=Hc>"
BYR,"  BYR Norway Defense Research Establishment refractive index sonde {1966}^ <F=V72??,P=A,T=W(platinum),U=2Op>"
BYS,"  BYS Norway Univ of Bergen Small Unmanned Meteorological Observer (SUMO) model airplane radiosonde {2007}^ <F=T?,P=?,T=?,U=?,W=GA>"
BZA,"  BZA New Zealand modified Australian sonde with 200 MHz transponder {~1945}^ <F=?,P=?,T=?,U=?,W=T200>"
BfA,"  BfA South Africa InterMet Africa iMet-2-AB 403 MHz with pres GPS sonde, no correction {~2009}^ <F=T403FL,P=Sp,T=TB,U=A,N=G>"
BfB,"  BfB South Africa InterMet Africa iMet-2-BB 1680 MHz with pres GPS sonde, no correction {~2012}^ <F=T1680FL,P=Sp,T=TB,U=A,N=G>"
BfI,"  BfI South Africa InterMet Africa iMet-2-BI 1680 MHz RDF radiosonde, no correction {~2012}^ <F=T1680FL,P=Sp,T=TB,U=A,W=Ra>"
Bfa,"  Bfa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, no correction {~2009} 31313=09908^ <F=T403FL,P=none,T=TB,U=A,N=G>"
Bfb,"  Bfb South Africa InterMet Africa iMet-2-BA 1680 MHz no pres GPS sonde, no correction {~2012} 31313=0??08^ <F=T1680FL,P=none,T=TB,U=A,N=G>"
CA3,"  CA3 Canada Aero Aqua 3003 Temperature Minisonde^ <F=T400-405A-,T=TB>"
CAA,"  CAA Canada Aero Aqua AA1 Minisonde {1982}^ <F=T403A-,T=TB,W=2O>"
CAL,  CAL Canada low level high sensitivity temperature sonde {1962}^
CAM,"  CAM Canada Atmospheric Environment Service Minisonde {1974}^ <T=T,W=2O>"
CC2,"  CC2 Canada Chronometric 67.5 MHz radiosonde, hair hygrometer {1939}^ <F=V65-67.5HE,P=A,T=B,U=H,W=O>"
CC3,"  CC3 Canada Chronometric 67.5 MHz radiosonde, goldbeaters skin hygrometer {1940s}^ (I=C1 Canada 67.5 MHz, T=136) <F=V65-67.5HE,P=A,T=B,U=H,W=O>"
CC4,"  CC4 Canada Chronometric 67.5 MHz reduced radiation error radiosonde {1959}^ (I=C1 Canada 67.5 MHz, T=136) <F=V65-67.5HE,P=A,T=B,U=G,W=O>"
CC_,  CC_ Canada Chronometric unspecified model {1939}^ (T=135)
CGI,"  CGI Canada General Instruments radiosonde, Bendix design {1961}^"
CLL,  CLL Canada low level radiosonde {~1973}^ <F=?403>
CM1,"  CM1 Canada J. Patterson light flash transmission meteorograph {1931}^ <F=L,P=A,T=B,U=none>"
CM2,"  CM2 Canada J. Patterson PT light flash transmission meteorograph {early 1930s}^ <F=L,P=A,T=B,U=none>"
CPC,"  CPC Canada/Portugal VIZ type Model IV radiosonde {1966}^ with carbon hygristor (W1=06 called Portugal, W2=06 ending 198607, many reports 1989-1991)"
CPL,  CPL Canada VIZ type LiCl hygristor radiosonde {early 1950s}^ (I=C2 Canada 403 MHz)
CS1,"  CS1 Canada Sangamo VIZ LiCl hygristor 107 MHz {1963}^ <F=V107AB,P=A,T=TB,U=L>"
CS2,"  CS2 Canada Sangamo VIZ LiCl hygristor 403 MHz {1962}^ <F=V403AB,P=A,T=TB,U=L>"
CS3,"  CS3 Canada Sangamo VIZ LiCl hygristor 1680 MHz {1962}^ <F=V1680AB,P=A,T=TB,U=L>"
CS4,"  CS4 Canada Sangamo VIZ Carbon hygristor 1680 MHz {1966}^ <F=V1680AB,P=A,T=TB,U=C>"
CS5,"  CS5 Canada Sangamo VIZ new humidity duct 1680 MHz {~1973}^ <F=V1680AB,P=A,T=TB,U=C>"
CS6,"  CS6 Canada Sangamo 1680 MHz like VIZ 1292-410 {~1974}^ <F=V1680AB,P=A,T=TB,U=C>"
CS7,"  CS7 Canada Sangamo 1680 MHz like VIZ 1392-410 {~1979}^ <F=V1680AB,P=A,T=TB,U=C>"
CSD,"  CSD Canada Sangamo VIZ Carbon hygristor 107 MHz {1966}^ <F=V107AB,P=A,T=TB,U=C>"
CSE,"  CSE Canada Sangamo VIZ new humidity duct 107 MHz {~1973}^ <F=V107AB,P=A,T=TB,U=C>"
CSF,"  CSF Canada Sangamo 403 MHz like VIZ 1292-410 {~1974}^ <F=V403AB,P=A,T=TB,U=C>"
CSG,"  CSG Canada Sangamo 403 MHz like VIZ 1392-410 {~1979}^ <F=V403AB,P=A,T=TB,U=C>"
CSM,"  CSM Canada Sangamo Mini-T-Sonde Ref. 909161 {~1973}^ <F=T403FE,P=? or none,T=TB,W=TO>"
CS_,"  CS_ Canada Sangamo VIZ unspecified model {1962} WMO instr=31^ (W2=18 starting 198607, W3=31, C=751)"
CVA,  CVA Canada Valcom VIZ A model 1492-510 Accu-Lok {1986} WMO instr=31^ (W3=31)
CVB,  CVB Canada Valcom VIZ B model 1492-520 Accu-Lok {~1989} WMO instr=48^ (W3=48)
CVJ,"  CVJ Canada Valcom VIZ model 1392 radiosonde {1982}^ <F=V1680AB,P=A,T=TB,U=C>"
CVT,"  CVT Canada Valcom ""RAF80"" VIZ model 1399 transponder radiosonde {1982}^ <F=V1680AB,P=A,T=TB,U=C>"
CV_,  CV_ Canada Valcom VIZ unspecified model {1982}^
C__,  C__ Canada unspecified model^ (I=C Canada)
DA1,"  DA1 Germany Sprenger E071 Temperatursonde {1968}^  <F=V?,P=? (not visible even with apparent detailed pictures),T=TB,U=none>"
DA7,"  DA7 Germany Sprenger E077 low level T only radiosonde {1982}^ <F=T402-404??,U=0>"
DAD,"  DAD Germany Sprenger E084 SMD Q low level Temperatursonde {1977} WMO instr=40^ (W3=40) <F=T405-L,T=TB(fm)>"
DAE,"  DAE Germany Sprenger E085 SMD Q 400 Zweikanalsonde {1977} WMO instr=41^ (W3=41) <F=T405FS,T=TBd(fm),U=C(VIZ,am)>"
DAF,  DAF Germany Sprenger E086 radiosonde {~ 1980s} WMO instr=42^ (W3=42)
DAI,"  DAI Germany Albiswerk-ISM radiosonde {1968)^ <F=?,P=?,T=?,U=?,W=Ta>"
DAQ,  DAQ Germany Sprenger E076 Q 400 radiosonde {1976} WMO instr=39^ (W3=39) with VIZ carbon sensor
DAU,  DAU Germany Sprenger high-resolution radiosonde {< 1964}^ <F=V??C>
DA_,  DA_ Germany Sprenger unspecified model^
DB6,"  DB6 Germany BBL Elektronik DS96 radiosonde {1998}^ tested at Lindenberg in 1998 <F=T402-406FL,P=A,T=W,U=C(VIZ)>"
DB9,"  DB9 Germany BBL Elektronik DS99 radiosonde, no pressure sensor {1999}^ <F=T402-406FL,P=0,T=W,U=A>"
DBB,"  DBB East Germany Boomerang radiosonde {early 1950s design}^ <F=V4??> (Meteorological Observatory, Potsdam)"
DBD,"  DBD Germany BBL Elektronik DS99GPSD radiosonde, with pressure sensor {1999}^ <F=T402-406FL,P=A,T=W,U=A,N=Gc>"
DBG,"  DBG Germany BBL Elektronik DS99GPS radiosonde, no pressure sensor {1999}^ <F=T402-406FL,P=0,T=W,U=A,N=Gc>"
DBH,"  DBH Germany Becker Hey (Gehlhaar) marinesonde RS3 {1939}^ <F=V8 and 10FT,P=Mi(""Gasbarometer""),T=Kc,U=Wi(mercury thermometer)>"
DBg,"  DBg Germany BBL Elektronik DS96GPS radiosonde {1998}^ used by German military <F=T402-406FL,P=A,T=W,U=C(VIZ),N=Gc>"
