sensor_id,comment
OJ9,"  OJ9 (J94) Japan Meisei RSII-KC96 carbon-iodine ECC type ozonesonde {1996?}^ <F=T1680FL,P=Ac,T=TR,U=A?>"
OJG,  OJG (---) Japan Geophysics Research Lab optical rocket ozonesonde {1965}^
OJH,"  OJH (J0E) Japan Meisei KC-02GE ECC type ozonesonde with Meisei RS-01GE {2004?}^ <F=T404.5FL,P=none,T=TR,U=A,N=GD>"
OJJ,"  OJJ (J06) Japan Meisei RS-06G(E) ECC type ozonesonde with Meisei RS-06G {2008}^ <F=T404.5FL,P=none,T=TR,U=A,N=GD>"
OJK,"  OJK (---) Japan MRI potassium iodide Regener-type ozonesonde {1964}^ <F=V1680A(?)B,P=B,T=T> Meteorological Research Institute (MRI), Tokyo"
OJL,"  OJL (---) Japan MRI ""luminol"" chemiluminescent ozonesonde {1965}^ Meteorological Research Institute (MRI), Tokyo"
OJM,"  OJM (QJe) Japan MRI MT-160-2 optical absorption rocket ozonesonde {1970}^ <F=?1687H-,P=?,T=W,W=Ta1673>"
OJO,"  OJO (---) Japan MRI optical Paetzold-type ozonesonde {1960}^ <F=V1680A(?(B,P=B,T=T> Meteorological Research Institute (MRI), Tokyo"
OJS,"  OJS (J56) Japan MRI or Meisei RS2-KC-70 carbon-iodine chemiluminescent ozonesonde {1965}^ <F=V1680F(?)L,P=B,T=T> Meteorological Research"
OJT,  OJT (QJD) Japan Rocket-borne Optical Ozone Dropsonde (ROOD) {199008}^
OJU,"  OJU (---) Japan Tohuku Univ optical ozonesonde {1994}^ Upper Atmosphere and Space Research Laboratory, Tohoku University, Japan"
OJV,  OJV (?) Japan Meisei RSII-KT65 ozonesonde {1965}^
OJZ,"  OJZ (J01) Japan Meisei KC-02G carbon-iodine ECC type ozonesonde with Meisei RS-01G radiosonde {2002?}^ <F=T404.5FL,P=none,T=TR,U=A,N=GD>"
OJu,"  OJu (---) Japan Tohuku Univ GPS optical ozonesonde {2002}^ <F=T1680DL,P=S,T=T,N=G> Upper Atmosphere and Space Research Laboratory, Tohoku Univ, Japan"
OM1,"  OM1 (many sondes) USA Mast Ozonesonde, initial production version {<= 1963}^"
OM3,  OM3 (many sondes) USA Mast Ozonesonde model 3 {<1969}^
OM5,  OM5 (many sondes) USA Mast Ozonesonde 730-5 {<= 1966}^
OM6,  OM6 (many sondes) USA Mast Ozonesonde 730-6 {<= 1965}^
OM7,  OM7 (many sondes) USA Mast USAF Ozonesonde 730-7 no thermistor {~1970}^
OM8,  OM8 (many sondes) USA Mast Ozonesonde 730-8 {1976}^
OMA,  OMA (many sondes) USA Mast Ozonesonde 730-10 {~2000}^
OMT,  OMT (many sondes?) USA Mast USAF Ozonesonde 730-7T thermistor {~1970}^
OM_,"  OM_ (many sondes) USA Mast Ozonesonde, unspecified model {<= 1963}^"
OP1,"  OP1 (many sondes) USA USWB tube type radiosonde, NOAA ECC-1A ozonesonde {1967}^"
OP2,  OP2 (many sondes) USA Science Pump Corporation ECC-2A ozonesonde {1975}^
OP3,  OP3 (many sondes) USA Science Pump Corporation ECC-3A (square pump) ozonesonde {1977}^
OP4,  OP4 (many sondes) USA Science Pump Corporation ECC-4A (redesigned cylindrical pump) ozonesonde {1983}^
OP5,  OP5 (many sondes) USA Science Pump Corporation ECC-5A (reduced interference) ozonesonde {~1990}^
OP6,  OP6 (many sondes) USA Science Pump Corporation ECC-6A (pump thermistor) ozonesonde {~ 1998}^
OPC,  OPC (many sondes) USA NOAA ECC carbon iodine ozonesonde {~ 1963}^
OPD,"  OPD (many sondes) USA USWB tube type radiosonde, NOAA ECC-1D ozonesonde {~ 1970}^"
OPF,  OPF (many sondes) USA Science Pump Corporation ECC-4A (new pump motor) ozonesonde {~1987}^
OPI,  OPI (many sondes) USA NOAA ECC KI/C ozonesonde {1967}^
OPK,  OPK (many sondes) USA NOAA ECC KI ozonesonde {1967}^
OPb,"  OPb (many sondes) USA USAF AN/AMT-4B radiosonde, NOAA ECC-1B ozonesonde {~ 1970}^"
OPc,"  OPc (many sondes) USA USAF AN/AMT-12 radiosonde, DP mirror, NOAA ECC-1C ozonesonde {~ 1970}^"
OPe,  OPe (many sondes) USA Science Pump Corporation ECC-5A (digital electronic interface) ozonesonde {~1986}^
OPp,  OPp (many sondes) USA NOAA ECC Pb3O4 ozonesonde {1967}^
OR1,  OR1 (---) USSR CAO UV absorption ozonesonde {1963}^
OR2,"  OR2 (RA4, RZ2, or RZ5) USSR OSE-2 electrochemical ozonesonde {1976}^"
ORC,  ORC (RZ3) Russia CL-CAO or CL-RUS chemoluminescent ozonesonde {1989}^
ORE,  ORE (---) USSR eclipse Hartley band absorption rocket ozonesonde {1961}^
ORH,  ORH (---) Russia CAO gas phase chemoluminescent rocket ozonemeter {~ 1984}^
ORK,  ORK (---) USSR chemiluminescent disc rocket ozonesonde {~1976}^
ORL,  ORL (RRB) Russia CAO electrochemical concentration cell improved ozonesonde {1991}^
ORO,  ORO (---) Russia CAO optical filter rocket ozonemeter {~ 1984}^
ORP,  ORP (---) USSR photoelectric multiplier ozonesonde {~ 1966}^
ORR,  ORR (---) Russia CAO Rhodamin disc chemoluminescent rocket ozonemeter {~ 1984}^
ORS,  ORS (---) USSR UV spectral photometer rocket ozonesonde {1974}^
ORU,  ORU (---) USSR lunar Chappuis band absorption rocket ozonesonde {~1961}^
ORe,  ORe (RRB) Russia CAO electrochemical concentration cell ozonesonde {1989}^
ORr,  ORr (---) Russia CAO rocket Microsonde thin film ozone sensor {~ 1992}^
OS1,  OS1 (SRC) Switzerland SRS-C34 with En-Sci model Z ECC ozonesonde {~ 2000}^
OS2,  OS2 (SRd) Switzerland SRS-C34 with Snow White day version and Science Pump ECC-6A ozonesonde {<= 2005}^
OS3,"  OS3 (SR-) Switzerland SRS-C34 no pressure with Science Pump ECC-6A ozonesonde {<= 2010}^ <F=T400DL,P=0,T=H,U=A,W=Ra(?)>"
OS4,"  OS4 (SR-) Switzerland SRS-C34 hypsometer with Science Pump ECC-6A ozonesonde {<= 2010}^ <F=T400DL,P=H(water),T=H,U=A,W=Ra(?)>"
OSG,  OSG (SGd) Switzerland SRS-C34 GPS with Snow White day version and Science Pump ECC-6A ozonesonde {<= 2005}^
OU1,"  OU1 (---) USA NBS radiometric ozonesonde {1937}^ <F=V50AB,P=B>"
OU2,"  OU2 (---) USA NBS radiometric ozonesonde {1938}^ <F=V50AB,P=B>"
OU4,  OU4 (OU4) USA AN/AMT-14 ozonesonde {1960s?}^
OUA,"  OUA (U4_ or Uc_) USA Regener luminol chemiluminescent ozonesonde, initial AFCRL version {1960}^ New Mexico State University, Albuquerque"
OUB,"  OUB (U4_ or Uc_) USA Regener Rhodamine-B chemiluminescent ozonesonde, low sensitivity AFCRL version {196309}^ New Mexico State University, Albuquerque"
OUC,"  OUC (U4_ or Uc_) USA Regener Rhodamine-B chemiluminescent ozonesonde, C version for AFCRL {196405}^ New Mexico State University, Albuquerque"
OUD,  OUD (---) USA Space Data chemiluminescent rocket ozonesonde Super Loki {~1977}^
OUE,  OUE (various sondes) USA unstated ECC-type ozonesonde {1990s or later}^
OUG,  OUG (---) USA GSFC chemiluminescent rocket ozonesonde {1968}^
OUH,  OUH (UF4) USA Univ of New Hampshire Targeted Wind Sensing (TWS) mini-ozone semiconductor sensor {2005}^
OUI,  OUI (TUw) USA AIR OZ-3A-T Brewer-type KI ozonesonde {late 1980s}^
OUJ,  OUJ (---) USA NOAA Aeronomy Lab dry chemiluminescence ozonesonde {~1978}^
OUK,"  OUK (OUK) USA NOAA Oak Ridge tethered balloon ozonesonde {~mid-1980s}^ <F=?,T=?,U=?,W=A>"
OUM,"  OUM (---) USA METEORS UV absorption rocket ozonesonde {~ 1990s}^ (NASA Langley Research Center, Hampton, VA)"
OUN,  OUN (V8_) USA CIRES WindTram kite ozonesonde {1993}^
OUO,  OUO (QUG) USA New Mexico State University - Project Ozarc Paetzold ozonesonde for Arcas rocket {1959}^
OUP,"  OUP (---) USA Physical Sciences ozone photometer {1997}^ Physical Sciences Inc. (PSI), Andover, Massachusetts"
OUQ,  OUQ (---) USA V-2 rocket ozonesonde {~1946}^
OUS,  OUS (---) USA GSFC ROCOZ-A rocket ozone Datasonde for Super-Loki {1983}^
OUT,  OUT (---) USA solar twilight absorption rocket ozonesonde {1966}^
OUU,"  OUU (---) USA 2B Technologies Model 202 ultraviolet ozone tethersonde {2003}^ 2B Technologies, Golden, Colorado"
OUV,  OUV (---) USA Univ of Colorado ultraviolet ozonesonde {1996}^
OUW,  OUW (V8A) USA University of Wyoming digital ECC ozonesonde {1987}^
OUX,"  OUX (QUr) USA Army STS chemiluminescent rocket ozonesonde {1965}^ <F=T1680AM,P=none,T=TB> US Army Electronics Command"
OUY,"  OUY (---) USA NOAA Aeronomy Lab fast-response UV ozonesonde {1981}^ <F=?,P=S(transducer),T=T>"
OUZ,  OUZ (---) USA ROCOZ rocket ozonesonde for ARCAS {1963}^
OUa,"  OUa (ZB_) USA Regener luminol chemiluminescent ozonesonde, initial USWB version {1963}^ New Mexico State University, Albuquerque"
OUb,"  OUb (ZC_ or ZD_) USA Regener Rhodamine-B chemiluminescent ozonesonde, low sensitivity USWB version {196309}^ New Mexico State University, Albuquerque"
OUc,"  OUc (ZC_ or ZD_) USA Regener Rhodamine-B chemiluminescent ozonesonde, C version for USWB {196405}^ New Mexico State University, Albuquerque"
OUd,  OUd (---) USA Dasibi UV absorption model 1003-AH ozone photometer on balloon {1978}^
OUn,  OUn (---) USA New York University ozonesonde {1953}^
OUr,  OUr (---) USA Regener wet chemical ozonesonde {1957}^
OUs,  OUs (---) USA Dasibi UV absorption model 1003-A ozone photometer on balloon {1972}^
OUu,  OUu (---) USA Utah State Univ NO2 and ozone dropsonde {1977}^
OUz,  OUz (---) USA GSFC ROCOZ ozonesonde for Super Loki {1970s?}^
OV1,  OV1 (V13) Vaisala NS11 radioactivity sonde with Mast ozone sensor {~ 1965}^
OV2,  OV2 (V15 assumed) Vaisala OS II Mast ozonesonde {~ 1967}^
OV5,  OV5 (VHE) Vaisala RS80-15NE Omega wind plus Science Pump ECC-5A ozonesonde {1988}^
OV6,  OV6 (VHY) Vaisala RS80-15GE (frequency drift fixed) with Science Pump ECC-6A ozonesonde {after 199905}^
OV9,  OV9 (V9_) Vaisala RS90 with Science Pump ECC-6A ozonesonde {~ 2000}^
OVA,  OVA (VHE assumed) Vaisala RS80E plus Science Pump ECC-6A ozonesonde {~ late 1980s}^
OVG,  OVG (VHX) Vaisala RS80-15GE with Science Pump ECC-6A ozonesonde {1998}^
OVH,  OVH (VHh) Vaisala RS80-15H plus EnSci 2Z ECC ozonesonde {2000}^
OVJ,  OVJ (VJH) Vaisala RS80-18H or RS80-18NH plus Science Pump ECC-5A ozonesonde {mid 1990s}^
OVK,  OVK (VJH) Vaisala RS80-18H or RS80-18NH plus EnSci 1Z ozonesonde {mid 1990s}^
OVM,"  OVM (VNE or VNe) Vaisala RS92KE or RS92KLE analog sonde, RSA112 interface kit, Mast 730-10 ozonesonde {2004}^"
OVP,"  OVP (VNE or VNe) Vaisala RS92KE or RS92KLE analog sonde, RSA111 interface kit, Science Pump ECC-6A ozonesonde {2004}^"
OVS,  OVS (VHE) Vaisala RS80 with A Humicap (?) Science Pump ECC-6A ozonesonde {1990s}^
OVT,  OVT (TVT) Vaisala tethered ECC ozonesonde TTO111 {late 1990s?}^
OVU,"  OVU (VHE) Vaisala RS80 with A Humicap (?) EnSci Z, 1Z, or 2Z ECC ozonesonde {1990s}^"
OVZ,"  OVZ (VNE or VNe) Vaisala RS92KE or RS92KLE analog sonde, RSA111 interface kit, EnSci Model Z ozonesonde {2004}^"
OVe,  OVe (VHf) Vaisala RS80-15FE plus Science Pump ECC-5A ozonesonde {1993}^
OVm,"  OVm (VNs) Vaisala RS92SGP digital sonde, RSA922 interface kit, Mast 730-10 ozonesonde {2004}^"
OVp,"  OVp (VNs) Vaisala RS92SGP digital sonde, RSA921 interface kit, Science Pump ECC-6A ozonesonde {2004}^"
OVz,"  OVz (VNs) Vaisala RS92SGP digital sonde, RSA921 interface kit, EnSci Model Z ozonesonde {2004}^"
OZ4,  OZ4 (ZJ4 or ZJ5) VIZ model 1395 (?) NOAA 403 MHz Science Pump 4A ozonesonde {1983}^
OZ5,  OZ5 (Zn4 assumed) VIZ model 1543-523 MK II Microsonde 403 MHz LoRAN-C Sci Pump 5A ozonesonde {1992}^ (T=466)
OZ6,  OZ6 (Zng or ZNg) Sippican model 1548-623 MK II Microsonde 403 MHz GPS (LOS) Sci Pump 6A ECC ozonesonde {2001}^
OZ7,  OZ7 (Zpg assumed) Sippican Mark IIA (or LMS6) 403 MHz GPS with EnSci KZ-ECC ozonesonde {~2008}^
OZE,  OZE (ZK5) VIZ modified 1523-517 MK I Microsonde 1680 MHz with Sci Pump 5A ozonesonde {1988}^
OZN,  OZN (ZN4 assumed) VIZ model 1540-523 MK II Microsonde 1680 MHz PTU Sci Pump 5A ozonesonde {1992}^ (T=459)
OZP,  OZP (ZnY assumed) VIZ model 1544-523 MK II Microsonde 403 MHz Omega Sci Pump 5A ozonesonde {1992}^ (T=472)
OZR,  OZR (ZnS assumed) VIZ model 1547-523 MK II Microsonde 403 MHz PTU Sci Pump 5A ozonesonde {1992}^ (T=482)
OZf,  OZf (Zn4 assumed) VIZ model 1543-623 MK II Microsonde 403 MHz LoRAN-C ECC ozonesonde for NASA {~1995}^
OZn,  OZn (ZN4 assumed) VIZ model 1540-623 MK II Microsonde 1680 MHz PTU ECC ozonesonde for NASA {~1995}^
OZp,  OZp (ZnY assumed) VIZ model 1544-623 MK II Microsonde 403 MHz Omega Sci ECC ozonesonde for NASA {~1995}^
Obw,  Obw (---) Sweden Research Laboratory of Electronics ozonesonde {1948}^
Ov6,  Ov6 (VJN) Vaisala RS80-18NE with Science Pump ECC-6A ozonesonde {~1997}^
OvE,  OvE (V8_) unspecified Vaisala RS80 plus EnSci ozonesonde for SHADOZ {1990s}^
OvS,  OvS (V8_) unspecified Vaisala RS80 plus Science Pump ozonesonde for SHADOZ {1990s}^
Ove,  Ove (V8_) Vaisala RS80 (unspoecified) with unspecified ECC (Science Pump or EnSci) ozonesonde {1990s}^
OzE,  OzE (ZO_) VIZ or Sippican MK II plus EnSci ozonesonde for SHADOZ {1990s}^
P11,"  P11 USA Brailsford Codesonde used as dropsonde {1944}^ <F=V3-6AM,P=A,T=B,U=H,W=none> also see Codesonde (UCB) in the USA section"
P12,"  P12 USA AN/AMT-3 T-114 transmitter dropsonde {1948}^ (I=Z) described in TM 11-2431 <F=V3.135AM,P=A,T=B,U=H,W=none>"
P13,"  P13 USA AN/AMT-3A, -3B, -3C, or -3D dropsonde {1950s}^ <F=V3.135 or 5.0725MM,P=2A,T=B,U=H,W=none>"
P14,"  P14 USA AN/AMT-3E or -3F dropsonde {1950s}^ <F=V3.135M,P=A,T=B,U=H,W=none>"
P1_,"  P1_ USA AN/AMT-3 dropsonde, unspecified variety {1948}^ <F=V3.135AM,P=A,T=B,U=H,W=none>"
P21,"  P21 USA Bendix-Friez AN/AMT-6 dropsonde (XA-1) {1955}^ <F=V403PB,P=A,T=TR(ML-419/AMT-4),U=C(ML-476),W=none>"
P2A,"  P2A USA General Instrument Corp. AN/AMT-6A dropsonde {1957}^ <F=V403PB,P=A,T=TR(ML-419/AM),U=C(ML-476),W=none>"
P2B,"  P2B USA General Instrument Corp. AN/AMT-6B dropsonde {~1958}^ <F=V403PB,P=A,T=TR(ML-419/AM),U=C(ML-476),W=none>"
P2C,"  P2C USA General Instrument Corp. AN/AMT-6C dropsonde {<= 1960}^ <F=V403PB,P=A,T=TR(ML-419/AM),U=C(ML-476),W=none>"
P2D,"  P2D USA Bendix-Friez AN/AMT-6D dropsonde {~1959}^ <F=V403PB,P=A,T=TR(ML-419/AM),U=C(ML-476),W=none>"
P2M,"  P2M USA Monmouth Electric Company AN/AMT-6C {1968}^ <F=V403PB,P=A,T=TR(ML-419/AM),U=C(ML-476),W=none>"
P2W,"  P2W USAF Boeing Allied Research Assoc. Windsonde dropsonde {1960}^ <F=V(?)403F-,P=none,T=none,U=none,W=I>"
P2_,"  P2_ USA AN/AMT-6 dropsonde, unspecified variety {1955}^ <F=V403PB,P=A,T=TR(ML-419/AMT-4),U=C(ML-476),W=none>"
P31,"  P31 USA Bendix-Friez AN/AMT-13 dropsonde {~ early 1960s}^ <F=V402.5PE,P=A,T=TR(ML-405A/AM),U=C(ML-476),W=none>"
P3A,  P3A USA AN/AMT-13A dropsonde {~middle 1970s}^
P3B,"  P3B USA Bendix AN/AMQ-15 dew-point mirror dropsonde with radiometer {1959}^ <F=T400-406FL,P=A+H,T=TB,U=D>"
P3C,  P3C USA Bendix VSTP 2-stage dew-point mirror dropsonde {1961}^ <U=D>
P3M,"  P3M USA Monmouth Electric Company AN/AMT-13 dropsonde {~ early 1960s}^ <F=V402.5PE,T=TR(ML-405A/AM),U=C(ML-476),W=none>"
P3P,  P3P USA Bendix refractive index dropsonde {1962}^
P3R,"  P3R USA Bendix AN/AMQ-15 dew point mirror dropsonde with refractometer {1959}^ <F=T400-406FL,P=A+H,T=TB,U=D>"
P41,  P41 USA AN/AMT-22 Meteorological Dropsonde {development ~ 1980}^
P42,"  P42 USA AN/AMT-24 Tactical Dropsonde ""TDrop"" launched from SH-60 {1960s?}^"
P4H,  P4H USA Navy HiMetSonde tactical dropsonde {~1998}^
P4J,  P4J USA Air Force Research Lab (AFRL) Single Pass Air Drop (SPAiD) GPS Tactical Meteorological System (TMS) dropsonde for Joint Precision Air Drop System (JPADS) {~2012}^
P4P,"  P4P USA Army Research Lab / Physical Sciences Laboratory (PSL), New Mexico State Univ GPS dropsonde (1994)^"
P4R,  P4R USA Army Research Lab / Radian Corporation GPS dropsonde (1994)^
P4T,  P4T USA Navy TDrop tactical dropsonde {~1997}^
P4Y,  P4Y USA Yuma Proving Ground WindPack GPS dropsonde {~ 1999}^
P4j,  P4j USA Air Force Research Lab interim Single Pass Air Drop (SPAiD) GPS dropsonde for Joint Precision Air Drop System (JPADS) {~2009}^
PA1,  PA1 Australia Aerosonde dropsonde {~2009}^
PBL,"  PBL Bulgaria dropsonde or rocketsonde {1982}^ <F=T1782??,T=W or T>"
PDE,"  PDE Germany IMK/Etewe Messtechnik GmbH recoverable dropsonde {1999}^ <F=T434+900-L,P=H(water),T=2T,U=C(VIZ)+D,N=G>"
PDS,  PDS Germany Strato 2C dropsonde {proposed 1993}^
PF1,"  PF1 France Catasond TU74 dropsonde {1974}^ <F=?405.5??,P=none(computed),T=W,U=A>"
PF2,"  PF2 France Catasond high-altitude dropsonde {1976}^ <F=?405.5??,P=A,T=W,U=A>"
PFM,  PFM Modem dropsonde {<2007}^
PG1,"  PG1 United Kingdom Meteorological Office radar reflector dropsonde {1969}^ <F=none,P=none,T=none,U=none,W=Ra>"
PG2,"  PG2 United Kingdom Meteorological Office wind and temperature dropsonde {1971}^ <F=T28AL(?),P=none,T=W(?),W=Ra>"
PG3,"  PG3 United Kingdom Meteorological Office LoRAN dropsonde {1978}^ <F=T400??,P=Ac,T=T,U=C(VIZ),W=L>"
PIK,"  PIK India Komoline Electronics Pvt. Ltd. GPS dropsonde KTMS-3650 {2010}^ <F=T(400 or 900)DL,P=S,T=TB,U=A,N=G>"
PJ5,"  PJ5 Japan RSII-56A radiosonde used as dropsonde {~1978}^ <F=V1680ME,P=2A,T=BS,U=Hr>"
PR1,"  PR1 USSR Leningrad SIHIC dropsonde {1957}^ <F=V??M,P=3A,T=2Bs,U=H>"
PR2,  PR2 USSR Leningrad SIHIC balloon-released dropsonde {1965}^
PU2,"  PU2 USA Anasphere AnaSonde-2G 403 MHz dropsonde, PTU plus 5 basic channels {~2009}^ <F=T403FD,P=S,T=S,U=A> Anasphere Inc., Bozeman, MT"
PUA,"  PUA USA Aurora Flight Sciences Gyrosonde dropsonde {early 1990s}^ Aurora Flight Sciences, Manassas, VA"
PUB,"  PUB USA NACA Gustsonde dropsonde {1951}^ <F=V148.95?B,P=transducer,W=transducer>"
PUC,"  PUC USA NCAR Beukers Carrier Balloon System (CBS) Omegasonde {tested 1973}^ <F=?76??,P=none,T=?,U=?,W=O>"
PUD,"  PUD USA NCAR Digital Omega Dropwindsonde (DOD) {1987}^ <F=T403.5/404.5/405.5DL,P=Ac,T=TR U=C,N=O>"
PUG,"  PUG USA NCAR GHOST superpressure balloon-launched dropsonde {tested 1970}^ <F=T76??,P=? or none,T=T(?),U=?,N=O>"
PUI,  PUI USA Atmospheric Instrumentation Research (AIR) GPS Dropsonde {1995}^
PUL,"  PUL USA NCAR Lightweight LoRAN Digital Dropwindsonde (L2D2 or LeSonde) {1988} WMO instr=96^ (W3=96 ""Descending radiosonde"") <F=T400DL,P=S,T=TC,U=Ch,N=L>"
PUM,"  PUM USA Dorsett Electronics NCAR Omega dropsonde {1974}^ <F=T404.5/405.5PS,P=Ac,T=TB,U=C,N=O>"
PUN,"  PUN USA NCAR Lightweight Digital Dropsonde, no wind {1988} 31313=09600^ (W3=96 ""Descending radiosonde"") <F=T400DL,P=S,T=TC,U=Ch,W=none>"
PUP,"  PUP USA Purdue University recoverable dropsonde {1972}^ <F=T(Citizens Band)A-,P=Z(fall rate),T=TB(Yellow Springs Instruments #705)>"
PUR,"  PUR USA NSSL Glidersonde dropsonde {1993}^ <F=T146DL or F=0,P=Ac,T=CB,U=A,N=G> National Severe Storms Laboratory"
PUU,"  PUU USA Univ of Utah vertical motion dropsonde {1977}^ <F=?,P=A,T=T,U=0>"
PUV,"  PUV USA NCAR Lightweight Omega Digital Dropwindsonde (LOD2) {1991} 31313=09605^ (W3=96 ""Descending radiosonde"") <F=T400DL,P=S,T=TC,U=Ch,N=O>"
PUW,"  PUW USA NCAR A. R. F. Products vertical wind dropsonde {1966}^ <F=V1689, 403DL,P=A(3 transducers),T=4T,W=T1689a>"
PUX,  PUX USA Yankee Environmental Systems XDD-918/908 Expendable Digital Dropsonde^
PUY,"  PUY USA Yankee Environmental Systems XDR-928 dropsonde {2003}^ <F=T403.1-405.9DL,P=optional MEMS,T=T,U=MEMS,N=GPS>"
PUa,"  PUa USA Anasphere AnaSonde 434 MHz dropsonde {2004?}^ <F=T434AD,P=S,T=S,U=A> Anasphere Inc., Bozeman, MT"
PUb,  PUb USA BAE Systems tactical dropsonde (TDrop) {2003}^
PUc,  PUc USA Applied Research Associates ultralight dropsonde {2009}^ <
PUe,  PUe NOAA/Embry-Riddle Gale model airplane dropsonde {2012}^
PUg,"  PUg NCAR Global Hawk Dropsonde {2010}^ <F=T400FD,P=Ac,T=CB,U=2Ah,N=G>"
PUl,"  PUl USA NCAR Lightweight LoRAN Digital Dropwindsonde (L2D2), moist bias correction {1993} WMO instr=96^ (W3=96) <F=T400DL,P=S,T=TC,U=Ch,N=L>"
PUm,"  PUm USA NCAR MIST (Miniature In-situ Sounding Technology) Driftsonde dropsonde {2006}^ <F=T400FD,P=Ac,T=CB,U=2Ah,N=G>"
PUn,"  PUn USA NCAR MIST (Miniature In-situ Sounding Technology) Driftsonde dropsonde modified {2009}^ <F=T400FD,P=Ac,T=CB,U=2Ah,N=G>"
PUv,"  PUv USA NCAR Lightweight Omega Digital Dropwindsonde, moist bias correction (LOD2) {1993} 31313=09605^ (W3=96) <F=T400DL,P=S,T=TC,U=Ch,N=O>"
PV2,  PV2 Vaisala RD82 Loran mini-dropsonde {1980s?}^
PV4,"  PV4 Vaisala RD94 NCAR dropsonde {2010}^ <F=T400-406FD,P=Ac,T=TBc,U=2Ah,N=G>"
PV8,"  PV8 Vaisala RD93 GPS dropsonde, unspecified {1997} 31313=09608^ (W3=96) <F=T400-406FD,P=Ac,T=CB,U=2Ah,N=G> used with AVAPS [see PVS, PVM, PVL below]"
PV9,"  PV9 Vaisala RD93 GPS dropsonde, Revision D {2003} 31313=09608^ (W3=96 ""Descending radiosonde"") [see PVs, PVm, PVl below]"
PVD,"  PVD Vaisala RD93 NCAR GPS Driftsonde dropsonde {2002}^ <F=T400-406FD,P=Ac,T=TBc,U=2Ah,N=G>"
PVF,"  PVF Vaisala RD93F GPS dropsonde {2006}^ <F=T400-406FD,P=Ac,T=TBc,U=2Ah,N=G>"
PVG,"  PVG Vaisala RD82-41G GPS mini-dropsonde {1996}^ <F=T400DL,P=Sc,T=CB,U=Ac,N=G>"
PVL,"  PVL Vaisala RD93L GPS dropsonde, large parachute {1997} 31313=09608^ (W3=96 ""Descending radiosonde"") <F=T400-406FD,P=Ac,T=CB,U=2Ah,N=G> used with AVAPS"
PVM,"  PVM Vaisala RD93M GPS dropsonde, medium parachute {2003} 31313=09608^ (W3=96 ""Descending radiosonde"") <F=T400-406FD,P=Ac,T=CB,U=2Ah,N=G> used with AVAPS"
PVS,"  PVS Vaisala RD93 GPS dropsonde, standard (small) parachute {1997} 31313=09608^ (W3=96) <F=T400-406FD,P=Ac,T=CB,U=2Ah,N=G> used with AVAPS"
PVl,"  PVl Vaisala RD93 GPS dropsonde, large parachute, Revision D {2003} 31313=09608^ (W3=96 ""Descending radiosonde"") <F=T400-406FD,P=Ac,T=CB,U=2Ah,N=G>"
PVm,"  PVm Vaisala RD93 GPS dropsonde, medium parachute, Revision D {2003} 31313=09608^ (W3=96 ""Descending radiosonde"") <F=T400-406FD,P=Ac,T=CB,U=2Ah,N=G>"
PVs,"  PVs Vaisala RD93 GPS dropsonde, small parachute, Revision D {2003} 31313=09608^ (W3=96 ""Descending radiosonde"") <F=T400-406FD,P=Ac,T=CB,U=2Ah,N=G>"
PZ1,"  PZ1 VIZ Beukers model 1210 ""Windrosonde"" LoRAN-C {1970}^ (T=418) <F=T403PL,P=A,T=TBd,U=C,N=L>"
PZ2,"  PZ2 VIZ Beukers model 1211 ""Windrosonde"" Omega {1970}^ (T=419) <F=T403PL,P=A,T=TBd,U=C,N=O>"
PZ3,"  PZ3 VIZ model 1315-403.5 etc NOAA dropsonde, 3 models {1983}^ (T=435, 436, 437) <F=T403.5/404.5/405.5FS,P=A,T=TB,U=C(but 1/4 mass of other C sensors),N=O>"
PZF,"  PZF VIZ NCAR FGGE Omega dropsonde {1979}^ (W1=15) improved for FGGE in 1979 <F=T403.5/404.5/405.5FS,P=A,T=TB,U=C(but 1/4 mass of other C sensors),N=O>"
QAC,"  QAC Australia descending sphere for Cockatoo sounding rocket {1970}^ Weapons Research Establishment, Salisbury, South Australia"
QAH,"  QAH Australia descending sphere for High Altitude Density (HAD) rocket {1961}^ Weapons Research Establishment, Salisbury, South Australia"
QAK,"  QAK Australia Kookaburra dropsonde {~1968}^ <F=?400-460??,T=TB>"
QAW,"  QAW Australia WRE rocket dropsonde {~ early 1960s}^ Weapons Research Establishment, Salisbury, South Australia"
QBL,"  QBL Bulgaria falling sphere and electron probe for USSR MMR-06 {~1981}^ Inst. Gidrologii i Met. Meteosluzhby, Bulgarian S.S.R."
QBP,"  QBP Poland chaff from Meteor-1A, 1B, or 1C sounding rocket {1965}^ Panstwowy Instytut Hydrologiczno-Meteorologiczny (PIHM, Cracow)"
QBR,"  QBR Poland Ramzes rocketsonde {~1971}^ <T=T> Panstwowy Instytut Hydrologiczno-Meteorologiczny (PIHM, Cracow)"
QBW,  QBW Sweden Univ. of Stockholm backscattering rocketsonde {~1970}^
QBw,  QBw Sweden Univ. of Stockholm Lyman-alpha Hygrosonde {1994}^ <U=Y>
QCA,  QCA Canada Columbiad Arrow dart payload for ISS {development 200308}^
QCD,  QCD Canada Columbiad Dragonfly rocket payload for ISS {development 200308}^
QCE,  QCE Canada elec field sounder on Black Brant I rocket {1963}^ <F=?231.4>
QCM,  QCM Canada Columbiad Mosquito dart payload for ISS {development 200308}^
