primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-47762	[47762]	SHIMONOSEKI	33.950001	130.929993	1938-01-03 00:00:00	1941-01-27 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47762
0-20000-0-38750	[38750]	ESENGULY	37.470001	53.970001	1950-11-04 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:38750
0-20000-0-48042	[48042]	MANDALAY	21.98	96.099998	1954-07-07 00:00:00	1964-04-29 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48042
0-20000-0-53463	[53463]	HOHHOT	40.82	111.68	1957-03-01 00:00:00	1959-12-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:53463
0-20000-0-72228	[72228]	BIRMINGHAM/MUN., AL.	33.57	-86.75	1939-03-18 00:00:00	1947-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72228
0-20000-0-20674	[20674]	OSTROV DIKSON	73.5	80.400002	1934-11-08 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:20674
0-20000-0-34866	[34866]	YASHKUL'	46.18	45.349998	1951-01-08 00:00:00	1957-11-05 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:34866
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1907-01-01 00:00:00	1907-12-28 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1907
0-20000-0-47626	[47626]	KUMAGAYA	36.150002	139.380005	1922-10-01 00:00:00	1941-07-27 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47626
0-20000-0-11567	[11567]	PRAHA-KBELY	50.119999	14.53	1949-06-08 00:00:00	1953-09-09 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11567
0-20000-0-47765	[47765]	HIROSHIMA	34.369999	132.429993	1924-04-02 00:00:00	1945-01-25 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47765
