	Unnamed: 0	press	hum	temp	datetime	sensor
474691	90	638	99.97	295.68	2005-02-15 18:11:25+00:00	Vaisala
474692	91	641	99.97	295.71	2005-02-15 18:11:25+00:00	Vaisala
474693	91	641	99.97	295.71	2005-02-15 18:11:25+00:00	Vaisala
474694	92	643	99.97	295.67	2005-02-15 18:11:25+00:00	Vaisala
474695	92	643	99.97	295.67	2005-02-15 18:11:25+00:00	Vaisala
474696	93	645	99.97	295.64	2005-02-15 18:11:25+00:00	Vaisala
474697	93	645	99.97	295.64	2005-02-15 18:11:25+00:00	Vaisala
474698	94	648	99.97	295.64	2005-02-15 18:11:25+00:00	Vaisala
474699	94	648	99.97	295.64	2005-02-15 18:11:25+00:00	Vaisala
474700	95	650	99.97	295.61	2005-02-15 18:11:25+00:00	Vaisala
474701	95	650	99.97	295.61	2005-02-15 18:11:25+00:00	Vaisala
474702	96	652	99.97	295.58	2005-02-15 18:11:25+00:00	Vaisala
474703	96	652	99.97	295.58	2005-02-15 18:11:25+00:00	Vaisala
474704	97	655	99.97	295.61	2005-02-15 18:11:25+00:00	Vaisala
474705	97	655	99.97	295.61	2005-02-15 18:11:25+00:00	Vaisala
474706	98	657	99.97	295.57	2005-02-15 18:11:25+00:00	Vaisala
474707	98	657	99.97	295.57	2005-02-15 18:11:25+00:00	Vaisala
474708	99	660	99.97	295.54	2005-02-15 18:11:25+00:00	Vaisala
474709	99	660	99.97	295.54	2005-02-15 18:11:25+00:00	Vaisala
474710	100	662	99.97	295.54	2005-02-15 18:11:25+00:00	Vaisala
474711	100	662	99.97	295.54	2005-02-15 18:11:25+00:00	Vaisala
474712	101	664	99.97	295.51	2005-02-15 18:11:25+00:00	Vaisala
474713	101	664	99.97	295.51	2005-02-15 18:11:25+00:00	Vaisala
474714	102	667	99.97	295.48	2005-02-15 18:11:25+00:00	Vaisala
474715	102	667	99.97	295.48	2005-02-15 18:11:25+00:00	Vaisala
474716	103	669	99.97	295.51	2005-02-15 18:11:25+00:00	Vaisala
474717	103	669	99.97	295.51	2005-02-15 18:11:25+00:00	Vaisala
474718	104	671	99.97	295.47	2005-02-15 18:11:25+00:00	Vaisala
474719	104	671	99.97	295.47	2005-02-15 18:11:25+00:00	Vaisala
474720	105	674	99.97	295.44	2005-02-15 18:11:25+00:00	Vaisala
474721	105	674	99.97	295.44	2005-02-15 18:11:25+00:00	Vaisala
474722	106	676	99.97	295.44	2005-02-15 18:11:25+00:00	Vaisala
474723	106	676	99.97	295.44	2005-02-15 18:11:25+00:00	Vaisala
474724	107	679	99.97	295.43	2005-02-15 18:11:25+00:00	Vaisala
474725	107	679	99.97	295.43	2005-02-15 18:11:25+00:00	Vaisala
474726	108	681	99.97	295.41	2005-02-15 18:11:25+00:00	Vaisala
474727	108	681	99.97	295.41	2005-02-15 18:11:25+00:00	Vaisala
474728	109	683	99.97	295.41	2005-02-15 18:11:25+00:00	Vaisala
474729	109	683	99.97	295.41	2005-02-15 18:11:25+00:00	Vaisala
474730	110	686	99.97	295.39	2005-02-15 18:11:25+00:00	Vaisala
474731	110	686	99.97	295.39	2005-02-15 18:11:25+00:00	Vaisala
474732	111	688	99.97	295.36	2005-02-15 18:11:25+00:00	Vaisala
474733	111	688	99.97	295.36	2005-02-15 18:11:25+00:00	Vaisala
474734	112	690	99.97	295.34	2005-02-15 18:11:25+00:00	Vaisala
474735	112	690	99.97	295.34	2005-02-15 18:11:25+00:00	Vaisala
474736	113	693	99.97	295.34	2005-02-15 18:11:25+00:00	Vaisala
474737	113	693	99.97	295.34	2005-02-15 18:11:25+00:00	Vaisala
474738	114	695	99.97	295.32	2005-02-15 18:11:25+00:00	Vaisala
474739	114	695	99.97	295.32	2005-02-15 18:11:25+00:00	Vaisala
474740	115	698	99.97	295.29	2005-02-15 18:11:25+00:00	Vaisala
474741	115	698	99.97	295.29	2005-02-15 18:11:25+00:00	Vaisala
474742	116	700	99.97	295.32	2005-02-15 18:11:25+00:00	Vaisala
474743	116	700	99.97	295.32	2005-02-15 18:11:25+00:00	Vaisala
474744	117	702	99.97	295.27	2005-02-15 18:11:25+00:00	Vaisala
474745	117	702	99.97	295.27	2005-02-15 18:11:25+00:00	Vaisala
474746	118	705	99.97	295.24	2005-02-15 18:11:25+00:00	Vaisala
474747	118	705	99.97	295.24	2005-02-15 18:11:25+00:00	Vaisala
474748	119	707	99.97	295.24	2005-02-15 18:11:25+00:00	Vaisala
474749	119	707	99.97	295.24	2005-02-15 18:11:25+00:00	Vaisala
474750	120	709	99.97	295.22	2005-02-15 18:11:25+00:00	Vaisala
474751	120	709	99.97	295.22	2005-02-15 18:11:25+00:00	Vaisala
474752	121	712	99.97	295.21	2005-02-15 18:11:25+00:00	Vaisala
474753	121	712	99.97	295.21	2005-02-15 18:11:25+00:00	Vaisala
474754	122	714	99.97	295.22	2005-02-15 18:11:25+00:00	Vaisala
474755	122	714	99.97	295.22	2005-02-15 18:11:25+00:00	Vaisala
474756	123	717	99.97	295.18	2005-02-15 18:11:25+00:00	Vaisala
474757	123	717	99.97	295.18	2005-02-15 18:11:25+00:00	Vaisala
474758	124	719	99.97	295.12	2005-02-15 18:11:25+00:00	Vaisala
474759	124	719	99.97	295.12	2005-02-15 18:11:25+00:00	Vaisala
474760	125	721	99.97	295.09	2005-02-15 18:11:25+00:00	Vaisala
474761	125	721	99.97	295.09	2005-02-15 18:11:25+00:00	Vaisala
474762	126	724	99.97	295.12	2005-02-15 18:11:25+00:00	Vaisala
474763	126	724	99.97	295.12	2005-02-15 18:11:25+00:00	Vaisala
474764	127	726	99.97	295.07	2005-02-15 18:11:25+00:00	Vaisala
474765	127	726	99.97	295.07	2005-02-15 18:11:25+00:00	Vaisala
474766	128	729	99.97	295.04	2005-02-15 18:11:25+00:00	Vaisala
474767	128	729	99.97	295.04	2005-02-15 18:11:25+00:00	Vaisala
474768	129	731	99.97	295.04	2005-02-15 18:11:25+00:00	Vaisala
474769	129	731	99.97	295.04	2005-02-15 18:11:25+00:00	Vaisala
474770	130	733	99.97	295.04	2005-02-15 18:11:25+00:00	Vaisala
474771	130	733	99.97	295.04	2005-02-15 18:11:25+00:00	Vaisala
474772	131	736	99.97	295.02	2005-02-15 18:11:25+00:00	Vaisala
474773	131	736	99.97	295.02	2005-02-15 18:11:25+00:00	Vaisala
474774	132	738	99.97	294.99	2005-02-15 18:11:25+00:00	Vaisala
474775	132	738	99.97	294.99	2005-02-15 18:11:25+00:00	Vaisala
474776	133	740	99.97	295.02	2005-02-15 18:11:25+00:00	Vaisala
474777	133	740	99.97	295.02	2005-02-15 18:11:25+00:00	Vaisala
474778	134	743	99.97	294.97	2005-02-15 18:11:25+00:00	Vaisala
474779	134	743	99.97	294.97	2005-02-15 18:11:25+00:00	Vaisala
474780	135	745	99.97	294.94	2005-02-15 18:11:25+00:00	Vaisala
474781	135	745	99.97	294.94	2005-02-15 18:11:25+00:00	Vaisala
474782	136	748	99.97	294.94	2005-02-15 18:11:25+00:00	Vaisala
