	Unnamed: 0	press	hum	temp	datetime	sensor
654447	262	1608	92.26	291.04	2005-02-19 15:00:10+00:00	Vaisala
654452	265	1621	91.6	291.09	2005-02-19 15:00:10+00:00	Vaisala
654457	267	1630	91.1	291.11	2005-02-19 15:00:10+00:00	Vaisala
654462	270	1644	91.0	290.98	2005-02-19 15:00:10+00:00	Vaisala
654467	272	1653	90.5	290.92	2005-02-19 15:00:10+00:00	Vaisala
654472	275	1666	90.11	290.81	2005-02-19 15:00:10+00:00	Vaisala
654477	277	1675	90.03	290.78	2005-02-19 15:00:10+00:00	Vaisala
654482	280	1689	90.77	290.7	2005-02-19 15:00:10+00:00	Vaisala
654487	282	1698	90.55	290.57	2005-02-19 15:00:10+00:00	Vaisala
654492	285	1711	92.03	290.49	2005-02-19 15:00:10+00:00	Vaisala
654497	287	1720	92.51	290.43	2005-02-19 15:00:10+00:00	Vaisala
654502	290	1734	92.99	290.43	2005-02-19 15:00:10+00:00	Vaisala
654507	292	1743	92.35	290.43	2005-02-19 15:00:10+00:00	Vaisala
654512	295	1756	91.77	290.43	2005-02-19 15:00:10+00:00	Vaisala
654517	297	1765	91.1	290.39	2005-02-19 15:00:10+00:00	Vaisala
654522	300	1779	90.05	290.32	2005-02-19 15:00:10+00:00	Vaisala
654527	302	1788	89.35	290.24	2005-02-19 15:00:10+00:00	Vaisala
654532	305	1801	88.73	290.21	2005-02-19 15:00:10+00:00	Vaisala
654537	307	1810	88.04	290.13	2005-02-19 15:00:10+00:00	Vaisala
654542	310	1824	88.04	290.09	2005-02-19 15:00:10+00:00	Vaisala
654547	312	1833	88.04	290.06	2005-02-19 15:00:10+00:00	Vaisala
654552	315	1846	88.48	289.93	2005-02-19 15:00:10+00:00	Vaisala
654557	317	1855	88.39	289.87	2005-02-19 15:00:10+00:00	Vaisala
654562	320	1869	89.66	289.73	2005-02-19 15:00:10+00:00	Vaisala
654567	322	1878	91.68	289.72	2005-02-19 15:00:10+00:00	Vaisala
654572	325	1891	93.44	289.6	2005-02-19 15:00:10+00:00	Vaisala
654577	327	1900	94.04	289.58	2005-02-19 15:00:10+00:00	Vaisala
654582	330	1914	94.14	289.42	2005-02-19 15:00:10+00:00	Vaisala
654587	332	1923	94.37	289.38	2005-02-19 15:00:10+00:00	Vaisala
654592	335	1936	94.74	289.33	2005-02-19 15:00:10+00:00	Vaisala
654597	337	1945	94.08	289.33	2005-02-19 15:00:10+00:00	Vaisala
654602	340	1959	93.17	289.29	2005-02-19 15:00:10+00:00	Vaisala
654607	342	1968	92.68	289.28	2005-02-19 15:00:10+00:00	Vaisala
654612	345	1981	92.72	289.14	2005-02-19 15:00:10+00:00	Vaisala
654617	347	1990	92.99	288.99	2005-02-19 15:00:10+00:00	Vaisala
654622	350	2004	93.01	288.87	2005-02-19 15:00:10+00:00	Vaisala
654627	352	2013	93.52	288.8	2005-02-19 15:00:10+00:00	Vaisala
