"","X","name","statid","ascents","lat","lon","min_lat_d","max_lat_d","min_lon_d","max_lon_d","max_time","min_x_d","max_x_d","min_y_d","max_y_d","EUR11"
"131",130,"Lviv","0-20000-0-33393",56522,49.8167,23.95,-0.0993130692680424,0,-0.000288903489614967,0.132319774169382,1381.3185643306,-0.0207511064222959,9.50426579161058,-11.0556005934612,0,1
"134",133,"CHISINAU","0-20000-0-33815",39511,47.02,28.98,-0.177545355080376,0.0383807231892916,-0.325553826037844,0.320454265979741,1448.34001329053,-24.70694979724,24.3199342348047,-19.7644735735631,4.27256905117294,1
"135",134,"Odesa","0-20000-0-33837",53225,46.4333,30.7667,-0.0720573780338114,0.00946334243601399,-0.0346077985728357,0.0649799854056496,1106.61070797661,-2.65518177128567,4.98539856286772,-8.02147791078875,1.05346592572457,1
"139",138,"VORONEZ (34122-0)","0-20000-0-34122",48295,51.65,39.25,-0.000450485429212222,0.0170861771136828,-0.0197498192236978,0,528.552715271177,-1.36412886320148,0,-0.0501483233071115,1.90204523097786,1
"140",139,"KALACH","0-20000-0-34247",52280,50.4167,41.05,-0.0189030355060922,0.00728640729968077,-0.0764587334280762,0,987.553223982496,-5.42348398786964,0,-2.1042991824954,0.811127968089435,1
"142",141,"DIVNOE","0-20000-0-34858",46966,45.9167,43.35,-0.143301054833053,0.0545709842219253,-0.217190820478073,0.296826475718319,1751.59553129292,-16.8205978741753,22.9880684502127,-15.9523740288128,6.07488027621998,1
"151",150,"BEYROUTH (AEROPORT)","0-20000-0-40100",15195,33.82,35.48,-0.00735384153955465,0.00889132767476042,-0.00187678582167194,0.115679164447734,1373.86696734271,-0.173572918818053,10.6984888884357,-0.818634805854197,0.989788834804769,1
"152",151,"BET DAGAN","0-20000-0-40179",73625,32,34.8167,-6.71467671757853e-05,0,-1.42629173183195e-06,5.3967060011928e-06,28.0726759531583,-0.000134410649456007,0.00052057020689604,-0.00747521416224791,0,1
"179",178,"CASABLANCA","0-20000-0-60155",56582,33.5667,-7.6667,-0.0959499757749427,0,-0.0337362517572908,0,1327.03647142285,-3.12927907480166,0,-10.6812186652699,0,1
"182",181,"TUNIS-CARTHAGE","0-20000-0-60715",56701,36.8333,10.2333,-0.024314084436277,0.00181342969498388,-0.0091862046933926,0.0120379922396889,460.115445108435,-0.818483549421732,1.07257555885335,-2.70666094928666,0.20187226681303,1
"186",185,"MERSA MATRUH","0-20000-0-62306",48513,31.3253,27.2217,-0.0815182588751711,3.59814316936991e-05,-0.0283110621294824,0.00221004936632241,1341.18172214376,-2.69219543748405,0.210161140661824,-9.07466980808928,0.00400534714428368,1
"198",197,"EKOFISK (1400-1)","0-20001-0-01400",15136,56.5422,3.2236,-0.166621991519833,0.231458047200377,-0.134768235427879,0.605149367007221,1603.05366644391,-8.27121381106336,37.140090143586,-18.5484770734038,25.7660723097752,1
"202",201,"MADRID/BARAJAS RS","0-20001-0-08221",46017,40.4653,-3.5797,-0.133875227858248,0.0332620028228447,-0.0254836698791814,0.181055348754802,1405.89844603578,-2.15828068541956,15.3340628503724,-14.9030843522861,3.70274950478947,1
"204",203,"LINDENBERG (10393-1)","0-20001-0-10393",116183,52.2167,14.1167,-0.010758062871254,4.3919571261597e-05,0,0.0164296959041508,869.873183121564,0,1.12056444794303,-1.19759511329238,0.00488892755265895,1
"205",204,"ESSEN-BREDENEY (10410-1)","0-20001-0-10410",66025,51.4056,6.9686,-0.143413611633605,0.00681672758636154,-0.356594585989461,0.00479479222667045,1393.28301688276,-24.7626921334202,0.332960993591966,-15.9649039311234,0.758842900572781,1
"206",205,"MEININGEN (10548-1)","0-20001-0-10548",62903,50.5617,10.3772,-0.0798135074860724,0.00998610042726966,-0.0733916637830347,0.0744207717836307,884.714494431914,-5.18997440221923,5.26274893083418,-8.8848956866273,1.11165971429248,1
"208",207,"UDINE/RIVOLTO RDS","0-20001-0-16045",67373,45.9806,13.0592,-0.000889550525080551,0,-0.0185233595801542,0,301.429544139395,-1.432910904529,0,-0.0990253527274354,0,1
"212",211,"KEM'","0-20001-0-22522",56831,64.95,34.65,-0.0279664945929881,0.0145311034086859,-0.0429115029429425,0.0710054408591674,680.176840191791,-2.02259878676048,3.34678358817258,-3.11324981158392,1.61761263145635,1
"218",217,"SARATOV (34172-1)","0-20001-0-34172",60787,51.5567,46.0394,-0.111340631135761,0.031790718731024,-0.09561153604227,0.0410826015279824,1119.01552134139,-6.61751467793747,2.84343025580502,-12.3945172252463,3.53896512857757,1
"219",218,"VOLGOGRAD (34467-1)","0-20001-0-34467",65417,48.7833,44.3333,-0.0551870899485607,0.0351481611914295,-0.104353655327394,0.00944555059248842,824.15932600576,-7.65435915267072,0.692832858143863,-6.14346559663096,3.91271797781732,1
"220",219,"ROSTOV-NA-DONU (34731-1)","0-20001-0-34731",62441,47.25,39.8167,-0.0230164285067147,0.0406357465375677,-0.06842708129453,0.00319555742164113,732.853076620494,-5.17066318714175,0.241470929532725,-2.56220497826745,4.52359983270751,1
"222",221,"TUAPSE (37011-1)","0-20001-0-37011",53363,44.1,39.0333,-0.0137535891445211,0,0,0.0423473255022202,561.491714153998,0,3.3853435622118,-1.53105919797149,0,1
