primary_id	station_name	files
0-20000-0-1093	BAHRAIN (INT. AIRPORT)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1958', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1093', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1959']
0-20000-0-10935	GUETTINGEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10935']
0-20000-0-1094	ADEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1094']
0-20000-0-11030	TULLN/LANGENLEBARN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11030']
0-20000-0-11035	WIEN/HOHE WARTE (11035-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11035']
0-20000-0-1109	DHAKA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1109']
0-20000-0-1110	CHITTAGONG (AMBAGAN)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1110']
0-20000-0-11103	DAKAR/YOFF	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11103']
0-20000-0-1111	COX'S BAZAR	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1111']
0-20000-0-1125	BHUJ-RUDRAMATA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1125']
0-20000-0-1131	MANA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1131']
0-20000-0-11501	GRANTLEY ADAMS	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11501']
0-20000-0-11518	PRAHA/RUZYNE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11518']
0-20000-0-1152	BODO VI	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:1152']
0-20000-0-11567	PRAHA-KBELY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11567']
0-20000-0-11601	HEWANORRA INT'L AIRPORT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1949', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11601']
0-20000-0-11602	CHRISTIANSTED/ALEX. HAMILTON FIELD,  ST. CROIX	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11602']
0-20000-0-11604	VC BIRD INT'L AIRPORT ANTIGUA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11604']
