primary_id	station_name	files
0-20000-0-03502	ABERPORTH	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003502.nc']
0-20000-0-03503	TRAWSGOED	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003501.nc']
0-20000-0-03590	WATTISHAM	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003590.nc']
0-20000-0-03649	BRIZE NORTON	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003649.nc']
0-20000-0-03693	SHOEBURYNESS, LANDWICK	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003693.nc']
0-20000-0-03743	LARKHILL	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003743.nc']
0-20000-0-03769	CHARLWOOD	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003774.nc']
0-20000-0-03808	CAMBORNE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003808.nc']
0-20000-0-03809	CULDROSE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_003807.nc']
0-20000-0-03882	HERSTMONCEUX, WEST END	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003882.nc']
0-20000-0-03917	ALDERGROVE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003917.nc']
0-20000-0-03918	CASTOR BAY	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003920.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003918.nc']
0-20000-0-03953	VALENTIA OBSERVATORY (3953-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003953.nc']
0-20000-0-04018	KEFLAVIKURFLUGVOLLUR	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004018.nc']
0-20000-0-04089	EGILSSTADIR	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004089.nc']
0-20000-0-04202	PITUFFIK (THULE AIR BASE)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004202.nc']
0-20000-0-04220	AASIAAT (EGEDESMINDE)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004220.nc']
0-20000-0-04231	MITTARFIK KANGERLUSSUAQ (SDR. STROEMFJORD LUFTHAVN)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004231.nc']
0-20000-0-04270	MITTARFIK NARSARSUAQ (4270-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004270.nc']
0-20000-0-04312	STATION NORD	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004310.nc']
0-20000-0-04320	DANMARKSHAVN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004320.nc']
0-20000-0-04339	ITTOQQORTOORMIIT (SCORESBYSUND)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004339.nc']
0-20000-0-04360	TASIILAQ (AMMASSALIK)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_004360.nc']
0-20000-0-06011	TORSHAVN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006011.nc']
0-20000-0-06030	FLYVESTATION AALBORG	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006030.nc']
0-20000-0-06060	FLYVESTATION KARUP	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006060.nc']
