,station,start,end,obs,lat,lon,rh,temp,u,v,rh_h,temp_h,u_h,v_h
716,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00074560.csv,1995-02-1100:00:00+00,2023-05-0712:00:00+00,1688400,40.1517,-89.3383,0.8734067509252078,0.3068895739204746,0.21720840413473383,0.06022524880031149,1.1177008498025547,0.13732143686472664,0.23419181974124273,0.012282988607596586
717,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00074389.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2531673,43.8925,-70.2542,0.7532846504089439,0.41671671717676123,0.2539959232406214,0.2728564608235969,1.00692353860675,0.47678995014222336,0.2735730937707733,0.29250203588016704
718,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000JDWX.csv,1989-01-2412:00:00+00,2009-11-1712:00:00+00,46772,999.0,999.0,,,,,,,,
719,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000JIVB.csv,2000-01-1900:00:00+00,2008-09-2800:00:00+00,34627,999.0,999.0,,,,,,,,
720,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000JGQH.csv,2000-01-2312:00:00+00,2023-02-0112:00:00+00,144540,999.0,999.0,,,,,,,,
721,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000OXTS2.csv,2000-01-0300:00:00+00,2007-02-2406:00:00+00,18953,999.0,999.0,,,,,,,,
722,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000OXVH2.csv,2003-04-1212:00:00+00,2006-11-3006:00:00+00,21492,999.0,999.0,,,,,,,,
723,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000DBLK.csv,1985-01-1212:00:00+00,2023-04-0712:00:00+00,434259,999.0,999.0,4.764245996610843,-2.0599203768289227,-1.3935042119400196,-0.023699464594836163,4.317436378353963,-2.083980566478392,-1.4200545067115782,-0.0501431621725489
724,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000JNSR.csv,2000-02-2306:00:00+00,2023-05-0103:00:00+00,246059,999.0,999.0,,,,,,,,
725,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000OXYH2.csv,2000-04-1500:00:00+00,2005-11-3012:00:00+00,44681,999.0,999.0,,,,,,,,
726,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000UFTA.csv,2008-09-2400:00:00+00,2012-08-0600:00:00+00,31860,999.0,999.0,,,,,,,,
727,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000V2XM.csv,2003-02-0212:00:00+00,2007-04-2400:00:00+00,13597,999.0,999.0,,,,,,,,
728,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000WPKD.csv,2001-07-2118:00:00+00,2005-11-3018:00:00+00,45496,999.0,999.0,,,,,,,,
729,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000ZCBP6.csv,2000-01-1015:00:00+00,2005-11-3018:00:00+00,38152,999.0,999.0,,,,,,,,
730,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000WTEC.csv,2000-10-0718:00:00+00,2020-02-0319:00:00+00,42787,999.0,999.0,,,,,,,,
731,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000ZSAF.csv,1989-08-1400:00:00+00,2008-10-1212:00:00+00,8123,999.0,999.0,,,,,,,,
732,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000LDWR.csv,1990-01-2412:00:00+00,2009-11-2812:00:00+00,513394,999.0,999.0,,,,,,,,
733,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00091285.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2623783,19.7183,-155.058,2.9078539405696895,-0.09400547050628053,0.1509243188993656,0.04030100461371645,3.158870529227208,-0.03475360728538906,0.16633310142305766,0.004133789589369412
734,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00091165.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2941131,21.9933,-159.347,1.518955229423586,0.009101742437128357,-0.07863844267537586,0.032237793277542774,1.3146715840094474,0.029135586755646058,-0.06372289316119462,-0.0026918373099563066
