primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20500-0-80305	2	29	2:80305	[]	MARDROME AAF	[]	[]	0	132.080002	-0.5	NA	1945-01-26	1945-09-20	1	0	63	NMS	[]	Sorong	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	131.57998296080714	132.58002103919287	-1.0	0.0	S. Schroeder	0	8
[]	-1	30	6:104275	[]		[]	[]	0	-55.0	17.700001	NA	1972-06-13	1973-05-31	1	0	63	NMS	[]	Saint-François	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	-55.524845406919454	-54.475154593080546	17.200001	18.200001	S. Schroeder	0	13
[]	-1	31	1:30669	[]		[]	[]	0	117.400002	53.0	NA	1962-09-28	1964-12-31	1	0	63	NMS	[]	Chernyshevsk	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	116.56918192943876	118.23082207056125	52.5	53.5	S. Schroeder	0	13
[]	-1	32	6:100886	[]		[]	[]	0	-88.599998	85.300003	NA	1971-04-05	1971-04-05	1	0	63	NMS	[]	Tromsø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-94.70213882233921	-82.49785717766079	84.800003	85.800003	S. Schroeder	0	13
0-20500-0-80306	2	33	2:80306	[]	SORIDO DROME AAF	[]	[]	0	136.050003	-1.18	NA	1944-11-08	1946-01-14	1	0	63	NMS	[]	Biak	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	135.54989694393308	136.55010905606693	-1.68	-0.6799999999999999	S. Schroeder	0	8
[]	-1	34	6:100890	[]		[]	[]	0	-89.0	85.300003	NA	1971-04-04	1971-04-04	1	0	63	NMS	[]	Tromsø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-95.10214082233921	-82.89785917766079	84.800003	85.800003	S. Schroeder	0	13
[]	-1	35	6:104645	[]		[]	[]	0	-15.3	44.700001	NA	1971-05-03	1971-05-03	1	0	63	NMS	[]	Muros	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-16.003433284652484	-14.596566715347517	44.200001	45.200001	S. Schroeder	0	13
[]	-1	36	1:30858	[]		[]	[]	0	113.720001	51.200001	NA	1976-07-14	1979-11-29	1	0	63	NMS	[]	Aginskoye	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	112.92204860682035	114.51795339317964	50.700001	51.700001	S. Schroeder	0	13
[]	-1	37	6:100068	[]		[]	[]	0	62.900002	-67.599998	NA	1955-10-09	1967-12-31	1	0	63	NMS	[]	Port Alfred	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	61.58790851626105	64.21209548373895	-68.099998	-67.099998	S. Schroeder	0	13
[]	-1	38	6:100897	[]		[]	[]	0	89.699997	-56.799999	NA	1971-09-19	1971-09-19	1	0	63	NMS	[]	Albany	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	88.78686046121803	90.61313353878197	-57.299999	-56.299999	S. Schroeder	0	13
