	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
28	era5.conv._3FHU	MOBILE	0-20999-0-3FHU	 	29	3FHU	 	 	 	 	 	nan	nan	 	199003	199003	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
29	era5.conv._§BBH	MOBILE	0-20999-0-§BBH	 	30	§BBH	 	 	 	 	 	nan	nan	 	199212	199212	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
30	era5.conv._D:N§	MOBILE	0-20999-0-D:N§	 	31	D:N§	 	 	 	 	 	nan	nan	 	199303	199303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
31	era5.conv._§NOS	MOBILE	0-20999-0-§NOS	 	32	§NOS	 	 	 	 	 	nan	nan	 	199209	199209	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
32	era5.conv._DBB§	MOBILE	0-20999-0-DBB§	 	33	DBB§	 	 	 	 	 	nan	nan	 	199205	200104	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
33	era5.conv._DJLK	MOBILE	0-20999-0-DJLK	 	34	DJLK	 	 	 	 	 	nan	nan	 	200202	200308	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
34	era5.conv._EGEI	MOBILE	0-20999-0-EGEI	 	35	EGEI	 	 	 	 	 	nan	nan	 	199009	199009	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
35	era5.conv._UZJP	MOBILE	0-20999-0-UZJP	 	36	UZJP	 	 	 	 	 	nan	nan	 	199309	199309	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
36	era5.conv._§P3OO4	MOBILE	0-20999-0-§P3OO4	 	37	§P3OO4	 	 	 	 	 	nan	nan	 	199305	199305	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
37	era5.conv._KUWEC	MOBILE	0-20999-0-KUWEC	 	38	KUWEC	 	 	 	 	 	nan	nan	 	198609	198609	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
38	era5.conv._UWSC	MOBILE	0-20999-0-UWSC	 	39	UWSC	 	 	 	 	 	nan	nan	 	198611	198611	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
39	era5.conv._CGUM	MOBILE	0-20999-0-CGUM	 	40	CGUM	 	 	 	 	 	nan	nan	 	198405	198405	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
40	era5.conv._UHUS	MOBILE	0-20999-0-UHUS	 	41	UHUS	 	 	 	 	 	nan	nan	 	198809	198809	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
41	era5.conv._DLML7	MOBILE	0-20999-0-DLML7	 	42	DLML7	 	 	 	 	 	nan	nan	 	200202	200202	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
42	era5.conv._F§RS	MOBILE	0-20999-0-F§RS	 	43	F§RS	 	 	 	 	 	nan	nan	 	199307	200210	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
43	era5.conv._41137	MOBILE	0-20999-0-41137	 	44	41137	 	 	 	 	 	nan	nan	 	198811	198811	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
