	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
41	era5.conv._35749	ORPHAN	0-20888-0-35749	 	42	35749	 	 	 	 	 	62.5	46.72	 	19880314	19880314	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
42	era5.conv._94050	ORPHAN	0-20888-0-94050	 	43	94050	 	 	 	 	 	147.8	-5.65	 	19790208	19790208	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
43	era5.conv._60739	MATCHING_ID_NONMATCHING_COORD	0-20777-0-60739	 	44	60739	 	 	 	 	 	[8.45, 8.45]	[35.15, 35.15]	 	20010520	20010520	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
44	era5.conv._89005	ORPHAN	0-20888-0-89005	 	45	89005	 	 	 	 	 	-9.75	-74.2	 	19961230	19961230	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
45	era5.conv._35021	ORPHAN	0-20888-0-35021	 	46	35021	 	 	 	 	 	55.47	52.35	 	19840409	19840409	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
46	era5.conv._07400	ORPHAN	0-20888-0-07400	 	47	7400	 	 	 	 	 	-1.23	45.7	 	19930917	19930917	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
47	era5.conv._42074	ORPHAN	0-20888-0-42074	 	48	42074	 	 	 	 	 	75.33	31.33	 	20141129	20141129	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
48	era5.conv._43069	ORPHAN	0-20888-0-43069	 	49	43069	 	 	 	 	 	74.58	18.15	 	20190725	20190725	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
49	era5.conv._02026	ORPHAN	0-20888-0-02026	 	50	2026	 	 	 	 	 	18.88	67.32	 	19810210	19810210	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
50	era5.conv._62761	ORPHAN	0-20888-0-62761	 	51	62761	 	 	 	 	 	33.58	13.95	 	19820620	19820620	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
51	era5.conv._42059	ORPHAN	0-20888-0-42059	 	52	42059	 	 	 	 	 	75.96	32.53	 	19790613	19790613	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
52	era5.conv._38082	ORPHAN	0-20888-0-38082	 	53	38082	 	 	 	 	 	70.02	44.83	 	19810818	19810818	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
53	era5.conv._28026	ORPHAN	0-20888-0-28026	 	54	28026	 	 	 	 	 	56.8	59.65	 	19861021	19861021	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
54	era5.conv._16116	ORPHAN	0-20888-0-16116	 	55	16116	 	 	 	 	 	8.1	44.8	 	19840515	19840515	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
55	era5.conv._82780	MATCHING_ID_NONMATCHING_COORD	0-20777-0-82780	 	56	82780	 	 	 	 	 	[-41.12, -41.12]	[-7.08, -7.08]	 	19830127	19830127	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
56	era5.conv._87657	ORPHAN	0-20888-0-87657	 	57	87657	 	 	 	 	 	-56.67	-36.88	 	19830919	19830919	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
57	era5.conv._42472	ORPHAN	0-20888-0-42472	 	58	42472	 	 	 	 	 	81.95	25.9	 	20160331	20160331	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
58	era5.conv._62855	ORPHAN	0-20888-0-62855	 	59	62855	 	 	 	 	 	29.8	9.23	 	19831107	19831107	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
59	era5.conv._63687	ORPHAN	0-20888-0-63687	 	60	63687	 	 	 	 	 	34.78	0.28	 	19900112	19900112	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
60	era5.conv._97004	ORPHAN	0-20888-0-97004	 	61	97004	 	 	 	 	 	126.7	4.22	 	19830411	19830411	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
61	era5.conv._10001	ORPHAN	0-20888-0-10001	 	62	10001	 	 	 	 	 	7.17	54.7	 	19811026	19811026	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
62	era5.conv._41880	ORPHAN	0-20888-0-41880	 	63	41880	 	 	 	 	 	91.44	24.17	 	19790829	19790829	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
63	era5.conv._31286	ORPHAN	0-20888-0-31286	 	64	31286	 	 	 	 	 	135.28	54.7	 	19810919	19810919	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
64	era5.conv._51931	ORPHAN	0-20888-0-51931	 	65	51931	 	 	 	 	 	81.66	36.85	 	19790807	19790807	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
65	era5.conv._56021	MATCHING_ID_NONMATCHING_COORD	0-20777-0-56021	 	66	56021	 	 	 	 	 	[95.27, 95.27]	[34.32, 34.32]	 	19790802	19790802	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
66	era5.conv._43327	ORPHAN	0-20888-0-43327	 	67	43327	 	 	 	 	 	78.8	10.06	 	19790529	19790529	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
