	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	file
61	0-20000-0-71579	0	62	71843	3	WINNIPEG THE FORKS, MAN			0	-97.12944444444445	49.88833333333334		20180604	20210817	1	0	63	NMS	37	Winnipeg									['38', '85', '106', '107']							L.Haimberger	0	0.9		2.7	uadb_windc_71843.txt
62	0-20000-0-63533	0	63	63533	3	NEGHELLE			0	39.56666666666667	5.333333333333333		19940224	20081006	1	0	63	NMS	68	Shakiso									['38', '85', '106', '107']							L.Haimberger	0	21.2		106.0	uadb_trhc_63533.txt
63	0-20000-0-91212	0	64	91215	3	WEATHER FORECAST OFFICE, GUAM, MARIANA IS.			0	144.79444444444445	13.476666666666668		19490104	19501030	1	0	63	NMS	91	None									['38', '85', '106', '107']							L.Haimberger	0	5.5		None	uadb_windc_91215.txt
64	0-20000-0-40621	0	65	69792	3	KIRKUK			0	44.4	35.46666666666667		20060417	20080512	1	0	63	NMS	106	Kirkuk									['38', '85', '106', '107']							L.Haimberger	0	4.6		3.8	uadb_trhc_69792.txt
65	0-20000-0-48379	0	66	48379	3	PHETCHABUN			0	101.15166666666669	16.434722222222227		19670102	20130105	1	0	63	NMS	216	Phetchabun									['38', '85', '106', '107']							L.Haimberger	0	0.6		3.2	uadb_windc_48379.txt
66	0-20000-0-55472	0	67	55472	3	XAINZA			0	88.63333333333334	30.95		19770410	19911029	1	0	63	NMS	47	Lasa									['38', '85', '106', '107']							L.Haimberger	0	0.3		277.9	uadb_trhc_55472.txt
67	0-20300-0-04876	0	68	71916	3	CHESTERFIELD INLET			0	-90.7	63.5		19620303	19701216	1	0	63	NMS	37	None									['38', '85', '106', '107']							L.Haimberger	0	22.3		None	uadb_windc_71916.txt
68	0-20700-0-36428	0	69	36421	3	ULKEN NARYN              			0	84.0	49.0		19660603	19680430	1	0	63	NMS	124	Zyryanovsk									['38', '85', '106', '107']							L.Haimberger	0	22.2		63.1	uadb_windc_36421.txt
69	0-20000-0-82579	0	70	82579	3	TERESINA (AERO)			0	-42.81666666666667	-5.05		19710102	20010628	1	0	63	NMS	30	Teresina									['38', '85', '106', '107']							L.Haimberger	0	0.4		0.5	uadb_trhc_82579.txt
70	0-20000-0-60220	0	71	60220	3	ESSAOUIRA			0	-9.773333333333332	31.51		19681105	19700528	1	0	63	NMS	136	Asfi									['38', '85', '106', '107']							L.Haimberger	0	1.3		100.5	uadb_windc_60220.txt
71	0-20000-0-80425	0	72	80425	3	MENE GRANDE			0	-70.93333333333334	9.816666666666666		19700204	19850207	1	0	63	NMS	236	Bachaquero									['38', '85', '106', '107']							L.Haimberger	0	0.5		26.2	uadb_windc_80425.txt
72	0-20000-0-97530	0	73	97530	3	MANOKWARI/RENDANI			0	134.05055555555558	-0.8922222222222221		20180110	20211231	1	0	63	NMS	100	Manokwari									['38', '85', '106', '107']							L.Haimberger	0	1.4		4.0	uadb_windc_97530.txt
73	0-20000-0-47616	0	74	47616	3	FUKUI			0	136.2225	36.05555555555555		19380601	19410625	1	0	63	NMS	113	Maruoka									['38', '85', '106', '107']							L.Haimberger	0	0.9		11.6	uadb_windc_47616.txt
74	0-20000-0-60720	0	75	60720	3	KELIBIA			0	11.083333333333336	36.85		19820202	19921216	1	0	63	NMS	221	Manzil Tamim									['38', '85', '106', '107']							L.Haimberger	0	24.9		32.2	uadb_trhc_60720.txt
75	0-20000-0-07535	0	76	7535	3	GOURDON			0	1.3966666666666667	44.745		19700309	19720826	1	0	63	NMS	74	Cahors									['38', '85', '106', '107']							L.Haimberger	0	0.6		33.0	uadb_windc_7535.txt
76	0-20000-0-42416	0	77	42416	3	TEZPUR/BINDUKURI			0	92.8	26.716666666666665		19700114	19750707	1	0	63	NMS	104	Tezpur									['38', '85', '106', '107']							L.Haimberger	0	1.8		9.6	uadb_windc_42416.txt
77	0-20000-0-41529	0	78	41529	3	PESHAWAR			0	71.93333333333334	34.03333333333333		20141002	20141002	1	0	63	NMS	177	Amangarh									['38', '85', '106', '107']							L.Haimberger	0	0.5		2.7	uadb_trhc_41529.txt
78	0-20001-0-72403	0	79	72413	3	STERLING, VA.			0	-77.48583333333333	38.97666666666667		20190709	20211227	1	0	63	NMS	231	Herndon									['38', '85', '106', '107']							L.Haimberger	0	1.6		8.4	uadb_windc_72413.txt
79	0-20000-0-74545	0	80	74545	3	SMOKEY HILL GUNNERY RANGE, KS.			0	-97.8	38.65		19700211	19720830	1	0	63	NMS	231	Salina									['38', '85', '106', '107']							L.Haimberger	0	5.6		22.6	uadb_windc_74545.txt
80	0-20000-0-07354	0	81	7354	3	CHATEAUROUX DEOLS			0	1.7411111111111113	46.86972222222222		19620304	19640805	1	0	63	NMS	74	Chateauroux									['38', '85', '106', '107']							L.Haimberger	0	2.7		4.6	uadb_trhc_7354.txt
81	0-20000-0-17609	0	82	17609	3	LARNACA AIRPORT			0	33.617222222222225	34.87333333333333		19810701	20110105	1	0	63	NMS	53	Larnaca									['38', '85', '106', '107']							L.Haimberger	0	1.4		4.1	uadb_trhc_17609.txt
82	0-20000-0-53529	0	83	53529	3	OTOG QI			0	107.98333333333332	39.1		19710119	19870622	1	0	63	NMS	47	Wuda									['38', '85', '106', '107']							L.Haimberger	0	0.3		118.1	uadb_trhc_53529.txt
83	0-20000-0-78730	0	84	78730	3	PUERTO CABEZAS			0	-83.63333333333334	14.066666666666665		19750828	19970418	1	0	63	NMS	164	Puerto Cabezas									['38', '85', '106', '107']							L.Haimberger	0	25.5		1.8	uadb_trhc_78730.txt
84	0-20000-0-06081	0	85	6086	3	BLAAVANDSHUK FYR			0	8.082777777777778	55.5575		20120910	20210826	1	0	63	NMS	58	Varde									['38', '85', '106', '107']							L.Haimberger	0	10.8		15.3	uadb_trhc_6086.txt
85	0-20000-0-41506	0	86	41506	3	CHITRAL			0	71.83333333333333	35.85		19870513	20110105	1	0	63	NMS	177	Chitral									['38', '85', '106', '107']							L.Haimberger	0	0.3		4.0	uadb_trhc_41506.txt
86	0-20000-0-41943	0	87	41943	3	FENI (41943-0)			0	91.41666666666669	23.03333333333333		19890113	20110105	1	0	63	NMS	19	Feni									['38', '85', '106', '107']							L.Haimberger	0	0.5		1.6	uadb_trhc_41943.txt
87	0-20000-0-07618	0	88	7630	3	TOULOUSE RW			0	1.3744444444444446	43.57694444444446		19710427	19840803	1	0	63	NMS	74	Blagnac									['38', '85', '106', '107']							L.Haimberger	0	4.8		2.4	uadb_trhc_7630.txt
