primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20000-0-66160	5	27	661600	-1	LUANDA	[]	[]	0	13.229999542236328	-8.850000381469727	NA	1948-01-02	1951-12-31	1	0	63	NMS	[]	Luanda	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	12.723975067253392	13.736024017219265	-9.350000381469727	-8.350000381469727	S. Schroeder	0	8
0-20000-0-66285	5	28	[]	[]	LUENA (LUSO)	[]	[]	0	19.920000076293945	-11.779999732971191	NA	1952-11-12	1953-12-31	1	0	63	NMS	[]	Luena	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	19.409242872056534	20.430757280531356	-12.279999732971191	-11.279999732971191	S. Schroeder	0	8
0-20000-0-66422	5	29	664220	-1	MOCAMEDES	[]	[]	0	12.149999618530273	-15.199999809265137	NA	1960-01-02	1962-12-30	1	0	63	NMS	[]	Namibe	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59]	NA	[]	11.631873760151883	12.668125476908664	-15.699999809265137	-14.699999809265137	S. Schroeder	0	13
0-20000-0-67341	5	30	[]	[]	MAPUTO/MAVALANE	[]	[]	0	32.56999969482422	-25.920000076293945	NA	1953-01-02	1965-12-30	1	0	63	NMS	[]	Maputo	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59]	NA	[]	32.01407676747551	33.12592262217293	-26.420000076293945	-25.420000076293945	S. Schroeder	0	13
0-20000-0-71805	5	31	[]	[]	SAINT-PIERRE	[]	[]	0	-56.17900085449219	46.76599884033203	NA	1938-08-24	1957-08-16	1	0	63	NMS	[]	Bay Roberts	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-56.908949622988416	-55.44905208599596	46.26599884033203	47.26599884033203	S. Schroeder	0	8
0-20000-0-78897	5	32	[]	[]	LE RAIZET AERO	[]	[]	0	-61.51599884033203	16.624000549316406	NA	1951-11-01	1957-12-31	1	0	63	NMS	[]	Sainte-Rose	NA	NA	0	63	29	1	NA	NA	[111, 112, 2, 29]	NA	[]	-62.03780903562242	-60.99418864504164	16.124000549316406	17.124000549316406	S. Schroeder	0	13
0-20000-0-78925	5	33	[]	[]	LAMENTIN-AERO	[]	[]	0	-60.994998931884766	14.595000267028809	NA	1951-02-12	1957-12-31	1	0	63	NMS	[]	Le Lamentin	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-61.51167135001885	-60.47832651375068	14.095000267028809	15.095000267028809	S. Schroeder	0	8
0-20000-0-78926	5	34	[]	[]	LAMENTIN-AERO	[]	[]	0	-61.0629997253418	14.616999626159668	NA	1939-01-01	1952-12-31	1	0	63	NMS	[]	Fort-de-France	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-61.579723842936765	-60.54627560774683	14.116999626159668	15.116999626159668	S. Schroeder	0	8
0-20000-0-81405	5	35	[]	[]	CAYENNE MATOURY	[]	[]	0	-52.3650016784668	4.822000026702881	NA	1948-06-01	1960-12-31	1	0	63	NMS	[]	Matoury	NA	NA	0	63	29	1	NA	NA	[111, 112, 2, 29]	NA	[]	-52.86677763630947	-51.86322572062412	4.322000026702881	5.322000026702881	S. Schroeder	0	13
0-20000-0-85350	5	36	[]	[]	LISBOA/GEOFISICO	[]	[]	0	-9.149999618530273	38.720001220703125	NA	1939-09-04	1944-12-31	1	0	63	NMS	[]	Lisbon	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-9.790851000883096	-8.50914823617745	38.220001220703125	39.220001220703125	S. Schroeder	0	8
0-20000-0-89642	5	37	[]	[]	DUMONT D'URVILLE	[]	[]	0	140.00100708007812	-66.66300201416016	NA	1951-02-07	1958-12-01	1	0	63	NMS	[]	Hobart	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	138.73882224607974	141.26319191407651	-67.16300201416016	-66.16300201416016	S. Schroeder	0	13
0-20000-0-91577	5	38	[]	[]	KOUMAC (NLLE-CALEDONIE)	[]	[]	0	164.28399658203125	-20.558000564575195	NA	1950-01-03	1957-10-31	1	0	63	NMS	[]	Païta	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	163.74998951357404	164.81800365048846	-21.058000564575195	-20.058000564575195	S. Schroeder	0	8
0-20000-0-91590	5	39	[]	[]	LA TONTOUTA (NLLE-CALEDONIE)	[]	[]	0	166.2220001220703	-22.017000198364258	NA	1950-04-28	1957-08-06	1	0	63	NMS	[]	Païta	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	165.68266807273255	166.76133217140807	-22.517000198364258	-21.517000198364258	S. Schroeder	0	8
0-20000-0-91592	5	40	[]	[]	NOUMEA (NLLE-CALEDONIE)	[]	[]	0	166.45199584960938	-22.275999069213867	NA	1950-11-01	1957-12-31	1	0	63	NMS	[]	Nouméa	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	165.91167061529518	166.99232108392357	-22.775999069213867	-21.775999069213867	S. Schroeder	0	8
0-20000-0-91930	5	41	[]	[]	BORA-BORA-MOTU-AERO	[]	[]	0	-151.75599670410156	-16.490999221801758	NA	1953-08-06	1954-09-29	1	0	63	NMS	[]	Faaa	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-152.27744690219885	-151.23454650600428	-16.990999221801758	-15.990999221801758	S. Schroeder	0	8
0-20000-0-91938	5	42	[]	[]	TAHITI-FAAA	[]	[]	0	-149.61399841308594	-17.55500030517578	NA	1957-07-12	1958-12-31	1	0	63	NMS	[]	Faaa	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	-150.13842194284013	-149.08957488333175	-18.05500030517578	-17.05500030517578	S. Schroeder	0	13
0-20000-0-91943	5	43	[]	[]	TAKAROA	[]	[]	0	-145.02499389648438	-14.454000473022461	NA	1956-07-17	1957-05-15	1	0	63	NMS	[]	Mahina	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-145.541337011006	-144.50865078196276	-14.954000473022461	-13.954000473022461	S. Schroeder	0	8
0-20000-0-97390	5	44	[]	[]	DILI/DILI AIRPORT	[]	[]	0	125.58000183105469	-8.579999923706055	NA	1956-01-01	1972-12-31	1	0	63	NMS	[]	Atambua	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	125.07434275697688	126.0856609051325	-9.079999923706055	-8.079999923706055	S. Schroeder	0	8
0-20000-0-97395	5	45	[]	[]	BAU CAU	[]	[]	0	126.44999694824219	-8.470000267028809	NA	1950-10-03	1955-11-16	1	0	63	NMS	[]	Atambua	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	125.94448337229377	126.9555105241906	-8.970000267028809	-7.970000267028809	S. Schroeder	0	8
0-20000-0-07108	5	46	4342	4	PLABENNEC-RADAR	[]	[]	0	-4.507999897003174	48.375	NA	1925-01-06	1927-11-04	1	0	63	NMS	[]	Brest	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-5.2607257756950645	-3.755274018311283	47.875	48.875	S. Schroeder	0	8
0-20000-0-07024	5	47	4344	4	MAUPERTUS GONNEVILLE	[]	[]	0	-1.6330000162124634	49.650001525878906	NA	1945-07-10	1948-11-11	1	0	63	NMS	[]	Cherbourg	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-2.405254379260164	-0.860745653164763	49.150001525878906	50.150001525878906	S. Schroeder	0	8
0-20000-0-07747	5	48	4347	4	PERPIGNAN	[]	[]	0	2.884999990463257	42.70100021362305	NA	1923-05-13	1924-07-27	1	0	63	NMS	[]	Perpignan	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	2.2046378668323383	3.5653621140941754	42.20100021362305	43.20100021362305	S. Schroeder	0	8
0-20000-0-07761	5	49	4351	4	AJACCIO	[]	[]	0	8.762999534606934	41.92399978637695	NA	1924-07-27	1928-12-31	1	0	63	NMS	[]	Ajaccio	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	8.090985195007748	9.435013874206119	41.42399978637695	42.42399978637695	S. Schroeder	0	8
0-20000-0-07761	5	50	4352	4	AJACCIO	[]	[]	0	8.762999534606934	41.92399978637695	NA	1929-01-03	1929-06-22	1	0	63	NMS	[]	Ajaccio	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	8.090985195007748	9.435013874206119	41.42399978637695	42.42399978637695	S. Schroeder	0	8
0-20000-0-07761	5	51	4354	4	AJACCIO	[]	[]	0	8.793000221252441	41.917999267578125	NA	1944-03-02	1944-03-30	1	0	63	NMS	[]	Ajaccio	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	8.12104907295867	9.464951369546213	41.417999267578125	42.417999267578125	S. Schroeder	0	8
0-20000-0-07761	5	52	4355	4	AJACCIO	[]	[]	0	8.762999534606934	41.92399978637695	NA	1945-07-25	1948-12-31	1	0	63	NMS	[]	Ajaccio	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	8.090985195007748	9.435013874206119	41.42399978637695	42.42399978637695	S. Schroeder	0	8
