	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	elevation
45	0-20000-0-02055	0	45	2055	3	NAIMAKKA			0	21.5275	68.67777777777778		20030728	20041106	1	0	63	NMS	69.0	Kiruna									106,107,117,126,137,138,139,140,39							L.Haimberger	0	402.29
46	0-20000-0-02095	0	46	9:4177	3	PAJALA			0	23.39	67.20361111111112		19400122	19400604	1	0	63	NMS	196.0	Rovaniemi									117,126							L.Haimberger	0	165.9
47	0-20000-0-02110	0	47	2105	3	GIELAS			0	15.068888888888887	65.32805555555555		19860115	19860115	1	0	63	NMS	196.0	Mo I Rana									106,107,117,139,140							L.Haimberger	0	577.3
48	0-20000-0-02119	0	48	2120,3:GBFF,GBFF	3	KVIKKJOKK ARRENJARKA			0	18.01972222222222	66.88722222222223		19650721	20010902	1	0	63	NMS	196.0	Kiruna									106,107,117,126,137,138,139,140,39							L.Haimberger	0	316.6
49	0-20000-0-02151	0	49	2152	3	JOKKMOKK FPL			0	20.166666666666668	66.48333333333333		19810727	19810727	1	0	63	NMS	196.0	Boden									106,107,117,126,137,138,139,140,39							L.Haimberger	0	275.0
50	0-20000-0-02154	0	50	2154	3	VIDSEL			0	20.154166666666665	65.86777777777777		19980612	19980612	1	0	63	NMS	196.0	Boden									106,107,117,126,137,138,139,140,39							L.Haimberger	0	182.0
51	0-20000-0-02171	0	51	9:4182	3	BODEN			0	21.634444444444444	65.80833333333334		19320815	19331213	1	0	63	NMS	196.0	Boden									117,126							L.Haimberger	0	26.8
52	0-20000-0-02173	0	52	9:3355	3	ALVSBYN			0	21.06638888888889	65.67027777777778		19320815	19331213	1	0	63	NMS	196.0	Pitea									117,126							L.Haimberger	0	43.22
53	0-20000-0-02181	0	53	2182	3	OVERKALIX-SVARTBYN			0	22.8475	66.26305555555555		19830311	19830311	1	0	63	NMS	196.0	Boden									106,107,117,139,140							L.Haimberger	0	61.99
54	0-20000-0-02185	0	54	1:2057,1:2185,2057,2185,2186	3	LULEA-KALLAX (2185-0)			0	22.114444444444445	65.54333333333334		19490201	20211112	1	0	63	NMS	196.0	Lulea									106,107,117,126,137,138,139,140,39							L.Haimberger	0	32.0
