primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-78367	5	27	-1	-1	GUANTANAMO, ORIENTE (78367-0)	-1	-1	0	-75.15	19.9	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Guantánamo	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-75.68175190203637	-74.61824809796364	19.4	20.4	S. Schroeder	0
0-20000-0-78397	5	28	-1	-1	KINGSTON/NORMAN MANLEY	-1	-1	0	-76.78	17.93	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Half Way Tree	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-77.30552289055149	-76.25447710944852	17.43	18.43	S. Schroeder	0
0-20000-0-78501	5	29	-1	-1	ISLAS DEL CISNE	-1	-1	0	-83.93	17.4	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Tocoa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-84.4539770161228	-83.40602298387721	16.9	17.9	S. Schroeder	0
0-20000-0-78384	5	30	-1	-1	OWEN ROBERTS AIRPORT GRAND CAYMAN	-1	-1	0	-81.37	19.3	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	George Town	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-81.89977272290439	-80.84022727709562	18.8	19.8	S. Schroeder	0
0-20000-0-80001	5	31	-1	-1	SAN ANDRES (ISLA)/SESQUICENTENARIO	-1	-1	0	-81.7	12.58	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	San Andrés	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-82.21229883558655	-81.18770116441345	12.08	13.08	S. Schroeder	0
0-20001-0-01001	5	32	-1	-1	JAN MAYEN (1001-1)	-1	-1	0	-8.67	70.95	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Akureyri	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-10.201894889549584	-7.138105110450415	70.45	71.45	S. Schroeder	0
0-20000-0-01002	5	33	-1	-1	VERLEGENHUKEN	-1	-1	0	18.3	80.05	NA	1958-01-02	1978-07-05	1	0	63	NMS	-1	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	15.406292331570697	21.193707668429305	79.55	80.55	S. Schroeder	0
0-20000-0-12374	5	34	-1	-1	LEGIONOWO	-1	-1	0	20.97	52.42	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Legionowo	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	20.150151218960982	21.789848781039016	51.92	52.92	S. Schroeder	0
0-20000-0-12375	5	35	-1	-1	WARSZAWA-OKECIE	-1	-1	0	20.97	52.18	NA	1958-01-21	1969-04-03	1	0	63	NMS	-1	Warsaw	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	20.154582520009928	21.78541747999007	51.68	52.68	S. Schroeder	0
0-20000-0-12424	5	36	-1	-1	WROCLAW II	-1	-1	0	16.98	51.13	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Wroclaw	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	16.183257700065557	17.776742299934444	50.63	51.63	S. Schroeder	0
