	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	file
44	0-20000-0-40763	0	45	['40763']	3	KASHMAR			0	58.47	35.27		19940315	19940315	1	0	63	NMS	107	Neyshabur									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	7.8		116.2	era5.conv._40763
45	0-20000-0-95901	0	46	['94880']	3	MOUNT BAW BAW			0	146.27	-37.84		19810113	19810113	1	0	63	NMS	13	Pakenham									[104, 105, 106, 107, 117]							L.Haimberger	0	24.0		51.3	era5.conv._94880
46	0-20000-0-30650	0	47	['30650']	3	ROMANOVKA			0	112.78	53.2		19890824	19891120	1	0	63	NMS	190	Chita									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	2.3		141.2	era5.conv._30650
47	0-20000-0-32562	0	48	['32564']	3	BOL' SHERETZK			0	156.3	52.83		19861113	19861113	1	0	63	NMS	190	Yelizovo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	18.4		155.6	era5.conv._32564
48	0-20000-0-64207	0	49	['64207']	3	MATADI			0	13.43	-5.8		19890308	19890308	1	0	63	NMS	39	Matadi									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		2.9	era5.conv._64207
49	0-20000-0-22887	0	50	['22887']	3	KOTLAS			0	46.69	61.24		19850811	19850811	1	0	63	NMS	190	Kotlas									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	3.4		3.2	era5.conv._22887
50	0-20000-0-38567	0	51	['38567']	3	NAVOI			0	65.35	40.13		19920930	19920930	1	0	63	NMS	233	Karmana									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		1.8	era5.conv._38567
51	0-20000-0-62635	0	52	['62635']	3	ARBAT			0	36.97	19.83		19930429	19930429	1	0	63	NMS	195	Sawakin									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		88.8	era5.conv._62635
52	0-20000-0-40769	0	53	['40769']	3	ARAK (40769-0)			0	49.78	34.07		19810908	19810908	1	0	63	NMS	107	Arak									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	7.5		1.6	era5.conv._40769
53	0-20000-0-64503	0	54	['64521']	3	MAYUMBA			0	10.65	-3.42		19860226	19911114	1	0	63	NMS	75	Tchibanga									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		76.1	era5.conv._64521
54	0-20000-0-23606	0	55	['23606']	3	UHTA			0	53.81	63.58		19810721	19870829	1	0	63	NMS	190	Ukhta									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.6		1.8	era5.conv._23606
55	0-20000-0-94376	0	56	['94376']	3	THANGOOL AIRPORT			0	150.57	-24.49		19810328	19810328	1	0	63	NMS	13	Gladstone									[104, 105, 106, 107, 117]							L.Haimberger	0	1.5		98.1	era5.conv._94376
56	0-20000-0-13583	0	57	['13583']	3	BITOLA			0	21.37	41.05		20010607	20010607	1	0	63	NMS	143	Bitola									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		3.3	era5.conv._13583
57	0-20000-0-48848	0	58	['48817']	3	DONG HOI			0	106.6	17.48		19861219	19861219	1	0	63	NMS	239	Dong Hoi									[104, 105, 106, 107, 117]							L.Haimberger	0	4.9		4.6	era5.conv._48817
58	0-20000-0-41898	0	59	['41898']	3	SERAJGONJ			0	89.7	24.45		19860624	19860624	1	0	63	NMS	19	Sirajganj									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		1.7	era5.conv._41898
59	0-20000-0-03002	0	60	['03007']	3	BALTASOUND NO 2			0	-0.86	60.75		19930609	19930609	1	0	63	NMS	76	Fraserburgh									[104, 105, 106, 107, 117]							L.Haimberger	0	29.3		325.5	era5.conv._03007
60	0-20000-0-82824	0	61	['82825']	3	PORTO VELHO (AERO)			0	-63.92	-8.77		19791114	19791114	1	0	63	NMS	30	Porto Velho									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		2.2	era5.conv._82825
61	0-20000-0-48461	0	62	['48461']	3	PHATTHAYA			0	100.87	12.92		20010215	20010215	1	0	63	NMS	216	Pattaya									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		2.1	era5.conv._48461
62	0-20000-0-43422	0	63	['43422']	3	MAHA ILLUPPALLAMA			0	80.47	8.12		19980621	19980706	1	0	63	NMS	129	Anuradhapura									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		27.2	era5.conv._43422
63	0-20000-0-94672	0	64	['94675']	3	ADELAIDE AIRPORT			0	138.52	-34.95		19810401	19810401	1	0	63	NMS	13	Adelaide									[104, 105, 106, 107, 117]							L.Haimberger	0	9.7		2.2	era5.conv._94675
64	0-20000-0-43258	0	65	['43258']	3	SHIMOGA			0	75.63	13.93		19820615	19820615	1	0	63	NMS	104	Shimoga									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		6.2	era5.conv._43258
65	0-20000-0-72330	0	66	['72330']	3	POPLAR BLUFF, MO.			0	-90.47	36.77		19830303	19830320	1	0	63	NMS	231	Poplar Bluff									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		7.0	era5.conv._72330
66	0-454-2-AWSLUCHENZA	0	67	['67793']	3	LUCHENZA			0	35.29	-16.01		19871206	19910718	1	0	63	NMS	155	Luchenza									[104, 105, 106, 107, 117]							L.Haimberger	0	17.2		17.1	era5.conv._67793
67	0-20000-0-65548	0	68	['62893']	3	MAN			0	-7.52	7.38		19930422	19930422	1	0	63	NMS	43	Man									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		5.2	era5.conv._62893
68	0-20000-0-48004	0	69	['48004']	3	HKAMTI			0	95.7	26.0		19821012	19930816	1	0	63	NMS	145	Tuensang									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		92.2	era5.conv._48004
69	0-20000-0-33526	0	70	['33526']	3	Ivano-Frankivsk			0	24.69	48.89		19930612	19930612	1	0	63	NMS	228	Kalush									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.3		27.0	era5.conv._33526
70	0-20000-0-02154	0	71	['02154']	3	VIDSEL			0	20.15	65.87		19980612	19980612	1	0	63	NMS	196	Boden									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.1		71.0	era5.conv._02154
71	0-20000-0-63612	0	72	['47373']	3	LODWAR			0	35.59	3.12		19850906	19850906	1	0	63	NMS	114	Lodwar									[104, 105, 106, 107, 117]							L.Haimberger	0	3.3		2.3	era5.conv._47373
72	0-20000-0-95529	0	73	['94529']	3	MILES CONSTANCE STREET			0	150.18	-26.66		19810218	19810218	1	0	63	NMS	13	Toowoomba									[104, 105, 106, 107, 117]							L.Haimberger	0	1.1		201.7	era5.conv._94529
73	0-20000-0-67591	0	74	['67591']	3	NKHOTA KOTA			0	34.27	-12.92		19860607	19860607	1	0	63	NMS	155	Nkhotakota									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		3.3	era5.conv._67591
74	0-20000-0-31913	0	75	['31913']	3	TURIJ ROG			0	131.98	45.22		19870123	19870123	1	0	63	NMS	190	Mishan									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		36.7	era5.conv._31913
75	0-20000-0-60018	0	76	['60015']	3	TENERIFE-GUIMAR			0	-16.38	28.32		19810328	19821105	1	0	63	NMS	67	Santa Cruz De Tenerife									[104, 105, 106, 107, 117]							L.Haimberger	0	18.4		5.3	era5.conv._60015
76	0-20000-0-04242	0	77	['04242']	3	SIORALIK			0	-52.55	65.02		19870421	19870421	1	0	63	NMS	83	Nuuk									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		100.8	era5.conv._04242
77	0-20000-0-72271	0	78	['72271']	3	TRUTH OR CONSEQUENCES, NM			0	-107.27	33.23		19850201	19850201	1	0	63	NMS	231	Las Cruces									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		111.7	era5.conv._72271
78	0-20000-0-42349	0	79	['42349']	3	TONK			0	75.75	26.17		19991005	19991005	1	0	63	NMS	104	Tonk									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		3.4	era5.conv._42349
79	0-20000-0-17084	0	80	['17084']	3	CORUM			0	34.94	40.55		19870609	19870609	1	0	63	NMS	223	Corum									[104, 105, 106, 107, 117]							L.Haimberger	0	2.5		1.4	era5.conv._17084
80	0-20000-0-94294	0	81	['94297']	3	TOWNSVILLE AERO			0	146.77	-19.25		19810308	19810308	1	0	63	NMS	13	Townsville									[104, 105, 106, 107, 117]							L.Haimberger	0	25.8		23.1	era5.conv._94297
81	0-20000-0-02432	0	82	['02432']	3	OREBRO			0	15.05	59.23		19991026	19991107	1	0	63	NMS	196	Orebro									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		11.2	era5.conv._02432
82	0-20000-0-74796	0	83	['76800']	3	AVON PARK GUNNERY RANGE, FL.			0	-81.33	27.65		19881127	19881127	1	0	63	NMS	231	Sebring									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.5		20.8	era5.conv._76800
83	0-20000-0-02679	0	84	['02599']	3	HOBURG A			0	18.15	56.92		19850314	19850314	1	0	63	NMS	196	Visby									[39, 106, 107, 117]							L.Haimberger	0	17.2		62.9	era5.conv._02599
84	0-20000-0-33261	0	85	['33261']	3	Konotop			0	33.19	51.24		19880705	19880705	1	0	63	NMS	228	Konotop									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.3		1.2	era5.conv._33261
85	0-20000-0-64753	0	86	['64753']	3	FAYA			0	19.17	18.0		19870716	19870716	1	0	63	NMS	213	Faya									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		10.8	era5.conv._64753
86	0-20000-0-94402	0	87	['94402']	3	DENHAM			0	113.53	-25.93		19810317	19810317	1	0	63	NMS	13	Geraldton									[104, 105, 106, 107, 117]							L.Haimberger	0	44.6		291.6	era5.conv._94402
87	0-20000-0-72638	0	88	['72638']	3	HOUGHTON LAKE/ROSCOMMON COUNTY,  MI.			0	-84.68	44.37		19990205	19990205	1	0	63	NMS	231	Cadillac									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		59.0	era5.conv._72638
88	0-20000-0-63333	0	89	['63531']	3	COMBOLCHA			0	39.73	11.12		19860822	19920905	1	0	63	NMS	68	Kembolcha									[104, 105, 106, 107, 117]							L.Haimberger	0	4.6		1.5	era5.conv._63531
89	0-20000-0-64453	0	90	['64471']	3	DJAMBALA			0	14.77	-2.53		19870827	19870827	1	0	63	NMS	39	Gamboma									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		141.6	era5.conv._64471
90	0-20000-0-78583	0	91	['78584']	3	BELIZE/PHILLIP GOLDSTON INTL. AIRPORT			0	-88.3	17.53		20020904	20020904	1	0	63	NMS	36	Belize									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	10.7		4.4	era5.conv._78584
91	0-20000-0-84018	0	92	['84013']	3	ESMERALDAS (TACHINA) AEROPUERTO			0	-79.63	0.98		19950312	19950312	1	0	63	NMS	62	Esmeraldas									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	7.1		6.8	era5.conv._84013
92	0-20000-0-41494	0	93	['42601']	3	SOCOTRA			0	53.9	12.63		19900427	19900427	1	0	63	NMS	243	Bereda									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		321.9	era5.conv._42601
93	0-20000-0-16749	0	94	['16749']	3	RHODES (AIRPORT)			0	28.09	36.4		19940615	19940615	1	0	63	NMS	88	Ialisos									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	3.5		4.7	era5.conv._16749
94	0-20000-0-04027	0	95	['04027']	3	ASGARDUR			0	-21.75	65.23		19800725	19810731	1	0	63	NMS	108	Reykjavik									[104, 105, 106, 107, 117]							L.Haimberger	0	12.3		108.5	era5.conv._04027
95	0-20000-0-22408	0	96	['22408']	3	KALEVALA			0	31.15	65.22		19870802	19870802	1	0	63	NMS	190	Kostomuksha									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	2.4		59.7	era5.conv._22408
96	0-20000-0-17115	0	97	['17115']	3	BANDIRMA HAVALİMANI			0	27.97	40.32		19900106	19900106	1	0	63	NMS	223	Gonen									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		36.0	era5.conv._17115
97	0-20000-0-94298	0	98	['94298']	3	MARION REEF			0	152.39	-19.1		19810417	19810417	1	0	63	NMS	13	Mackay									[104, 105, 106, 107, 117]							L.Haimberger	0	1.1		405.7	era5.conv._94298
98	0-20500-0-31306	0	99	['31306']	3	BAHAR DAR			0	37.42	11.6		19790925	19790925	1	0	63	NMS	68	Zeya									[39, 106, 107, 117]							L.Haimberger	0	9067.4	11123.4	101.1	era5.conv._31306
99	0-20000-0-87155	0	100	['87166']	3	RESISTENCIA AERO			0	-59.05	-27.44		19860416	19860416	1	0	63	NMS	10	Corrientes									[104, 105, 106, 107, 117]							L.Haimberger	0	27.7		7.2	era5.conv._87166
100	0-20000-0-27507	0	101	['27507']	3	GAGARIN			0	35.03	55.52		19830620	19830620	1	0	63	NMS	190	Gzhatsk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		4.3	era5.conv._27507
101	0-20000-0-85041	0	102	['85041']	3	COBIJA			0	-68.78	-11.03		19930329	19930329	1	0	63	NMS	29	Cobija									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.1		5.3	era5.conv._85041
102	0-20000-0-06060	0	103	['06062']	3	FLYVESTATION KARUP			0	9.11	56.29		19850807	19850807	1	0	63	NMS	58	Skive									[104, 105, 106, 107, 117]							L.Haimberger	0	29.2		8.1	era5.conv._06062
103	0-20000-0-96011	0	104	['95491']	3	BANDA ACEH/BLANG BINTANG			0	95.42	5.52		19871210	19871210	1	0	63	NMS	100	Banda Aceh									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		11.6	era5.conv._95491
104	0-20000-0-95869	0	105	['94869']	3	DENILIQUIN AIRPORT AWS			0	144.95	-35.56		19800815	19800815	1	0	63	NMS	13	Bendigo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.4		150.0	era5.conv._94869
