	primary_id	primary_id_scheme	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
1146	0-20000-0-32076	0	32076	1	POGRANICHNOE			0	143.77	50.4		20100516	20100516	1	0	63			Aleksandrovsk-Sakhalinskiy									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1147	0-20000-0-32098	0	1:32098,32098	1	PORONAJSK			0	143.1	49.22		19700211	20210430	1	0	63			Poronaysk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1148	0-20000-0-32099	0	1:32099,32099	1	MYS TERPENIYA			0	144.73	48.65		19550305	19920529	1	0	63			Poronaysk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1149	0-20000-0-32121	0	32121	1	ILYINSKIY			0	142.2	47.98		19811222	19931225	1	0	63			Dolinsk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1150	0-20000-0-32150	0	1:32150,1:32152,32150,32152	1	JUZHNO-SAHALINSK			0	142.72	46.95		19480104	20210430	1	0	63			Korsakov									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1151	0-20000-0-32165	0	1:32165,32165	1	JUZHNO-KURIL'SK			0	145.87	44.02		19511003	19950505	1	0	63			Shibetsu									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1152	0-20000-0-32215	0	32215	1	SEVERO-KURIL'SK			0	156.13	50.68		19841030	20210430	1	0	63			Petropavlovsk-Kamchatskiy									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1153	0-20000-0-32287	0	32287	1	UST'- HAJRJUZOVO			0	156.74	57.1		19790609	19920313	1	0	63			Yelizovo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1154	0-20000-0-32389	0	1:32389,32389,C:4559,C:4621	1	KLJUCHI			0	160.83	56.32		19500520	20210430	1	0	63			Yelizovo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1155	0-20000-0-32408	0	32408	1	UST'-KAMCHATSK			0	162.69	56.24		19810826	19900317	1	0	63			Yelizovo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1156	0-20000-0-32477	0	1:32477,32477	1	SOBOLEVO			0	155.92	54.3		19670227	20210430	1	0	63			Yelizovo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1157	0-20000-0-32509	0	1:32509,32509	1	SEMYACHIK			0	159.98	54.12		19650903	19930512	1	0	63			Yelizovo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1158	0-20000-0-32540	0	1:32540,1:32583,2:45501,32540,32583,4636,C:4574,C:4636	1	PETROPAVLOVSK-KAMCHATSKIJ (32540-0)			0	158.58	53.08		19451021	20210430	1	0	63			Petropavlovsk-Kamchatskiy,Yelizovo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1159	0-20000-0-32562	0	1:32564,32564	1	BOL' SHERETZK			0	156.3	52.83		19650909	19861113	1	0	63			Yelizovo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1160	0-20000-0-32618	0	1:32618,32618	1	OSTROV BERINGA			0	165.98	55.2		19570801	20210430	1	0	63			None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1161	0-20000-0-33019	0	33019	1	PINSK			0	26.11	52.12		19810208	19870708	1	0	63			Pinsk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1162	0-20000-0-33027	0	2:33027	1	ZHITCKOVICHI			0	27.87	52.21		19430805	19430917	1	0	63			Matir									106,107							L.Haimberger	0
1163	0-20000-0-33036	0	1:33036,33036	1	MOZYR			0	29.19	52.04		19570402	19690611	1	0	63			Mazyr									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1164	0-20000-0-33088	0	33088	1	Sarny			0	26.61	51.31		19850204	19870326	1	0	63			Sarny									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1165	0-20000-0-33173	0	33173	1	Kovel			0	24.71	51.2		19810205	19900505	1	0	63			Rozhyshche									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1166	0-20000-0-33187	0	33187	1	Lutsk			0	25.4	50.72		19860306	19860306	1	0	63			Kivertsi									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1167	0-20000-0-33261	0	33261	1	Konotop			0	33.19	51.24		19880705	19880705	1	0	63			Konotop									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1168	0-20000-0-33275	0	33275	1	Sumy			0	34.75	50.86		19810618	19810618	1	0	63			Sumy									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1169	0-20000-0-33317	0	1:33317,33317,C:6153	1	Shepetivka			0	27.04	50.16		19500103	20210430	1	0	63			Shepetivka									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1170	0-20000-0-33325	0	C:5169	1	Zhytomyr			0	28.66	50.28		19260507	19271015	1	0	63			Zhytomyr									106,107							L.Haimberger	0
1171	0-20000-0-33345	0	1:33345,33345,C:5196	1	Kyiv			0	30.54	50.39		19250414	20210429	1	0	63			Kiev,Vyshneve									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1172	0-20000-0-33393	0	1:33393,33393,C:5217,C:5705	1	Lviv			0	23.96	49.81		19240320	20210429	1	0	63			Lvov									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1173	0-20000-0-33506	0	1:33506,33506	1	Poltava			0	34.54	49.61		19461105	19900628	1	0	63			Poltava									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1174	0-20000-0-33526	0	33526	1	Ivano-Frankivsk			0	24.69	48.89		19930612	19930612	1	0	63			Kalush									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1175	0-20000-0-33548	0	C:5172	1	Kamianets-Podilskyi			0	26.61	48.69		19260507	19271031	1	0	63			Khotyn									106,107							L.Haimberger	0
1176	0-20000-0-33587	0	1:33587,33587	1	Uman			0	30.23	48.77		19500104	19501031	1	0	63			Zhashkiv									104,105,106,107,117,126,138							L.Haimberger	0
1177	0-20000-0-33631	0	1:33631,33631,C:5377	1	Uzhhorod			0	22.26	48.63		19250414	20090213	1	0	63			Uzhhorod									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1178	0-20000-0-33657	0	33657	1	Seliatyn			0	25.22	47.88		19840220	19880607	1	0	63			Vicovu De Sus									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1179	0-20000-0-33658	0	1:33658,33658,C:6154	1	Chernivtsi			0	25.97	48.27		19490903	20180418	1	0	63			Chernivtsi									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1180	0-20000-0-33663	0	33663	1	Mohyliv-Podilskyi			0	27.78	48.45		19820217	19820217	1	0	63			Briceni									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1181	0-20000-0-33711	0	C:5405	1	Kropyvnytskyi			0	32.28	48.54		19260507	19271015	1	0	63			Kirovohrad									106,107							L.Haimberger	0
1182	0-20000-0-33761	0	33761	1	Liubashivka			0	30.27	47.85		19820412	19820412	1	0	63			Pervomaysk									104,105,106,107,117							L.Haimberger	0
1183	0-20000-0-33791	0	1:33791,33791,6:33001,9:3370	1	Kryvyi Rih			0	33.21	48.05		19490429	20210430	1	0	63			Kryvyy Rih									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1184	0-20000-0-33805	0	33805	1	Nikopol			0	34.4	47.59		19890501	19890501	1	0	63			Ordzhonikidze									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1185	0-20000-0-33815	0	1:33815,33815	1	CHISINAU			0	28.85	46.97		19490105	20021011	1	0	63			Chisinau									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1186	0-20000-0-33833	0	33833	1	Serbka 			0	30.75	47.01		19811207	20040715	1	0	63			Yuzhne									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1187	0-20000-0-33834	0	33834	1	Rozdilna			0	30.07	46.85		19830124	19830124	1	0	63			Dnestrovsc									104,105,106,107,117							L.Haimberger	0
1188	0-20000-0-33837	0	1:33837,1:33838,33837,33838,C:5259,C:6155	1	Odesa			0	30.77	46.44		19250817	20210429	1	0	63			Odesa									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1189	0-20000-0-33869	0	33868	1	Nova Kakhovka			0	33.36	46.79		19800809	19821009	1	0	63			Beryslav									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1190	0-20000-0-33889	0	33889	1	Izmail			0	28.85	45.37		19800810	19940316	1	0	63			Izmayil									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1191	0-20000-0-33907	0	33907	1	Behtery			0	32.28	46.24		19970502	19970502	1	0	63			Kherson									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1192	0-20000-0-33915	0	33915	1	Askania-Nova			0	33.88	46.45		19911004	19911004	1	0	63			Chaplynka									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1193	0-20000-0-33946	0	1:33946,33946,C:4586,C:4646,C:6156	1	Simferopol			0	33.97	45.04		19500211	20101104	1	0	63			Bakhchysaray,Yalta									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1194	0-20000-0-33966	0	33966	1	Bilohirsk			0	34.6	45.05		19990731	20140204	1	0	63			Sudak									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1195	0-20000-0-33976	0	33976	1	Feodosiia			0	35.38	45.04		19900209	19920319	1	0	63			Feodosiya									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1196	0-20000-0-34003	0	34003	1	PONYRI			0	36.3	52.32		19840728	19840728	1	0	63			Zheleznogorsk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1197	0-20000-0-34009	0	1:34009,2:34009,34009,C:4563,C:4625	1	KURSK			0	36.17	51.77		19441017	20210430	1	0	63			Bastia,Kursk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1198	0-20000-0-34013	0	2:34013	1	LIVNY			0	37.6	52.43		19441217	19450406	1	0	63			Porto-Vecchio									106,107							L.Haimberger	0
