	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	,primary_id,primary_id_scheme,record_number,secondary_id,secondary_id_scheme,station_name,station_abbreviation,alternative_name,station_crs,longitude,latitude,local_gravity,start_date,end_date,station_type,platform_type,platform_sub_type,operating_institute,operating_territory,city,contact,role,observing_frequency,reporting_time,telecommunication_method,station_automation,measuring_system_model,measuring_system_id,observed_variables,comment,optional_data,bbox_min_longitude,bbox_max_longitude,bbox_min_latitude,bbox_max_latitude,metadata_contact,metadata_contact_role
276	0-20000-0-07037	0.0	276	07036,07037,1:7036,7036	1.0,3.0	ROUEN-BOOS			0.0	1.18	49.38		19660302	19941014	1.0	0.0	63.0			Le Grand-Quevilly,Saint-Etienne-Du-Rouvray									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
277	0-20000-0-07059	0.0	277	C:5576	1.0,3.0	MEAULTE			0.0	2.7	49.97		19201111	19240907	1.0	0.0	63.0			Amiens									106,107							L.Haimberger	0.0	
278	0-20000-0-07061	0.0	278	07061,1:7061	1.0,3.0	SAINT-QUENTIN			0.0	3.21	49.82		19700506	19880815	1.0	0.0	63.0			Saint-Quentin									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
279	0-20000-0-07072	0	279	07070,1:7070,7070,C:5248,C:5730,FRM00007070	3	REIMS,REIMS-PRUNAY			0	4.16	49.21		19270618	19921128	1	0	63	NMS	74.0	Chalons-En-Champagne,Reims					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
280	0-20000-0-07083	0.0	280	C:5380	1.0,3.0	AVESNES RADAR			0.0	3.81	50.13		19271016	19280301	1.0	0.0	63.0			Marly									106,107							L.Haimberger	0.0	
281	0-20000-0-07093	0.0	281	C:5238,C:5610	1.0,3.0	GOIN AEROPORT M.N.L.			0.0	6.24	48.98		19201222	19330916	1.0	0.0	63.0			Metz									106,107							L.Haimberger	0.0	
282	0-20000-0-07110	0	282	07110,1:07110,1:7110,7110,C:4342,C:4497,C:5649,FRM00007110	3	BREST-GUIPAVAS			0	-4.38	48.45		19220406	20201231	1	0	63	NMS	74.0	Brest,Guipavas					29	1	Modem GPSonde M10 (France)		104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
283	0-20000-0-07120	0.0	283	07120	1.0,3.0	TREMUSON-ST-BRIEUC			0.0	-2.85	48.53		19860803	20200807	1.0	0.0	63.0			Plerin									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
284	0-20000-0-07129	0.0	284	C:4397,C:4398,C:6037	1.0,3.0	FALAISE-RADAR			0.0	-0.15	48.93		19230511	19350926	1.0	0.0	63.0			Argentan									106,107							L.Haimberger	0.0	
285	0-20000-0-07130	0	285	07130,1:7130,7130,C:5297,C:5732,FRM00007130	3	RENNES,RENNES-SAINT JACQUES			0	-1.73	48.07		19200107	19971108	1	0	63	NMS	74.0	Rennes					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
286	0-20000-0-07139	0.0	286	07139,1:7139,7139	1.0,3.0	ALENCON			0.0	0.11	48.45		19680401	19991118	1.0	0.0	63.0			Alencon									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
287	0-20000-0-07143	0.0	287	C:5096	1.0,3.0	CHARTRES			0.0	1.5	48.46		19271003	19281112	1.0	0.0	63.0			Chartres									106,107							L.Haimberger	0.0	
288	0-20000-0-07145	0	288	07137,07145,07149,1:07145,1:07149,1:7145,5723,7145,C:5343,C:5367,C:5368,C:5389,C:5412,C:5723,C:5724,FRM00007145	3	TRAPPES			0	2.01	48.77		19000919	20210331	1	0	63	NMS	74.0	Athis-Mons,Chaville,Paris,Trappes,Velizy-Villacoublay,Villeneuve-Le-Roi					29	1	Modem GPSonde M10 (France)		104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
289	0-20000-0-07150	0.0	289	1:07150,C:5202	1.0,3.0	LE BOURGET			0.0	2.43	48.97		19200701	19481120	1.0	0.0	63.0			Bonneuil,Le Bourget									106,107,117							L.Haimberger	0.0	
290	0-20000-0-07166	0.0	290	C:6105	1.0,3.0	VATRY-AERO			0.0	4.16	48.78		19201201	19211118	1.0	0.0	63.0			Chalons-En-Champagne									106,107							L.Haimberger	0.0	
291	0-20000-0-07168	0.0	291	07160,1:7160,C:5302	1.0,3.0	TROYES-BARBEREY			0.0	4.02	48.32		19271001	19941225	1.0	0.0	63.0			Romilly-Sur-Seine									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
292	0-20000-0-07169	0.0	292	1:07169	1.0,3.0	SAINT-DIZIER			0.0	4.9	48.63		19210102	19210331	1.0	0.0	63.0			Saint-Dizier									106,107							L.Haimberger	0.0	
293	0-20000-0-07180	0	293	07180,1:07180,1:7180,2:34016,7180,C:5717,FRM00007180	3	NANCY-ESSEY,NANCY/ESSEY			0	6.22	48.69		19230814	20110421	1	0	63	NMS	74.0	Nancy,Saint-Max,Vandoeuvre-Les-Nancy					29	1	Vinohrady (Czechia)		104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
294	0-20000-0-07190	0	294	1:07190,1:7190,7190,C:5345,C:5746,FRM00007190	3	STRASBOURG,STRASBOURG-ENTZHEIM			0	7.64	48.55		19200101	19530131	1	0	63	NMS	74.0	Lingolsheim,Schiltigheim					29	1			104,105,106,107,117,126,138							E. Tramutola,L.Haimberger	0.0	
