,Country,City,AccentCity,Region,Population,Latitude,Longitude
57325,af,panjab,Panjab,5.0,13471.0,34.387949,67.023273
63360,af,qandahar,Qandahar,23.0,391230.0,31.613323,65.710126
63793,af,qarqin,Qarqin,31.0,15023.0,37.404464,66.074375
66589,af,qunduz,Qunduz,24.0,161943.0,36.728955,68.857001
67917,af,rostaq,Rostaq,26.0,25644.0,37.126035,69.83045
67989,af,rudbar,Rudbar,19.0,11034.0,30.15,62.6
69071,af,sahrak,Sahrak,9.0,15967.0,34.107375,64.305199
70277,af,sangin,Sangin,10.0,13579.0,32.072752,64.835903
71418,af,sar-e pul,Sar-e Pul,33.0,52138.0,36.215443,65.932487
76853,af,shibarghan,Shibarghan,31.0,55658.0,36.667567,65.752904
78759,af,sindand,Sindand,11.0,29273.0,33.302944000000004,62.1474
82607,af,taloqan,Taloqan,26.0,64275.0,36.734133,69.533559
83641,af,taywarah,Taywarah,9.0,14398.0,33.521176000000004,64.42115600000001
84139,af,tokzar,Tokzar,33.0,12021.0,35.94830800000001,66.42132
85454,af,uruzgan,Uruzgan,39.0,13400.0,32.927751,66.63253399999999
88112,af,zaranj,Zaranj,19.0,33894.0,30.966667,61.88333299999999
90044,al,ballsh,Ballsh,44.0,10361.0,40.5988889,19.7347222
90345,al,berat,Berat,40.0,47606.0,40.7058333,19.9522222
91096,al,bulqize,Bulqizë,41.0,11212.0,41.4916667,20.2219444
91168,al,burrel,Burrel,41.0,15539.0,41.6102778,20.0088889
91548,al,cerrik,Cërrik,43.0,14269.0,41.0316667,19.9758333
91749,al,corovode,Çorovodë,40.0,14046.0,40.5041667,20.2272222
92530,al,durres,Durrës,42.0,122034.0,41.3230556,19.4413889
92635,al,elbasan,Elbasan,43.0,100903.0,41.1125,20.0822222
92787,al,fier,Fier,44.0,59719.0,40.7238889,19.5561111
93033,al,fushe-kruje,Fushë-Krujë,42.0,10458.0,41.4783333,19.7177778
93406,al,gjirokaster,Gjirokastër,45.0,23437.0,40.0758333,20.1388889
93886,al,gramsh,Gramsh,43.0,11556.0,40.8697222,20.1844444
95085,al,kamze,Kamzë,50.0,11026.0,41.3816667,19.7602778
95321,al,kavaje,Kavajë,50.0,29354.0,41.1855556,19.5569444
95790,al,korce,Korçë,46.0,58259.0,40.6186111,20.7808333
96121,al,kruje,Krujë,42.0,21286.0,41.5091667,19.792777800000003
96211,al,kucove,Kuçovë,40.0,18166.0,40.8002778,19.9166667
96230,al,kukes,Kukës,47.0,17972.0,42.0769444,20.4219444
96491,al,lac,Laç,48.0,24825.0,41.6355556,19.7130556
96846,al,lezhe,Lezhë,48.0,18695.0,41.7836111,19.6436111
96884,al,librazhd,Librazhd,43.0,12691.0,41.1794444,20.315
97300,al,lushnje,Lushnjë,44.0,41423.0,40.9419444,19.705
99219,al,patos,Patos,44.0,22679.0,40.6833333,19.6194444
99333,al,permet,Përmet,45.0,10686.0,40.23361110000001,20.3516667
99397,al,peshkopi,Peshkopi,41.0,15261.0,41.685,20.4288889
99756,al,pogradec,Pogradec,46.0,25758.0,40.9025,20.6525
99772,al,polican,Poliçan,40.0,10663.0,40.6122222,20.0980556
100838,al,rreshen,Rrëshen,48.0,10064.0,41.7675,19.8755556
101118,al,sarande,Sarandë,51.0,15147.0,39.87555560000001,20.0052778
101733,al,shijak,Shijak,42.0,14138.0,41.3455556,19.5672222
101840,al,shkoder,Shkodër,49.0,89102.0,42.0675,19.5130556
102779,al,tepelene,Tepelenë,45.0,11955.0,40.2958333,20.0191667
102871,al,tirana,Tirana,50.0,374801.0,41.3275,19.8188889
103879,al,vlore,Vlorë,51.0,89528.0,40.46666670000001,19.4897222
104640,am,abovyan,Abovyan,5.0,35677.0,40.2691667,44.6244444
104781,am,alaverdi,Alaverdi,6.0,13186.0,41.1305556,44.6519444
104923,am,artashat,Artashat,2.0,20562.0,39.9538889,44.5505556
104957,am,ashtarak,Ashtarak,1.0,18779.0,40.3016667,44.3591667
105330,am,dilijan,Dilijan,9.0,13480.0,40.7408333,44.8630556
105489,am,gavar,Gavar,4.0,21681.0,40.3588889,45.1266667
105619,am,goris,Goris,8.0,20379.0,39.5077778,46.3386111
105669,am,gyumri,Gyumri,7.0,148383.0,40.7894444,43.8475
105729,am,hrazdan,Hrazdan,5.0,40796.0,40.5016667,44.7547222
105736,am,ijevan,Ijevan,9.0,14737.0,40.87555560000001,45.1491667
105862,am,kapan,Kapan,8.0,33161.0,39.20111110000001,46.415
106361,am,martuni,Martuni,4.0,11037.0,40.1447222,45.3063889
106363,am,masis,Masis,2.0,18911.0,40.0138889,44.4858333
106879,am,sevan,Sevan,4.0,17083.0,40.555,44.9536111
106988,am,sisian,Sisian,8.0,15208.0,39.4627778,45.9730556
107015,am,spitak,Spitak,6.0,15063.0,40.79555560000001,44.2783333
107241,am,vagharshapat,Vagharshapat,3.0,49514.0,40.1727778,44.2925
107254,am,vanadzor,Vanadzor,6.0,101099.0,40.8127778,44.4883333
107277,am,vardenis,Vardenis,4.0,11382.0,40.18055560000001,45.7283333
107288,am,vedi,Vedi,2.0,12192.0,39.9105556,44.7277778
107423,am,yeghvard,Yeghvard,5.0,10705.0,40.3216667,44.4813889
107461,am,yerevan,Yerevan,11.0,1093499.0,40.1811111,44.51361110000001
107788,an,willemstad,Willemstad,0.0,97590.0,12.1,-68.91666670000001
108559,ao,benguela,Benguela,1.0,151235.0,-12.578333,13.407222
108918,ao,caala,Caála,8.0,21205.0,-12.8525,15.560556
109009,ao,cabinda,Cabinda,3.0,66020.0,-5.55,12.2
109260,ao,caconda,Caconda,9.0,10551.0,-13.733332999999998,15.066667
110119,ao,caluquembe,Caluquembe,9.0,30305.0,-13.783333,14.683333
110134,ao,camabatela,Camabatela,5.0,12839.0,-8.18812,15.37495
110161,ao,camacupa,Camacupa,2.0,19150.0,-12.016667,17.483333
111992,ao,catabola,Catabola,2.0,18858.0,-12.15,17.283333
112307,ao,catumbela,Catumbela,1.0,16980.0,-12.431389,13.547222
112586,ao,caxito,Caxito,19.0,28229.0,-8.58,13.664167
115986,ao,huambo,Huambo,8.0,226177.0,-12.776111,15.739167000000002
116642,ao,kuito,Kuito,2.0,113624.0,-12.383333,16.933332999999998
116936,ao,lobito,Lobito,1.0,207957.0,-12.319722,13.599722
117041,ao,longonjo,Longonjo,8.0,24350.0,-12.906667,15.253333
117135,ao,luanda,Luanda,20.0,2776125.0,-8.836803999999997,13.233173999999998
117174,ao,luau,Luau,14.0,18465.0,-10.707273,22.22466
117180,ao,lubango,Lubango,9.0,102541.0,-14.916667000000002,13.5
117212,ao,lucapa,Lucapa,17.0,20115.0,-8.419151,20.744655
117276,ao,luena,Luena,14.0,21115.0,-11.783333,19.916667
117829,ao,malanje,Malanje,12.0,87047.0,-9.544722,16.345278
118537,ao,menongue,Menongue,4.0,19141.0,-14.661639,17.688223999999995
119926,ao,namibe,Namibe,13.0,80150.0,-15.196110999999998,12.152222
120873,ao,ondjiva,Ondjiva,7.0,10169.0,-17.066667000000002,15.733332999999998
125100,ao,saurimo,Saurimo,18.0,40498.0,-9.66078,20.391553
125450,ao,soyo,Soyo,16.0,67553.0,-6.134903,12.368935
125487,ao,sumbe,Sumbe,6.0,33278.0,-11.206048,13.843713
126620,ao,uige,Uíge,15.0,60008.0,-7.613282000000001,15.056621
127613,ar,alta gracia,Alta Gracia,5.0,40385.0,-31.652925,-64.428259
127926,ar,azul,Azul,1.0,52333.0,-36.776976,-59.858539
127933,ar,bahia blanca,Bahia Blanca,1.0,282950.0,-38.719595,-62.272432
128156,ar,bell ville,Bell Ville,5.0,35106.0,-32.625906,-62.68873000000001
128406,ar,campana,Campana,1.0,83175.0,-34.168742,-58.95914000000001
128679,ar,catamarca,Catamarca,2.0,213601.0,-28.469574,-65.785239
128758,ar,chacabuco,Chacabuco,1.0,34587.0,-34.641667,-60.473889
128877,ar,chivilcoy,Chivilcoy,1.0,52307.0,-34.895661,-60.01666700000001
129279,ar,comodoro rivadavia,Comodoro Rivadavia,7.0,142597.0,-45.864135,-67.496558
129291,ar,concepcion del uruguay,Concepcion del Uruguay,8.0,72904.0,-32.482493,-58.237217
129295,ar,concordia,Concordia,8.0,155686.0,-31.392959,-58.02089
129336,ar,cordoba,Cordoba,5.0,1441007.0,-31.413496,-64.18105200000001
129422,ar,corrientes,Corrientes,6.0,390481.0,-27.480596,-58.834099
129636,ar,dolores,Dolores,1.0,25190.0,-36.313215,-57.679185
129837,ar,eldorado,Eldorado,14.0,62823.0,-26.404841,-54.624784
130450,ar,formosa,Formosa,9.0,248756.0,-26.177534,-58.178139
130675,ar,general pico,General Pico,11.0,55900.0,-35.656622,-63.756815
130684,ar,general roca,General Roca,16.0,76066.0,-39.02797,-67.573711
130796,ar,goya,Goya,6.0,70340.0,-29.14003,-59.26256400000001
130822,ar,gualeguaychu,Gualeguaychu,8.0,88218.0,-33.009375,-58.51722
130823,ar,gualeguay,Gualeguay,8.0,33120.0,-33.141559,-59.309657
131309,ar,jujuy,Jujuy,10,277150.0,-24.194565,-65.297116
131320,ar,junin,Junin,01,76369.0,-34.583816,-60.94331800000001
131741,ar,la plata,La Plata,01,684318.0,-34.921454,-57.954533
131795,ar,la rioja,La Rioja,12,178497.0,-29.411048,-66.850668
132136,ar,libertador general san martin,Libertador General San Martin,10,49273.0,-23.806443,-64.78757399999999
132155,ar,lincoln,Lincoln,01,24798.0,-34.866494,-61.530197
132429,ar,lujan,Lujan,01,74823.0,-34.570278,-59.105
132431,ar,lujan,Lujan,13,77625.0,-33.035471,-68.87782299999999
132571,ar,mar del plata,Mar del Plata,01,645771.0,-38.002278,-57.557539
132705,ar,mendoza,Mendoza,13,973047.0,-32.890845,-68.82717099999999
132708,ar,mercedes,Mercedes,01,49067.0,-34.651455,-59.430676
132710,ar,mercedes,Mercedes,06,30649.0,-29.181858,-58.078951
132712,ar,mercedes,Mercedes,19,126559.0,-33.674359,-65.461405
132992,ar,necochea,Necochea,01,84969.0,-38.547259,-58.736753
133003,ar,neuquen,Neuquen,15,359037.0,-38.951606,-68.059102
133069,ar,nueve de julio,Nueve de Julio,01,34717.0,-35.444374,-60.88313100000001
133082,ar,obera,Obera,14,58939.0,-27.487059,-55.11994
133116,ar,olavarria,Olavarria,01,80005.0,-36.892715,-60.32254
133317,ar,parana,Parana,08,299257.0,-31.731967,-60.523802
133457,ar,pergamino,Pergamino,01,86708.0,-33.889949,-60.573568
133624,ar,posadas,Posadas,14,313438.0,-27.367077,-55.896078
133708,ar,presidencia roque saenz pena,Presidencia Roque Saenz Pena,03,89584.0,-26.785221000000003,-60.438761
133879,ar,puerto madryn,Puerto Madryn,04,95547.0,-42.769201,-65.038513
133976,ar,punta alta,Punta Alta,01,53117.0,-38.875875,-62.073589
134058,ar,rafaela,Rafaela,21,84025.0,-31.250332,-61.486696
134120,ar,rawson,Rawson,04,26341.0,-43.300158,-65.10228000000001
134137,ar,reconquista,Reconquista,21,95979.0,-29.15,-59.65
134159,ar,resistencia,Resistencia,03,406967.0,-27.46056,-58.983886
134212,ar,rio cuarto,Rio Cuarto,05,174058.0,-33.130671,-64.349918
134219,ar,rio gallegos,Rio Gallegos,20,93234.0,-51.622613,-69.218127
134242,ar,rio tercero,Rio Tercero,05,53396.0,-32.173008,-64.11405500000001
134252,ar,rivadavia,Rivadavia,13,65641.0,-33.19050900000001,-68.46081
134317,ar,rosario,Rosario,21,1218497.0,-32.946818,-60.63931700000001
134402,ar,salta,Salta,17,548288.0,-24.785896,-65.411664
134483,ar,san carlos de bariloche,San Carlos de Bariloche,16,110044.0,-41.140293,-71.301369
134536,ar,san francisco,San Francisco,05,71444.0,-31.427971000000007,-62.08265600000001
134640,ar,san juan,San Juan,18,469958.0,-31.5375,-68.536389
134650,ar,san lorenzo,San Lorenzo,06,47627.0,-28.133061,-58.76733100000001
134659,ar,san luis,San Luis,19,184869.0,-33.295012,-66.335627
134678,ar,san martin,San Martin,13,107554.0,-33.081031,-68.468138
134703,ar,san nicolas,San Nicolas,01,130705.0,-33.335784000000004,-60.225233
134721,ar,san pedro,San Pedro,01,67514.0,-33.679127,-59.666635
134724,ar,san pedro,San Pedro,10,43124.0,-24.231266,-64.866141
134735,ar,san rafael,San Rafael,13,125033.0,-34.617717,-68.330066
134738,ar,san ramon de la nueva oran,San Ramon de la Nueva Oran,17,84504.0,-23.13398,-64.32464499999999
134802,ar,santa fe,Santa Fe,21,456044.0,-31.629484,-60.701036
134855,ar,santa rosa,Santa Rosa,11,89478.0,-36.616667,-64.283333
134880,ar,santiago del estero,Santiago del Estero,22,407636.0,-27.795112,-64.261489
134906,ar,san vicente,San Vicente,01,84333.0,-34.982645,-58.376169
135204,ar,tandil,Tandil,01,100127.0,-37.321674,-59.133164
135222,ar,tartagal,Tartagal,17,63600.0,-22.516365,-63.801314
135381,ar,trelew,Trelew,04,107883.0,-43.250075,-65.313295
135387,ar,tres arroyos,Tres Arroyos,01,47143.0,-38.373939,-60.27978100000001
135445,ar,tucuman,Tucuman,24,828402.0,-26.824144,-65.2226
135508,ar,ushuaia,Ushuaia,23,58045.0,-54.8,-68.3
135553,ar,veinticinco de mayo,Veinticinco de Mayo,01,24668.0,-35.43230300000001,-60.172707
135564,ar,venado tuerto,Venado Tuerto,21,71794.0,-33.745564,-61.968845
135591,ar,victoria,Victoria,08,25139.0,-32.619888,-60.153907
135597,ar,viedma,Viedma,16,76553.0,-40.81345200000001,-62.996676
135652,ar,villa carlos paz,Villa Carlos Paz,05,61095.0,-31.424138,-64.497778
135673,ar,villa constitucion,Villa Constitucion,21,44278.0,-33.227778,-60.329699
135823,ar,villa maria,Villa Maria,05,92337.0,-32.407514,-63.240161
136073,ar,zarate,Zarate,01,88222.0,-34.098142,-59.028585
136460,at,amstetten,Amstetten,03,22832.0,48.116667,14.866667
136510,at,ansfelden,Ansfelden,04,14936.0,48.2,14.283333
136804,at,baden,Baden,03,24893.0,48.016667,16.233333
136821,at,bad ischl,Bad Ischl,04,14267.0,47.716667,13.616667
136838,at,bad voslau,Bad Voslau,03,11013.0,47.966667,16.2
137034,at,bischofshofen,Bischofshofen,05,10145.0,47.416667,13.216667
137068,at,bludenz,Bludenz,08,13904.0,47.149722,9.816667
137160,at,braunau,Braunau,04,16403.0,48.266667,13.033333
137168,at,bregenz,Bregenz,08,26928.0,47.5,9.766667
137250,at,bruck an der mur,Bruck an der Mur,06,13254.0,47.416667,15.283333
137668,at,dornbirn,Dornbirn,08,43013.0,47.416667,9.733056
138018,at,eisenstadt,Eisenstadt,01,11767.0,47.85,16.516667
138121,at,enns,Enns,04,10816.0,48.2,14.466667
138354,at,feldkirchen,Feldkirchen,02,14440.0,46.716667,14.1
138358,at,feldkirch,Feldkirch,08,29446.0,47.233056,9.6
139101,at,gmunden,Gmunden,04,13287.0,47.916667,13.8
139260,at,gotzis,Gotzis,08,10342.0,47.333056,9.633056
139363,at,graz,Graz,06,222326.0,47.066667,15.45
139982,at,hallein,Hallein,05,18980.0,47.68333300000001,13.1
139988,at,hall,Hall,06,11197.0,47.6,14.45
140034,at,hard,Hard,08,11766.0,47.483056,9.683056
140632,at,hohenems,Hohenems,08,14072.0,47.366667,9.683056
140657,at,hollabrunn,Hollabrunn,03,10966.0,48.55,16.083333
140951,at,innsbruck,Innsbruck,07,112467.0,47.266667,11.4
141225,at,kapfenberg,Kapfenberg,06,21819.0,47.43333300000001,15.3
141493,at,klagenfurt,Klagenfurt,02,90610.0,46.624722,14.305278
141736,at,klosterneuburg,Klosterneuburg,03,24843.0,48.3,16.316667000000002
141751,at,knittelfeld,Knittelfeld,06,12704.0,47.216667,14.816667
141779,at,koflach,Koflach,06,10447.0,47.066667,15.083332999999998
141871,at,korneuburg,Korneuburg,03,11498.0,48.35,16.333333
141986,at,krems,Krems,03,24092.0,48.416667,15.6
142124,at,kufstein,Kufstein,07,16116.0,47.583333,12.166667
142534,at,leoben,Leoben,06,24809.0,47.383333,15.1
142539,at,leonding,Leonding,04,22736.0,48.266667,14.25
142629,at,lienz,Lienz,07,12270.0,46.831111,12.759722
142702,at,linz,Linz,04,181163.0,48.3,14.3
142853,at,lustenau,Lustenau,08,20218.0,47.433056,9.65
142991,at,marchtrenk,Marchtrenk,04,11666.0,48.18333300000001,14.116667
143306,at,mistelbach,Mistelbach,03,10820.0,48.57,16.576667
143451,at,modling,Modling,03,20710.0,48.083333,16.283333
143896,at,neunkirchen,Neunkirchen,03,11313.0,47.716667,16.083333
145132,at,perchtoldsdorf,Perchtoldsdorf,03,14041.0,48.116667,16.266667
145933,at,rankweil,Rankweil,08,11455.0,47.283056,9.65
146270,at,ried,Ried,04,11511.0,48.216667,13.5
146598,at,saalfelden,Saalfelden,05,16119.0,47.416667,12.85
146657,at,salzburg,Salzburg,05,145310.0,47.8,13.033333
146688,at,sankt andra,Sankt Andra,02,10825.0,46.766111,14.823610999999998
146807,at,sankt johann im pongau,Sankt Johann im Pongau,05,10887.0,47.35,13.2
147024,at,sankt polten,Sankt Polten,03,49000.0,48.2,15.633333
147093,at,sankt veit,Sankt Veit,02,13116.0,46.768056,14.360278
147631,at,schwaz,Schwaz,07,12507.0,47.333333,11.7
147633,at,schwechat,Schwechat,03,15711.0,48.133333,16.466667
148006,at,spittal,Spittal,02,16363.0,46.8,13.5
148257,at,steyr,Steyr,04,39567.0,48.05,14.416667000000002
148303,at,stockerau,Stockerau,03,14831.0,48.383333,16.216667
148590,at,telfs,Telfs,07,14028.0,47.3,11.066667
148599,at,ternitz,Ternitz,03,15153.0,47.716667,16.033333
148801,at,traiskirchen,Traiskirchen,03,16212.0,48.016667,16.283333
148820,at,traun,Traun,04,23959.0,48.216667,14.233332999999998
148905,at,tulln,Tulln,03,14201.0,48.333333,16.05
149599,at,vienna,Vienna,09,1569315.0,48.2,16.366667
149609,at,villach,Villach,02,58882.0,46.610278,13.855833
149621,at,vocklabruck,Vocklabruck,04,11887.0,48.016667,13.65
149650,at,volkermarkt,Volkermarkt,02,11543.0,46.662222,14.634444
149790,at,waidhofen,Waidhofen,03,11774.0,47.966667,14.766667000000002
150138,at,wels,Wels,04,57947.0,48.166667,14.033333
150249,at,wiener neustadt,Wiener Neustadt,03,38481.0,47.8,16.25
150532,at,wolfsberg,Wolfsberg,02,25610.0,46.840556,14.844167
150581,at,worgl,Worgl,07,11265.0,47.483333,12.066667
150725,at,zell am see,Zell am See,05,10046.0,47.316667,12.783333
150866,at,zwettl,Zwettl,03,11718.0,48.616667,15.166667000000002
150905,au,adelaide,Adelaide,05,1074168.0,-34.928661,138.598633
150928,au,albany,Albany,08,23913.0,-35.003101,117.865952
150938,au,albury,Albury,02,104261.0,-36.07494000000001,146.923935
150959,au,alice springs,Alice Springs,03,26188.0,-23.697479,133.883621
151117,au,armidale,Armidale,02,22673.0,-30.50828,151.671234
151241,au,bairnsdale,Bairnsdale,07,11006.0,-37.822891,147.610413
151290,au,ballarat,Ballarat,07,85110.0,-37.56266,143.862579
151301,au,ballina,Ballina,02,14248.0,-28.864140000000006,153.56541399999998
151448,au,batemans bay,Batemans Bay,02,10557.0,-35.706581,150.175415
151589,au,bendigo,Bendigo,07,81658.0,-36.758179,144.28024299999996
151902,au,bongaree,Bongaree,04,13649.0,-27.08367,153.159424
152029,au,bowen,Bowen,04,10983.0,-20.01367,148.247543
152164,au,brisbane,Brisbane,04,1843459.0,-27.47101,153.024292
152186,au,broken hill,Broken Hill,02,17395.0,-31.961729,141.459976
152214,au,broome,Broome,08,13218.0,-17.955379,122.23922
152292,au,buderim,Buderim,04,15228.0,-26.684429,153.057053
152357,au,bunbury,Bunbury,08,26370.0,-33.32711,115.641373
152358,au,bundaberg,Bundaberg,04,52478.0,-24.866211,152.3479
152433,au,burnie,Burnie,06,19976.0,-41.05584,145.903748
152483,au,busselton,Busselton,08,12374.0,-33.652489,115.345497
152525,au,caboolture,Caboolture,04,21478.0,-27.08465,152.951096
152534,au,cairns,Cairns,04,154318.0,-16.92304,145.766251
152562,au,caloundra,Caloundra,04,38714.0,-26.797091,153.13771100000002
152621,au,canberra,Canberra,01,324025.0,-35.27603,149.13435
152816,au,cessnock,Cessnock,02,16394.0,-32.832111,151.356232
153036,au,coffs harbour,Coffs Harbour,02,62978.0,-30.296261,153.11351000000005
153331,au,craigieburn,Craigieburn,07,19728.0,-37.6,144.95
153339,au,cranbourne,Cranbourne,07,39420.0,-38.113419,145.283264
153584,au,darwin,Darwin,03,93081.0,-12.45722,130.836639
153611,au,deception bay,Deception Bay,04,16090.0,-27.193541,153.026306
153684,au,devonport,Devonport,06,19318.0,-41.176949,146.351517
153819,au,dubbo,Dubbo,02,29362.0,-32.24295,148.604843
154310,au,flinders,Flinders,05,15000.0,-32.799240000000005,134.211594
154454,au,gawler,Gawler,05,16362.0,-34.602509000000005,138.749023
154465,au,geelong,Geelong,07,150438.0,-38.153461,144.358093
154496,au,geraldton,Geraldton,08,27259.0,-28.778971,114.614594
154569,au,gladstone,Gladstone,04,30493.0,-23.84761,151.256348
154704,au,gold coast,Gold Coast,04,501175.0,-28.000290000000003,153.430878
154800,au,goulburn,Goulburn,02,20941.0,-34.751549,149.720856
154827,au,grafton,Grafton,02,16399.0,-29.690121,152.93336499999995
154925,au,griffith,Griffith,02,15456.0,-34.288528,146.050934
155020,au,gympie,Gympie,04,11029.0,-26.189159,152.658188
155201,au,hervey bay,Hervey Bay,04,47561.0,-25.285,152.873
155251,au,hobart,Hobart,06,204863.0,-42.883209,147.331665
155313,au,horsham,Horsham,07,12830.0,-36.711311,142.199814
155421,au,innisfail,Innisfail,04,10144.0,-17.522091,146.031021
155723,au,karratha,Karratha,08,11694.0,-20.73649,116.84638
155733,au,katherine,Katherine,03,10142.0,-14.46517,132.263474
155738,au,kawana waters,Kawana Waters,04,19881.0,-26.705999,153.131577
155833,au,kiama,Kiama,02,10380.0,-34.668282,150.85218799999996
156120,au,kurri kurri,Kurri Kurri,02,10991.0,-32.81932800000001,151.47908
156126,au,kwinana,Kwinana,08,20087.0,-32.230129,115.781281
156287,au,launceston,Launceston,06,72462.0,-41.43875900000001,147.134674
156434,au,lismore,Lismore,02,31433.0,-28.81328,153.275803
156439,au,lithgow,Lithgow,02,11129.0,-33.482471000000004,150.13630700000004
156630,au,mackay,Mackay,04,75924.0,-21.15345,149.165543
156717,au,mandurah,Mandurah,08,73369.0,-32.526901,115.721703
156842,au,maryborough,Maryborough,04,20680.0,-25.54073,152.704926
156937,au,melbourne,Melbourne,07,3730212.0,-37.813938,144.963425
156945,au,melton,Melton,07,32369.0,-37.683392,144.58543400000005
157056,au,mildura,Mildura,07,47867.0,-34.185509,142.162506
157343,au,morayfield,Morayfield,04,10261.0,-27.108761,152.949066
157395,au,morwell,Morwell,07,11585.0,-38.23476,146.39498899999995
157481,au,mount gambier,Mount Gambier,05,23210.0,-37.831799,140.77919
157499,au,mount isa,Mount Isa,04,22564.0,-20.725229,139.497269
157691,au,murray bridge,Murray Bridge,05,11356.0,-35.119862,139.273453
157719,au,muswellbrook,Muswellbrook,02,11630.0,-32.261181,150.89009099999996
157775,au,nambour,Nambour,04,14919.0,-26.626129,152.959412
157926,au,nerang,Nerang,04,17684.0,-27.98941,153.33633400000005
157956,au,newcastle,Newcastle,02,497961.0,-32.927792,151.78448500000005
158356,au,orange,Orange,02,30402.0,-33.283089000000004,149.100006
158411,au,pakenham,Pakenham,07,10602.0,-38.070179,145.474106
158431,au,palmerston,Palmerston,03,31075.0,-12.45722,130.836639
158480,au,parkes,Parkes,02,11137.0,-33.137199,148.175903
158599,au,perth,Perth,08,1446715.0,-31.952240000000003,115.861397
158769,au,port augusta,Port Augusta,05,12133.0,-32.495971999999995,137.77281200000002
158787,au,port hedland,Port Hedland,08,14289.0,-20.312149,118.610588
158799,au,port lincoln,Port Lincoln,05,11247.0,-34.72625,135.87442
158801,au,port macquarie,Port Macquarie,02,48553.0,-31.430840000000003,152.908936
158809,au,port pirie,Port Pirie,05,12328.0,-33.191761,138.017456
158917,au,queanbeyan,Queanbeyan,02,32249.0,-35.354931,149.23199499999996
158990,au,raymond terrace,Raymond Terrace,02,13606.0,-32.75,151.75
159120,au,rockhampton,Rockhampton,04,65851.0,-23.38032,150.505951
159144,au,roebourne,Roebourne,08,19264.0,-20.772289,117.146477
159306,au,sale,Sale,07,12917.0,-38.11095,147.068024
159381,au,sawtell,Sawtell,02,14608.0,-30.364590000000003,153.10141000000004
159517,au,singleton,Singleton,02,13813.0,-32.567421,151.166031
159806,au,sunbury,Sunbury,07,29926.0,-37.577419,144.726074
159856,au,sydney,Sydney,02,4394585.0,-33.861481,151.205475
159932,au,tamworth,Tamworth,02,38552.0,-31.090481,150.929047
159981,au,taree,Taree,02,44183.0,-31.91099,152.453873
