date	counts
200210	17448
200211	16844
200212	17084
200301	17258
200302	15893
200303	17435
200304	17008
200305	17511
200306	16967
200307	17584
200308	17533
200309	17121
200310	16607
200311	16192
200312	16701
200401	17445
200402	16847
200403	18008
200404	17309
200405	17759
200406	17093
200407	18014
200408	17761
200409	16887
200410	18585
200411	17787
200412	17923
200501	17769
200502	16487
200503	18134
200504	16994
200505	17679
200506	17417
200507	17735
200508	18180
200509	17217
200510	18755
200511	18169
200512	18014
200601	18057
200602	16554
200603	18562
200604	17742
200605	18303
200606	18004
200607	18894
200608	18959
200609	18161
200610	19035
200611	18001
200612	18502
200701	18533
200702	16860
200703	18692
200704	18216
200705	19297
200706	18579
200707	18734
200708	19126
200709	18047
200710	19315
200711	18463
200712	18970
200801	18933
200802	17840
200803	18822
200804	18351
200805	19153
200806	18746
200807	19193
200808	19156
200809	18764
200810	19634
200811	19605
200812	19915
200901	19550
200902	17504
200903	19347
200904	18625
200905	19029
200906	18399
200907	18804
200908	19224
200909	18425
200910	19602
200911	19217
200912	19344
201001	19424
201002	17103
201003	19309
201004	18890
201005	19294
201006	18942
201007	18843
201008	18910
201009	18281
201010	19696
201011	18910
201012	19236
201101	19400
201102	17792
201103	19385
201104	18598
201105	19424
201106	18774
201107	19389
201108	19552
201109	18920
201110	19646
201111	18924
201112	19436
201201	19522
201202	17921
201203	19219
201204	18483
201205	19261
201206	18758
201207	19432
201208	19468
201209	18545
201210	19107
201211	18249
201212	19276
201301	19138
201302	17406
201303	19138
201304	18329
201305	18875
201306	18645
201307	19341
201308	19426
201309	18869
201310	19566
201311	18693
201312	19162
201401	19056
201402	17493
201403	19439
201404	18584
201405	19355
201406	18822
201407	19517
201408	19087
201409	18546
201410	19694
201411	19261
201412	19703
201501	17768
201502	15714
201503	17352
201504	18783
201505	19334
201506	18892
201507	19429
201508	19987
201509	19401
201510	19985
201511	19501
201512	19929
201601	19801
201602	18250
201603	19913
201604	19690
201605	20358
201606	19642
201607	20149
201608	20195
201609	19515
201610	20242
201611	19561
201612	19605
201701	19640
201702	17661
201703	19563
201704	18599
201705	19281
201706	18548
201707	19173
201708	18927
201709	18251
201710	19087
201711	18267
201712	18772
201801	19014
201802	17256
201803	19045
201804	18869
201805	19147
201806	18538
201807	18904
201808	19513
201809	18898
201810	19617
201811	18828
201812	19608
201901	19452
201902	16987
201903	18978
201904	18183
201905	18824
201906	18493
201907	19626
201908	19315
201909	18642
201910	19326
201911	18458
201912	18813
202001	18544
202002	17396
202003	18660
202004	17626
202005	17933
202006	17448
202007	18156
202008	17944
202009	17037
202010	18300
202011	18005
202012	18682
