	file	reportype	kind
136	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00135.gz	16019	MOBILE
137	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00136.gz	16019	MOBILE
138	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00137.gz	16019	MOBILE
139	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00138.gz	16019	MOBILE
140	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00139.gz	16019	MOBILE
141	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00140.gz	16019	MOBILE
142	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00141.gz	16019	MOBILE
143	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00142.gz	16019	MOBILE
144	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00143.gz	16019	MOBILE
145	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00144.gz	16019	MOBILE
146	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00145.gz	16019	MOBILE
147	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00146.gz	16019	MOBILE
148	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00147.gz	16019	MOBILE
149	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00148.gz	16019	MOBILE
150	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00149.gz	16019	MOBILE
151	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00150.gz	16019	MOBILE
152	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00151.gz	16019	MOBILE
153	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00152.gz	16019	MOBILE
154	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00153.gz	16019	MOBILE
155	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00154.gz	16019	MOBILE
156	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00155.gz	16019	MOBILE
157	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00156.gz	16019	MOBILE
158	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00157.gz	16019	MOBILE
159	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00158.gz	16019	MOBILE
160	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00159.gz	16019	MOBILE
161	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00160.gz	16019	MOBILE
162	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00161.gz	16019	MOBILE
163	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00162.gz	16019	MOBILE
164	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00163.gz	16019	MOBILE
165	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00164.gz	16019	MOBILE
166	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00165.gz	16019	MOBILE
