127.0.0.1, 2018-09-13 23:32:26, GET, /raobvis/, HTTP/1.1, 500, 1.848701
127.0.0.1, 2018-09-13 23:32:43, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-32-24.013cf183-e1ea-4b1d-9ea8-e9e115bf437f, HTTP/1.1, 200, 0.035715
127.0.0.1, 2018-09-13 23:33:37, GET, /raobvis/, HTTP/1.1, 500, 1.847199
127.0.0.1, 2018-09-13 23:33:39, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-33-35.dfd1b667-2f02-442b-8444-c867f26e8757, HTTP/1.1, 200, 0.102376
127.0.0.1, 2018-09-13 23:34:49, GET, /raobvis/, HTTP/1.1, 500, 1.886227
127.0.0.1, 2018-09-13 23:34:52, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-34-47.11a43748-57eb-4343-969e-7ad1175c5cdc, HTTP/1.1, 200, 0.100589
127.0.0.1, 2018-09-13 23:35:52, GET, /raobvis/, HTTP/1.1, 500, 1.707671
127.0.0.1, 2018-09-13 23:35:56, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-35-50.6da9c481-1b08-49cd-a4bb-3f855b47ba76, HTTP/1.1, 200, 0.152584
127.0.0.1, 2018-09-13 23:37:08, GET, /raobvis/, HTTP/1.1, 500, 2.069172
127.0.0.1, 2018-09-13 23:37:11, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-37-06.14a00e07-d0d1-4769-8903-cb48a71712a4, HTTP/1.1, 200, 0.101315
127.0.0.1, 2018-09-13 23:37:51, GET, /raobvis/, HTTP/1.1, 200, 0.012028
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/js/richvis.retrievemenu.js, HTTP/1.1, 200, 0.001448
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/js/richvis.js, HTTP/1.1, 200, 0.001037
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/css/institut.css, HTTP/1.1, 304, 0.000685
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/css/global_style.css, HTTP/1.1, 304, 0.000326
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/images/uni_logo.gif, HTTP/1.1, 304, 0.000218
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/images/uni_siegel.gif, HTTP/1.1, 304, 0.000595
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/json/settings_menutexts.json, HTTP/1.1, 304, 0.000402
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/json/settings_basic.json, HTTP/1.1, 200, 0.000925
127.0.0.1, 2018-09-13 23:37:52, GET, /raobvis/static/json/settings_timeseries.json, HTTP/1.1, 200, 0.000396
127.0.0.1, 2018-09-13 23:37:59, GET, /raobvis/default/newindex, HTTP/1.1, 500, 5.295421
127.0.0.1, 2018-09-13 23:42:26, GET, /raobvis/, HTTP/1.1, 200, 0.009306
127.0.0.1, 2018-09-13 23:42:26, GET, /raobvis/static/js/richvis.retrievemenu.js, HTTP/1.1, 304, 0.000298
127.0.0.1, 2018-09-13 23:42:26, GET, /raobvis/static/js/richvis.js, HTTP/1.1, 304, 0.000292
