	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio
5025	0-20000-0-82764	CAROLINA (AERO)	-7.316666666666666	-47.46666666666667	183.0	Surface land meteorological station (SYNOP), GOS	07 19 00S	047 28 00W	82764	999	999	False
5026	0-20000-0-81956	CARUARU (81956-0)	-8.235555555555555	-35.98527777777778	551.5	Surface land meteorological station (SYNOP), GOS	08 14 08S	035 59 07W	81956	999	999	False
5027	0-20000-0-82895	CARUARU (82895-0)	-8.283333333333333	-35.96666666666667		Surface land meteorological station (SYNOP), GOS	08 17 00S	035 58 00W	82895	999	999	False
5028	0-20000-0-86844	CASA BRANCA	-21.779722222222222	-47.075	731.5	Surface land meteorological station (SYNOP), GOS	21 46 47S	047 04 30W	86844	999	999	False
5029	0-20000-0-86791	CASSILANDIA	-19.1225	-51.72083333333334	517.5	Surface land meteorological station (SYNOP), GOS	19 07 21S	051 43 15W	86791	999	999	False
5030	0-20000-0-81682	CASTANHAL	-1.3008333333333333	-47.9475	66.5	Surface land meteorological station (SYNOP), GOS	01 18 03S	047 56 51W	81682	999	999	False
5031	0-20000-0-81829	CASTELO DO PIAUI	-5.3486111111111105	-41.511944444444445	287.5	Surface land meteorological station (SYNOP), GOS	05 20 55S	041 30 43W	81829	999	999	False
5032	0-20000-0-83813	CASTRO (83813-0)	-24.783333333333335	-50.0	1009.0	Surface land meteorological station (SYNOP), GOS	24 47 00S	050 00 00W	83813	999	999	False
5033	0-20000-0-86921	CASTRO (86921-0)	-24.789444444444445	-49.999722222222225	1008.86	Surface land meteorological station (SYNOP), GOS	24 47 22S	049 59 59W	86921	999	999	False
5034	0-20000-0-83526	CATALAO (83526-0)	-18.183333333333334	-47.95	840.0	Surface land meteorological station (SYNOP), RBSN(S), GOS	18 11 00S	047 57 00W	83526	999	999	False
5035	0-20000-0-86777	CATALAO (86777-0)	-18.157777777777778	-47.92638888888889	891.5	Surface land meteorological station (SYNOP), GOS	18 09 28S	047 55 35W	86777	999	999	False
5036	0-20000-0-83676	CATANDUVA	-21.133333333333333	-48.96666666666667	536.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, RBSN(S), GOS	21 08 00S	048 58 00W	83676	999	999	False
5037	0-20000-0-81792	CAXIAS (81792-0)	-4.8213888888888885	-43.343611111111116	77.5	Surface land meteorological station (SYNOP), GOS	04 49 17S	043 20 37W	81792	999	999	False
5038	0-20000-0-82476	CAXIAS (82476-0)	-4.866666666666667	-43.35	103.0	Surface land meteorological station (SYNOP), RBSN(S), GOS	04 52 00S	043 21 00W	82476	999	999	False
5039	0-20000-0-83942	CAXIAS DO SUL	-29.19611111111111	-51.186388888888885	759.0	Surface land meteorological station (SYNOP), GOS	29 11 46S	051 11 11W	83942	999	999	False
5040	0-20000-0-82596	CEARA-MIRIM	-5.65	-35.416666666666664	61.0	Surface land meteorological station (SYNOP), GOS	05 39 00S	035 25 00W	82596	999	999	False
5041	0-20000-0-86719	CHAPADA GAUCHA	-15.300555555555556	-45.617222222222225	881.5	Surface land meteorological station (SYNOP), GOS	15 18 02S	045 37 02W	86719	999	999	False
5042	0-20000-0-86772	CHAPADAO DO SUL	-18.802222222222223	-52.60277777777778	819.5	Surface land meteorological station (SYNOP), GOS	18 48 08S	052 36 10W	86772	999	999	False
5043	0-20000-0-81749	CHAPADINHA (81749-0)	-3.742777777777778	-43.35194444444445	92.5	Surface land meteorological station (SYNOP), GOS	03 44 34S	043 21 07W	81749	999	999	False
5044	0-20000-0-82382	CHAPADINHA (82382-0)	-3.7333333333333334	-43.35	103.0	Surface land meteorological station (SYNOP), GOS	03 44 00S	043 21 00W	82382	999	999	False
5045	0-20000-0-83883	CHAPECO	-27.116666666666667	-52.61666666666667	679.0	Surface land meteorological station (SYNOP), GOS	27 07 00S	052 37 00W	83883	999	999	False
5046	0-76-0-4204202000000588	Chapecó	-27.085277777777776	-52.63583333333333		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	27 05 07S	052 38 09W	4204202000000588	999	999	False
5047	0-20000-0-83998	CHUI (83998-0)	-33.75	-53.36666666666667	13.0	Surface land meteorological station (SYNOP), GOS	33 45 00S	053 22 00W	83998	999	999	False
5048	0-20000-0-86998	CHUI (86998-0)	-33.74166666666667	-53.37138888888889	27.5	Surface land meteorological station (SYNOP), GOS	33 44 30S	053 22 17W	86998	999	999	False
5049	0-20000-0-86898	CIDADE GAUCHA	-23.359166666666667	-52.93194444444444	382.5	Surface land meteorological station (SYNOP), GOS	23 21 33S	052 55 55W	86898	999	999	False
5050	0-20000-0-83192	CIPO	-11.083333333333334	-38.516666666666666	145.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	11 05 00S	038 31 00W	83192	999	999	False
5051	0-20000-0-86939	CLEVELANDIA	-26.41722222222222	-52.348888888888894	981.5	Surface land meteorological station (SYNOP), GOS	26 25 02S	052 20 56W	86939	999	999	False
5052	0-20000-0-81770	COARI (81770-0)	-4.097777777777777	-63.144999999999996	44.5	Surface land meteorological station (SYNOP), GOS	04 05 52S	063 08 42W	81770	999	999	False
5053	0-20000-0-82425	COARI (82425-0)	-4.083333333333333	-63.13333333333333	46.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), GSN, GOS, CLIMAT(C), RBCN	04 05 00S	063 08 00W	82425	999	999	False
5054	0-20000-0-82326	CODAJAS	-3.8333333333333335	-62.083333333333336	49.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, GOS	03 50 00S	062 05 00W	82326	999	999	False
5055	0-20000-0-81866	COLINAS (81866-0)	-6.033333333333333	-44.233333333333334	180.5	Surface land meteorological station (SYNOP), GOS	06 02 00S	044 14 00W	81866	999	999	False
5056	0-20000-0-82676	COLINAS (82676-0)	-6.033333333333333	-44.233333333333334	180.0	Surface land meteorological station (SYNOP), GOS	06 02 00S	044 14 00W	82676	999	999	False
5057	0-76-0-1705508000000530	Colinas do Tocantins	-8.092777777777778	-48.478611111111114		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	08 05 34S	048 28 43W	1705508000000530	999	999	False
5058	0-76-0-4105805000000516	Colombo	-25.322499999999998	-49.157777777777774		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	25 19 21S	049 09 28W	4105805000000516	999	999	False
5059	0-20000-0-86661	COMODORO	-13.70861111111111	-59.76277777777778	592.5	Surface land meteorological station (SYNOP), GOS	13 42 31S	059 45 46W	86661	999	999	False
5060	0-20000-0-86794	CONCEICAO DAS ALAGOAS	-19.985833333333336	-48.152499999999996	569.5	Surface land meteorological station (SYNOP), GOS	19 59 09S	048 09 09W	86794	999	999	False
5061	0-20000-0-81940	CONCEICAO DO ARAGUAIA (81940-0)	-8.275833333333335	-49.274166666666666	181.5	Surface land meteorological station (SYNOP), GOS	08 16 33S	049 16 27W	81940	999	999	False
