	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file
34	0-20000-0-48453	0	35	48456	3	BANGNA AGROMET			0	100.6061111111111	13.66638888888889		19781203	19781203	1	0	63	NMS	216	Pak Kret									[36, 85, 106, 107]							L.Haimberger	0	28.1		11.0	2.62	era5.48456.bfr
35	0-894-1-CITY005	0	36	67665	3	LUSAKA CITY AIRPORT			0	28.466666666666665	-15.416666666666666		19700524	19711125	1	0	63	NMS	247	Lusaka									[36, 85, 106, 107]							L.Haimberger	0	10.8		20.8		era5.67665.bfr
36	0-20000-0-63630	0	37	63630	3	GULU			0	32.333333333333336	2.75		19660613	19740913	1	0	63	NMS	229	Gulu									[36, 85, 106, 107]							L.Haimberger	0	0.4		3.3	1105.0	era5.63630.bfr
37	0-20300-0-96773	0	38	96773	3	KALIJATI			0	107.667	-6.55		19660510	19710630	1	0	63	NMS	100	Subang									[36, 85, 106, 107]							L.Haimberger	0	0.3		9.8	110.0	era5.96773.bfr
38	0-20000-0-71716	0	39	71714	3	VALCARTIER A, QUE			0	-71.5	46.9		19701020	19720226	1	0	63	NMS	37	Quebec									[36, 85, 106, 107]							L.Haimberger	0	13.5		11.5	167.6	era5.71714.bfr
39	0-20000-0-84135	0	40	84120	3	PORTOVIEJO			0	-80.45944444444444	-1.0375		19740619	19740711	1	0	63	NMS	62	Portoviejo									[36, 85, 106, 107]							L.Haimberger	0	9.6		7.8	60.0	era5.84120.bfr
40	0-20000-0-40648	0	41	40648	3	HABANYAH			0	43.56666666666667	33.38333333333333		19580411	19580511	1	0	63	NMS	106	Hit									[36, 85, 106, 107]							L.Haimberger	0	1.5		75.5	44.0	era5.40648.bfr
41	0-20000-0-25282	0	42	25282	3	MYS VANKAREM			0	-175.83333333333334	67.83333333333333		19740731	19740903	1	0	63	NMS	190	None									[36, 85, 106, 107]							L.Haimberger	0	1.9		None	4.8	era5.25282.bfr
42	0-20000-0-91554	0	43	91554	3	PEKOA AIRPORT (SANTO)			0	167.21666666666667	-15.516666666666667		19660516	19721228	1	0	63	NMS	240	Luganville									[36, 85, 106, 107]							L.Haimberger	0	9.3		4.2	44.0	era5.91554.bfr
43	0-20000-0-87121	0	44	87120	3	TUCUMAN AERO			0	-65.10833333333333	-26.83722222222222		19710525	19720415	1	0	63	NMS	10	Tucuman									[36, 85, 106, 107]							L.Haimberger	0	9.1		2.3	450.0	era5.87120.bfr
44	0-20000-0-37575	0	45	37575	3	ZAKATALA			0	46.65	41.66666666666666		19680403	19721230	1	0	63	NMS	16	Zaqatala									[36, 85, 106, 107]							L.Haimberger	0	4.1		0.7	490.0	era5.37575.bfr
45	0-20000-0-72370	0	46	23108	3	KINGMAN/MOHAVE COUNTY A., AZ.			0	-113.93333333333334	35.266666666666666		19640516	19640516	1	0	63	NMS	231	Kingman									[36, 85, 106, 107]							L.Haimberger	0	0.5		14.3	1033.0	era5.23108.bfr
46	0-20000-0-30957	0	47	30954	3	AKSA			0	113.26666666666668	50.266666666666666		19781229	19781229	1	0	63	NMS	190	Aginskoye									[36, 85, 106, 107]							L.Haimberger	0	1.0		127.9	732.2	era5.30954.bfr
47	0-20000-0-91155	0	48	22604	3	FRENCH FRIGATE SHOALS			0	-166.28333333333333	23.866666666666667		19621009	19621018	1	0	63	NMS	231	None									[36, 85, 106, 107]							L.Haimberger	0	0.5		None		era5.22604.bfr
48	0-20000-0-71393	0	49	72877	3	CALGARY INT'L CS, ALTA			0	-114.00027777777778	51.10944444444445		19670602	19680911	1	0	63	NMS	37	Calgary									[36, 85, 106, 107]							L.Haimberger	0	1.3		5.5	1081.0	era5.72877.bfr
49	0-20000-0-72757	0	50	72757	3	GRAND FORKS, ND, GRAND FORKS INT. ARPT			0	-97.17611111111113	47.94888888888889		19741216	19750201	1	0	63	NMS	231	Grand Forks									[36, 85, 106, 107]							L.Haimberger	0	16.7		27.6	257.0	era5.72757.bfr
50	0-20000-0-59985	0	51	59985	3	SANHU DAO			0	111.61666666666666	16.533333333333335		19781229	19781229	1	0	63	NMS	47	Wanning									[36, 85, 106, 107]							L.Haimberger	0	0.5		282.8	5.0	era5.59985.bfr
51	0-20000-0-80410	0	52	80410	3	BARQUISIMETO			0	-69.31666666666666	10.066666666666666		19660309	19740909	1	0	63	NMS	236	Barquisimeto									[36, 85, 106, 107]							L.Haimberger	0	0.5		0.5	614.0	era5.80410.bfr
52	0-20000-0-67581	0	53	67581	3	CHIPATA			0	32.583333333333336	-13.55		19740812	19740905	1	0	63	NMS	247	Chipata									[36, 85, 106, 107]							L.Haimberger	0	0.4		11.9	1032.0	era5.67581.bfr
53	0-20000-0-65557	0	54	65557	3	GAGNOA			0	-5.95	6.133333333333334		19740618	19740713	1	0	63	NMS	43	Gagnoa									[36, 85, 106, 107]							L.Haimberger	0	6.6		6.5	210.0	era5.65557.bfr
54	0-20000-0-47055	0	55	43243	3	WONSAN			0	127.43333333333334	39.18333333333333		19680719	19701004	1	0	63	NMS	120	Seoul									[36, 85, 106, 107]							L.Haimberger	0	16.9		189.6	36.0	era5.43243.bfr
55	0-20000-0-91568	0	56	91568	3	ANEITYUM			0	169.76666666666668	-20.23333333333333		19700904	19720216	1	0	63	NMS	240	We									[36, 85, 106, 107]							L.Haimberger	0	3.9		273.3	7.0	era5.91568.bfr
56	0-20000-0-72209	0	57	72209	3	FT. STEWART, GA			0	-81.56666666666666	31.883333333333333		19770505	19780519	1	0	63	NMS	231	Hinesville									[36, 85, 106, 107]							L.Haimberger	0	0.5		4.4		era5.72209.bfr
57	0-20000-0-60640	0	58	60640	3	ILLIZI			0	8.416666666666666	26.5		19641210	19721229	1	0	63	NMS	61	Gat									[36, 85, 106, 107]							L.Haimberger	0	6.3		240.4	541.0	era5.60640.bfr
58	0-20000-0-55696	0	59	55696	3	LHUNZE			0	92.46666666666668	28.416666666666668		19590901	19591231	1	0	63	NMS	47	Ziro									[36, 85, 106, 107]							L.Haimberger	0	2.2		162.2	3861.0	era5.55696.bfr
59	0-20000-0-62600	0	60	62600	3	WADI HALFA			0	31.35	21.816666666666663		19640121	19740910	1	0	63	NMS	195	Aswan									[36, 85, 106, 107]							L.Haimberger	0	11.4		301.8	190.0	era5.62600.bfr
60	0-20300-0-13802	0	61	13802	3	BELLEVILLE SCOTT FIELD			0	-89.85	38.55		19590528	19590928	1	0	63	NMS	231	Shiloh									[36, 85, 106, 107]							L.Haimberger	0	0.0		4.3	135.0	era5.13802.bfr
61	0-20000-0-63682	0	62	63682	3	JINJA			0	33.18333333333333	0.45		19740603	19740603	1	0	63	NMS	229	Bugembe									[36, 85, 106, 107]							L.Haimberger	0	5.8		4.4	1173.0	era5.63682.bfr
62	0-20000-0-81830	0	63	82583	3	CRATEUS (81830-0)			0	-40.67166666666667	-5.186111111111112		19740611	19740819	1	0	63	NMS	30	Crateus									[36, 85, 106, 107]							L.Haimberger	0	3.5		5.2	292.5	era5.82583.bfr
63	0-20000-0-72643	0	64	72643	3	LA CROSSE/MUN., WI.			0	-91.25	43.86666666666667		19620305	19620815	1	0	63	NMS	231	Onalaska									[36, 85, 106, 107]							L.Haimberger	0	5.5		3.3		era5.72643.bfr
64	0-20000-0-48698	0	65	48687	3	SINGAPORE/CHANGI AIRPORT			0	103.9825	1.3677777777777778		19660827	19711016	1	0	63	NMS	197	Johor Bahru									[36, 85, 106, 107]							L.Haimberger	0	29.2		10.3	14.0	era5.48687.bfr
65	0-20000-0-29594	0	66	29594	3	TAJSHET			0	98.0	55.95		19781225	19781225	1	0	63	NMS	190	Tayshet									[36, 85, 106, 107]							L.Haimberger	0	0.0		1.8	306.8	era5.29594.bfr
