	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
35	0-20000-0-89324	0	36	woudc	3	BYRD STATION			0	-119.43805555555556	-80.0111111111111		1963-11-11	1966-12-22	1	0	63	NMS	9										['126', '137', '106', '107', '117']							L.Haimberger	0	2.6			1530.0	woudc_-80.03_-119.517.csv	OSCAR
36	0-20000-0-47186	0	37	woudc	3	National Typhoon Center			0	126.67833333333334	33.331388888888895		2001-02-27	2001-06-09	1	0	63	NMS	121	Fukue									['126', '137', '106', '107', '117']							L.Haimberger	0	25.0		236.4	21.65	woudc_33.5_126.5.csv	OSCAR
37	0-20001-0-72403	0	38	woudc	3	STERLING, VA.			0	-77.48583333333333	38.97666666666667		1962-08-01	1966-06-29	1	0	63	NMS	231	Herndon									['126', '137', '106', '107', '117']							L.Haimberger	0	0.7		8.5	98.0	woudc_38.983_-77.483.csv	OSCAR
38	0-20000-0-10384	0	39	woudc	3	BERLIN-TEMPELHOF			0	13.402222222222225	52.4675		1966-11-02	1973-01-17	1	0	63	NMS	56	Berlin									['126', '137', '106', '107', '117']							L.Haimberger	0	2.1		6.0	49.0	woudc_52.467_13.433.csv	OSCAR
39	0-20000-0-74750	0	40	woudc	3	PALESTINE, TX.			0	-95.71666666666668	31.78333333333333		1975-02-07	1985-06-16	1	0	63	NMS	231	Palestine									['126', '137', '106', '107', '117']							L.Haimberger	0	1.8		9.2	120.7008	woudc_31.8_-95.717.csv	OSCAR
40	0-20000-0-64450	0	41	woudc	3	BRAZZAVILLE /MAYA-MAYA			0	15.25	-4.25		1990-04-06	1992-10-20	1	0	63	NMS	39	Brazzaville									['126', '137', '106', '107', '117']							L.Haimberger	0	3.3		4.5	316.0	woudc_-4.28_15.25.csv	OSCAR
41	0-20000-0-15614	0	42	woudc	3	SOFIA (OBSERV.)			0	23.383333333333333	42.65		1982-02-17	1991-12-25	1	0	63	NMS	22	Novi Iskar									['126', '137', '106', '107', '117']							L.Haimberger	0	18.6		3.3	591.0	woudc_42.817_23.383.csv	OSCAR
42	0-20000-0-43064	0	43	woudc	3	PUNE / LOHOGAON AERODROME			0	73.91666666666667	18.58333333333333		1966-02-10	2011-11-02	1	0	63	NMS	104	Pune									['126', '137', '106', '107', '117']							L.Haimberger	0	2.5		1.8	593.0	woudc_18.6_73.9.csv	OSCAR
43	0-20000-0-16144	0	44	woudc	3	S. PIETRO CAPOFIUME RDS			0	11.6225	44.653888888888886		1984-02-08	1993-12-30	1	0	63	NMS	109	Molinella									['126', '137', '106', '107', '117']							L.Haimberger	0	0.6		5.4	9.0	woudc_44.65_11.617.csv	OSCAR
44	0-20500-0-90002	0	45	woudc	3	SOUTH POLE OBSERVTRY			0	-24.8	-90.0		1962-03-26	1987-12-30	1	0	63	NMS	89										['126', '137', '106', '107', '117']							L.Haimberger	0	1.9			2810.2560000000003	woudc_-89.983_-24.8.csv	WBAN
