era5.1759.conv.2:93062	231
era5.1759.conv.2:13712	231
era5.1759.conv.2:13933	231
era5.1759.conv.2:32904	104
era5.1759.conv.1:63932	227
era5.1759.conv.2:43208	121
era5.1759.conv.1:63766	114
era5.1759.conv.2:12803	231
era5.1759.conv.2:13842	231
era5.1759.conv.1:62176	135
era5.1759.conv.1:60425	61
era5.1759.conv.2:12858	231
era5.1759.conv.1:96881	100
era5.1759.conv.1:47768	113
era5.1759.conv.2:43238	121
era5.1759.conv.2:24001	231
era5.1759.conv.1:42415	104
era5.1759.conv.1:67161	141
era5.1759.conv.2:3938	231
era5.1759.conv.2:94108	37
era5.1759.conv.6:100020	13
era5.1759.conv.2:16302	83
era5.1759.conv.1:7660	74
era5.1759.conv.2:13007	136
era5.1759.conv.2:13005	136
era5.1759.conv.1:64950	46
era5.1759.conv.2:23122	231
era5.1759.conv.2:23031	231
era5.1759.conv.1:96509	100
era5.1759.conv.2:34102	109
era5.1759.conv.2:23141	231
era5.1759.conv.2:13923	231
era5.1759.conv.1:59362	226
era5.1759.conv.1:58044	47
era5.1759.conv.2:23115	231
era5.1759.conv.1:37709	6
era5.1759.conv.1:87774	10
era5.1759.conv.2:13002	136
era5.1759.conv.2:23242	231
era5.1759.conv.2:13764	231
era5.1759.conv.1:63756	227
era5.1759.conv.2:16601	37
era5.1759.conv.1:13228	17
era5.1759.conv.6:58322	47
era5.1759.conv.2:23206	231
era5.1759.conv.2:12813	231
era5.1759.conv.1:43185	104
era5.1759.conv.2:33031	61
era5.1759.conv.2:21503	231
era5.1759.conv.2:23108	231
era5.1759.conv.2:10806	49
era5.1759.conv.1:47154	121
era5.1759.conv.1:42397	104
era5.1759.conv.2:13856	231
era5.1759.conv.1:58944	47
era5.1759.conv.1:61988	153
era5.1759.conv.1:74724	231
era5.1759.conv.2:14791	231
era5.1759.conv.2:14604	231
era5.1759.conv.1:68312	159
era5.1759.conv.1:13388	189
era5.1759.conv.1:78107	31
era5.1759.conv.2:32817	104
era5.1759.conv.2:15903	37
era5.1759.conv.1:72231	231
