	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
54	0-20000-0-07145	0	55	5343	3	TRAPPES			0	2.0097222222222224	48.77444444444444		1928-07-18	1928-07-18	1	0	63	NMS	74	Velizy-Villacoublay									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
55	0-20000-0-33325	0	56	5169	3	Zhytomyr			0	28.659166666666664	50.28055555555555		1921-05-16	1954-09-22	1	0	63	NMS	228	Zhytomyr									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
56	0-20000-0-07761	0	57	5574	3	AJACCIO			0	8.792777777777777	41.918055555555554		1922-08-03	1934-06-22	1	0	63	NMS	74	Ajaccio									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
57	0-20000-0-38457	0	58	5354	3	TASHKENT			0	69.3	41.333333333333336		1925-04-14	1955-04-22	1	0	63	NMS	233	Tashkent									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
58	0-20000-0-35700	0	59	5147	3	ATYRAU			0	51.88333333333333	47.11666666666667		1920-02-16	1955-04-22	1	0	63	NMS	124	Atyrau									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
59	0-20001-0-28695	0	60	4640	3	OMSK (RS)			0	73.4	54.93333333333333		1954-10-19	1955-04-22	1	0	63	NMS	190	Omsk									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
60	0-20000-0-13285	0	61	5384	3	VELIKO GRADISTE			0	21.516666666666666	44.75		1908-08-18	1942-03-31	1	0	63	NMS	189	Moldova Noua									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
61	0-20000-0-48080	0	62	5830	3	Thandwe			0	94.35	18.466666666666665		1920-11-26	1955-04-21	1	0	63	NMS	145	Pyay									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
62	0-20000-0-42261	0	63	5782	3	AGRA (42261-0)			0	78.03333333333333	27.166666666666668		1928-01-06	1957-03-08	1	0	63	NMS	104	Agra									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
63	0-20000-0-62378	0	64	5982	3	HELWAN			0	31.349166666666665	29.86277777777778		1940-02-27	1940-02-27	1	0	63	NMS	64	Gizeh									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
64	0-20000-0-61995	0	65	5378	3	VACOAS (MAURITIUS)			0	57.49472222222222	-20.297500000000003		1925-04-14	1956-12-31	1	0	63	NMS	153	Quatre Bornes									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
65	0-20000-0-41640	0	66	5453	3	LAHORE CITY			0	74.33333333333333	31.55		1920-12-06	1949-12-25	1	0	63	NMS	177	Lahore									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
