	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
46	0-20000-0-92058	0	47	94058	3	TUFI			0	149.31666666666666	-9.083333333333334		19930128	19930128	1	0	63	NMS	175	Popondetta									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
47	0-20000-0-41571	0	48	41570	3	ISLAMABAD AIRPORT			0	73.1	33.61666666666667		19790503	19790503	1	0	63	NMS	177	Rawalpindi									[104, 105, 106, 107, 117]							L.Haimberger	0
48	0-20000-0-67591	0	49	67591	3	NKHOTA KOTA			0	34.266666666666666	-12.916666666666664		19860607	19860607	1	0	63	NMS	155	Nkhotakota									[104, 105, 106, 107, 117]							L.Haimberger	0
49	0-20000-0-16289	0	50	16289	3	NAPOLI/CAPODICHINO			0	14.290833333333332	40.88444444444443		19900531	19900531	1	0	63	NMS	109	San Giorgio A Cremano									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
50	0-20000-0-94995	0	51	93995	3	LORD HOWE ISLAND AERO			0	159.07861111111112	-31.54222222222223		19820603	19820603	1	0	63	NMS	13	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
51	0-20000-0-64180	0	52	64180	3	BUKAVU			0	28.85	-2.5166666666666666		19821025	19821025	1	0	63	NMS	39	Bukavu									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
52	0-20000-0-43009	0	53	43009	3	AHMADNAGAR			0	74.8	19.08333333333333		19790523	19790523	1	0	63	NMS	104	Ahmadnagar									[104, 105, 106, 107, 117]							L.Haimberger	0
53	0-20000-0-48068	0	54	48068	3	PINLAUNG			0	96.76666666666668	20.133333333333333		19840522	19840522	1	0	63	NMS	145	Loikaw									[104, 105, 106, 107, 117]							L.Haimberger	0
54	0-20000-0-94274	0	55	94275	3	GEORGETOWN AIRPORT			0	143.53055555555557	-18.303888888888892		19801019	19810610	1	0	63	NMS	13	Innisfail									[104, 105, 106, 107, 117]							L.Haimberger	0
55	0-20000-0-96163	0	56	95659	3	MIA PADANG			0	100.28916666666666	-0.7936111111111112		19880320	19980218	1	0	63	NMS	100	Padang									[104, 105, 106, 107, 117]							L.Haimberger	0
56	0-20000-0-64207	0	57	64207	3	MATADI			0	13.433333333333335	-5.8		19890308	19890308	1	0	63	NMS	39	Matadi									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
57	0-20000-0-04242	0	58	4242	3	SIORALIK			0	-52.55	65.01666666666667		19870421	19870421	1	0	63	NMS	83	Nuuk									[104, 105, 106, 107, 117]							L.Haimberger	0
58	0-20000-0-62378	0	59	62371	3	HELWAN			0	31.349166666666665	29.862777777777783		19790901	19790901	1	0	63	NMS	64	Cairo									[104, 105, 106, 107, 117]							L.Haimberger	0
59	0-20000-0-48352	0	60	48352	3	NONG KHAI			0	102.74722222222222	17.865000000000006		19881209	19881209	1	0	63	NMS	216	Nong Khai									[104, 105, 106, 107, 117]							L.Haimberger	0
60	0-20000-0-40022	0	61	40022	3	LATTAKIA			0	35.766666666666666	35.53333333333333		19930308	19930308	1	0	63	NMS	210	Jablah									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
61	0-20700-0-84279	0	62	84279	3	MACARA                   			0	-79.93333333333334	-4.366666666666666		19881112	19881112	1	0	63	NMS	62	Macara									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
62	0-20000-0-64753	0	63	64753	3	FAYA			0	19.166666666666668	18.0		19870716	19870716	1	0	63	NMS	213	Faya									[104, 105, 106, 107, 117]							L.Haimberger	0
63	0-20000-0-15625	0	64	15625	3	PLOVDIV-KRUMOVO			0	24.75	42.13333333333333		19920507	19920507	1	0	63	NMS	22	Plovdiv									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
64	0-20000-0-35026	0	65	35026	3	ZILAIR			0	57.479444444444454	52.24027777777778		19890406	19890406	1	0	63	NMS	190	Baymak									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
65	0-20000-0-64860	0	66	60894	3	GAROUA			0	13.383333333333333	9.333333333333334		19890227	19950605	1	0	63	NMS	46	Garoua									[104, 105, 106, 107, 117]							L.Haimberger	0
66	0-20000-0-65275	0	67	65272	3	OGOJA			0	8.8	6.666666666666668		20160611	20160611	1	0	63	NMS	163	Otukpo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
67	0-894-1-ksm0014	0	68	63734	3	KASAMA			0	31.13333333333333	-10.216666666666667		19890120	19890120	1	0	63	NMS	247	Kasama									[104, 105, 106, 107, 117]							L.Haimberger	0
68	0-20000-0-07560	0	69	7560	3	MONT AIGOUAL			0	3.5813888888888887	44.121388888888895		19800506	19800506	1	0	63	NMS	74	Millau									[104, 105, 106, 107, 117]							L.Haimberger	0
69	0-20000-0-11423	0	70	11423	3	PRIMDA			0	12.678055555555556	49.66944444444446		19921225	19921225	1	0	63	NMS	54	Tachov									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
70	0-20000-0-29915	0	71	29915	3	SLAVGOROD (29915-0)			0	78.65	52.96666666666667		19940205	19940205	1	0	63	NMS	190	Slavgorod									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
71	0-20000-0-02679	0	72	2599	3	HOBURG A			0	18.150555555555552	56.92111111111111		19850314	19850314	1	0	63	NMS	196	Visby									[39, 106, 107, 117]							L.Haimberger	0
72	0-20000-0-38683	0	73	38683	3	BUHARA			0	64.61666666666666	39.71666666666667		19800131	19800131	1	0	63	NMS	233	Kogon									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
73	0-20000-0-47480	0	74	47480	3	MEMAMBETSU			0	144.18861111111113	43.91		19800123	19800123	1	0	63	NMS	113	Abashiri									[104, 105, 106, 107, 117]							L.Haimberger	0
74	0-20000-0-43042	0	75	43042	3	BHAWANIPATNA			0	83.18333333333334	19.916666666666668		19790505	19790505	1	0	63	NMS	104	Bhawanipatna									[104, 105, 106, 107, 117]							L.Haimberger	0
75	0-20500-0-93765	0	76	72310	3	BEAUFORT SMITH FIELD			0	-76.66	34.73		19941223	19941223	1	0	63	NMS	231	Havelock									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
76	0-20000-0-07288	0	77	7288	3	BESANCON			0	5.988888888888888	47.24888888888889		19830606	19830606	1	0	63	NMS	74	Besancon									[104, 105, 106, 107, 117]							L.Haimberger	0
77	0-20000-0-48099	0	78	48099	3	HPAAN			0	97.63083333333331	16.885277777777773		19891022	19930125	1	0	63	NMS	145	Martaban									[104, 105, 106, 107, 117]							L.Haimberger	0
78	0-20000-0-12560	0	79	12560	3	KATOWICE-MUCHOWEC			0	19.032777777777774	50.24055555555557		19860929	19860929	1	0	63	NMS	178	Katowice									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
79	0-20000-0-80110	0	80	80110	3	MEDELLIN/OLAYA HERRERA			0	-75.6	6.216666666666668		19890115	19890115	1	0	63	NMS	48	Medellin									[104, 105, 106, 107, 117]							L.Haimberger	0
80	0-20000-0-10731	0	81	10722	3	RHEINSTETTEN			0	8.33	48.9725		19930816	19930816	1	0	63	NMS	56	Sinzheim									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
81	0-20000-0-95771	0	82	94771	3	CESSNOCK AIRPORT AWS			0	151.33777777777775	-32.78861111111111		19800116	19800116	1	0	63	NMS	13	Cessnock									[104, 105, 106, 107, 117]							L.Haimberger	0
82	0-20000-0-24988	0	83	24988	3	ARKA			0	142.33333333333334	60.08333333333334		19800108	19800108	1	0	63	NMS	190	None									[104, 105, 106, 107, 117]							L.Haimberger	0
83	0-20000-0-61666	0	84	61666	3	DIOURBEL			0	-16.229999999999997	14.65		20011203	20011203	1	0	63	NMS	204	Diourbel									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
84	0-20000-0-76848	0	85	76848	3	COMITAN, CHIS.			0	-92.1352777777778	16.231944444444444		19970324	19970324	1	0	63	NMS	156	Comitan									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
85	0-20600-0-60549	0	86	58899	3	Mecheria, Algeria			0	-0.43	34.93		19880712	19880712	1	0	63	NMS	61	Wahran									[104, 105, 106, 107, 117]							L.Haimberger	0
86	0-20000-0-94386	0	87	94385	3	HERON ISLAND RES STN			0	151.91305555555556	-23.442222222222227		19800229	19800229	1	0	63	NMS	13	Gladstone									[104, 105, 106, 107, 117]							L.Haimberger	0
87	0-20000-0-80426	0	88	80426	3	VALERA			0	-70.61666666666666	9.35		19840428	19840827	1	0	63	NMS	236	Valera									[104, 105, 106, 107, 117]							L.Haimberger	0
88	0-20000-0-40039	0	89	40039	3	RAQQA			0	39.016666666666666	35.93333333333333		19890708	19890708	1	0	63	NMS	210	Manbij									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
89	0-20000-0-16230	0	90	16230	3	PESCARA			0	14.187222222222225	42.43722222222222		19850223	19850828	1	0	63	NMS	109	Pescara									[104, 105, 106, 107, 117]							L.Haimberger	0
90	0-20000-0-34510	0	91	34510	3	Bakhmut			0	38.014722222222225	48.55722222222222		19840730	19840730	1	0	63	NMS	228	Artemovsk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
91	0-20000-0-47740	0	92	47739	3	SAIGO			0	133.3338888888889	36.20444444444445		19900128	19900128	1	0	63	NMS	113	Sakaiminato									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
92	0-20000-0-91161	0	93	91163	3	KOKEE, KAUAI, HAWAII			0	-159.65	22.15		19800304	19800304	1	0	63	NMS	231	Kapaa									[104, 105, 106, 107, 117]							L.Haimberger	0
93	0-20000-0-06285	0	94	10002	3	HUIBERTGAT WP			0	6.3983333333333325	53.5738888888889		19851201	19851201	1	0	63	NMS	13	Winsum									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
