	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
1048	0-20000-0-43258	0	1049	43258	3	SHIMOGA			0	75.63333333333334	13.933333333333334		19820615	19820615	1	0	63	NMS	104	Shimoga									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.5		6.2	572.0	era5.conv._43258	OSCAR
1049	0-20000-0-91530	0	1050	91530	3	NAURU AIRPORT			0	166.91666666666666	-0.5333333333333333		19900318	19920907	1	0	63	NMS	168	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.5		None	7.0	era5.conv._91530	OSCAR
1050	0-20000-0-16190	0	1051	16190	3	ANCONA			0	13.52527777777778	43.61138888888889		19910104	19910104	1	0	63	NMS	109	Ancona									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.0		2.2	143.0	era5.conv._16190	OSCAR
1051	0-20000-0-82595	0	1052	82595	3	CALCANHAR (82595-0)			0	-35.483333333333334	-5.166666666666667		19851022	19851121	1	0	63	NMS	30	Sao Miguel									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.5		35.1	14.0	era5.conv._82595	OSCAR
1052	0-20000-0-42849	0	1053	42849	3	KHARGONE			0	75.61666666666666	21.816666666666663		19790815	19790815	1	0	63	NMS	104	Khargone									[104, 105, 106, 107, 117]							L.Haimberger	0	1.0		1.3	252.0	era5.conv._42849	OSCAR
1053	0-20000-0-23631	0	1054	23631	3	BEREZOVO			0	65.52722222222222	63.91861111111111		19811027	19940104	1	0	63	NMS	190	Nyagan									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	23.4		200.2	32.3	era5.conv._23631	OSCAR
1054	0-20000-0-91665	0	1055	91665	3	MATEI			0	-179.86666666666667	-16.683333333333334		20031022	20031022	1	0	63	NMS	70	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.5		None	21.0	era5.conv._91665	OSCAR
1055	0-20000-0-91411	0	1056	91411	3	NGULU ATOLL AWS, CAROLINE IS.			0	137.48333333333332	8.3		20010415	20010415	1	0	63	NMS	72	Koror									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		347.4	3.0	era5.conv._91411	OSCAR
1056	0-20000-0-76848	0	1057	76848	3	COMITAN, CHIS.			0	-92.1352777777778	16.231944444444444		19970324	19970324	1	0	63	NMS	156	Comitan									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	2.1		0.4	1646.0	era5.conv._76848	OSCAR
1057	0-20000-0-04360	0	1058	4361	3	TASIILAQ (AMMASSALIK)			0	-37.63666666666666	65.6111111111111		19881204	19960619	1	0	63	NMS	83	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	22.7		None	37.0	era5.conv._04361	OSCAR
1058	0-20000-0-86268	0	1059	86268	3	CAAZAPA			0	-56.35	-26.183333333333334		19890525	19900709	1	0	63	NMS	185	Villarrica									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		48.4	142.0	era5.conv._86268	OSCAR
1059	0-20000-0-43303	0	1060	43303	3	VELLORE			0	79.15	12.916666666666666		19790725	20191111	1	0	63	NMS	104	Velluru									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		2.3	214.0	era5.conv._43303	OSCAR
1060	0-20000-0-42705	0	1061	42705	3	PURULIA			0	86.41666666666667	23.33333333333333		19790829	19790830	1	0	63	NMS	104	Balarampur									[104, 105, 106, 107, 117]							L.Haimberger	0	23.3		8.8	255.0	era5.conv._42705	OSCAR
1061	0-20000-0-94969	0	1062	94969	3	LAUNCESTON (TI TREE BEND)			0	147.12222222222223	-41.41944444444445		19800103	19810513	1	0	63	NMS	13	Launceston									[104, 105, 106, 107, 117]							L.Haimberger	0	0.2		1.8	5.0	era5.conv._94969	OSCAR
1062	0-20000-0-61036	0	1063	61036	3	TILLABERY			0	1.45	14.2		19851211	20100915	1	0	63	NMS	161	Tillabery									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		1.3	210.0	era5.conv._61036	OSCAR
1063	0-20000-0-37061	0	1064	37061	3	BUDENNOVSK			0	44.13333333333333	44.78333333333333		19840414	19890511	1	0	63	NMS	190	Praskoveya									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	3.4		6.7	135.87	era5.conv._37061	OSCAR
1064	0-20000-0-01332	0	1065	1334	3	FJAERLAND-BREMUSEET			0	6.764166666666667	61.42305555555555		20050811	20050811	1	0	63	NMS	166	Bergen									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.8		139.8	54.0	era5.conv._01334	OSCAR
1065	0-20000-0-80426	0	1066	80426	3	VALERA			0	-70.61666666666666	9.35		19840428	19840827	1	0	63	NMS	236	Valera									[104, 105, 106, 107, 117]							L.Haimberger	0	0.4		4.0	582.0	era5.conv._80426	OSCAR
