	date	counts
866	1972-03-01	18100
867	1972-04-01	19000
868	1972-05-01	19635
869	1972-06-01	18928
870	1972-07-01	18666
871	1972-08-01	18298
872	1972-09-01	18519
873	1972-10-01	14127
874	1972-11-01	15139
875	1972-12-01	17601
876	1973-01-01	23820
877	1973-02-01	22867
878	1973-03-01	24771
879	1973-04-01	24683
880	1973-05-01	25255
881	1973-06-01	24272
882	1973-07-01	24937
883	1973-08-01	24787
884	1973-09-01	24152
885	1973-10-01	25331
886	1973-11-01	24884
887	1973-12-01	25587
888	1974-01-01	24748
889	1974-02-01	22300
890	1974-03-01	25676
891	1974-04-01	23707
892	1974-05-01	24607
893	1974-06-01	23551
894	1974-07-01	23620
895	1974-08-01	24604
896	1974-09-01	23217
897	1974-10-01	24787
898	1974-11-01	24363
899	1974-12-01	24967
900	1975-01-01	24975
901	1975-02-01	22772
902	1975-03-01	25057
903	1975-04-01	24092
904	1975-05-01	25588
905	1975-06-01	24712
906	1975-07-01	25247
907	1975-08-01	24735
908	1975-09-01	24293
909	1975-10-01	25016
910	1975-11-01	24821
911	1975-12-01	25450
912	1976-01-01	25346
913	1976-02-01	23587
914	1976-03-01	25197
915	1976-04-01	24256
916	1976-05-01	24777
917	1976-06-01	24004
918	1976-07-01	24568
919	1976-08-01	24614
920	1976-09-01	24262
921	1976-10-01	25142
922	1976-11-01	24412
923	1976-12-01	25057
924	1977-01-01	24893
925	1977-02-01	23000
926	1977-03-01	25462
927	1977-04-01	24566
928	1977-05-01	25277
929	1977-06-01	24245
930	1977-07-01	24624
931	1977-08-01	24468
932	1977-09-01	24031
933	1977-10-01	25445
934	1977-11-01	25136
935	1977-12-01	25161
936	1978-01-01	25316
937	1978-02-01	23536
938	1978-03-01	26146
939	1978-04-01	25342
940	1978-05-01	25980
941	1978-06-01	24689
942	1978-07-01	25375
943	1978-08-01	25183
944	1978-09-01	24502
945	1978-10-01	25686
946	1978-11-01	24925
947	1978-12-01	25485
948	1979-01-01	26196
949	1979-02-01	23848
950	1979-03-01	25589
951	1979-04-01	24659
952	1979-05-01	26531
953	1979-06-01	25333
954	1979-07-01	25292
955	1979-08-01	25061
956	1979-09-01	24363
957	1979-10-01	25739
958	1979-11-01	24407
959	1979-12-01	25258
960	1980-01-01	24579
961	1980-02-01	23299
962	1980-03-01	25046
963	1980-04-01	24189
964	1980-05-01	24667
965	1980-06-01	23357
966	1980-07-01	24161
967	1980-08-01	24346
968	1980-09-01	23417
969	1980-10-01	23952
970	1980-11-01	23347
971	1980-12-01	23693
972	1981-01-01	24029
973	1981-02-01	22277
974	1981-03-01	24862
975	1981-04-01	23928
976	1981-05-01	24946
977	1981-06-01	23800
978	1981-07-01	24179
979	1981-08-01	24155
980	1981-09-01	23523
981	1981-10-01	24465
982	1981-11-01	24038
983	1981-12-01	25066
984	1982-01-01	24737
985	1982-02-01	22390
986	1982-03-01	25357
987	1982-04-01	24343
988	1982-05-01	25251
989	1982-06-01	23090
990	1982-07-01	24546
991	1982-08-01	24380
992	1982-09-01	23595
993	1982-10-01	24887
994	1982-11-01	23886
995	1982-12-01	24621
996	1983-01-01	24538
997	1983-02-01	22461
998	1983-03-01	24837
999	1983-04-01	24132
1000	1983-05-01	25099
1001	1983-06-01	23506
1002	1983-07-01	24274
1003	1983-08-01	24960
1004	1983-09-01	24161
1005	1983-10-01	25118
