era5.conv._98328	[16.41, 16.42, 16.42, 16.25, 16.4, 16.25, 16.404, 16.375, 0.22]	[120.6, 120.6, 120.6, 120.36, 120.6, 120.36, 120.601, 120.619, 10.24]	[3086782, 1602018, 184029, 52816, 5305, 4877, 1053]
era5.conv._67666	[-15.42, -14.45, -15.42]	[28.32, 28.47, 28.47]	[618495, 22758, 819]
era5.conv._96171	[-0.43, -0.35, -0.2, -0.43, 0.47, 0.33, -0.33, -0.35]	[102.45, 102.33, 102.19, 102.45, 102.32, 102.32, 102.32, 102.33]	[281928, 228915, 215220, 89170, 50, 40]
era5.conv._68240	[-24.22, -24.55]	[25.92, 25.92]	[714142, 527300]
era5.conv._60559	[33.5, 35.5, 33.5]	[6.78, 6.12, 6.12]	[896049, 340985, 75689]
era5.conv._03317	[52.57, 53.57]	[-3.05, -3.05]	[1189314, 657801]
era5.conv._03501	[52.42, 55.42]	[-4.0, -4.0]	[3638950, 390650]
era5.conv._61995	[-20.3, -20.3, -20.5, -20.28, -20.3]	[57.5, 57.5, 57.83, 57.48, 57.49]	[2282727, 532789, 310970, 38717]
era5.conv._10200	[53.35, 53.38, 52.38]	[7.22, 7.23, 7.23]	[9400649, 4542172, 368354]
era5.conv._61660	[14.67, 14.67, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674, 14.674]	[17.08, -17.07, -17.075, -17.075, -17.075, -17.075, -17.075, -17.075, -17.075, -17.076, -17.076, -17.075, -17.075, -17.075, -17.075, -17.075, -17.075, -17.075, -17.075, -17.075, -17.076, -17.076, -17.076, -17.076, -17.075, -17.075, -17.076, -17.075, -17.076, -17.075, -17.075, -17.076, -17.076, -17.075, -17.075, -17.076, -17.075, -17.076, -17.076, -17.075, -17.076, -17.076, -17.076, -17.076]	[1390779, 743746, 462681, 365556]
era5.conv._48477	[12.68, 12.39, 12.68, 12.68, 12.68, 12.69, 12.683, 12.683, 12.688]	[100.98, 100.57, 100.98, 101.02, 101.98, 100.99, 100.983, 100.983, 100.984]	[1292894, 213135, 110393, 12015, 9485, 4301, 600]
era5.conv._82411	[-4.23, -3.67, -4.25, -4.25, -4.251]	[-69.92, -69.67, -69.93, -69.933, -69.938]	[5677740, 1949455, 196334, 1512, 45]
era5.conv._96645	[-2.7, -2.7, -2.7, -2.704]	[110.7, 112.7, 111.7, 111.67]	[5429522, 278592, 4660, 1251]
era5.conv._52652	[38.93, 38.93, 38.93, 39.08]	[100.58, 100.58, 100.43, 100.28]	[3239649, 1024426, 225]
era5.conv._59431	[22.81, 22.82, 22.49, 22.82, 22.63, 22.617, 22.78]	[108.35, 108.35, 108.21, 108.35, 108.22, 108.183, 108.55]	[6986142, 6407640, 3418446, 31581, 4050, 1647]
era5.conv._80398	[-4.17, -4.17, -4.55, -4.194]	[-69.95, -69.92, -69.53, -69.943]	[2830083, 367137, 140778, 612]
era5.conv._98646	[10.3, 10.3, 10.18, 10.3, 10.32, 10.32, 10.18, 10.322, 10.307]	[123.97, 123.96, 123.58, 123.97, 123.97, 123.98, 123.58, 123.98, 123.979]	[6320363, 2834289, 1957228, 279843, 171307, 11647, 1962]
era5.conv._63985	[-4.67, -4.68, -4.95, -4.67, -4.68, -4.67, -4.92, -4.68, -4.679, -4.679]	[55.52, 55.53, 55.53, 55.52, 55.53, 55.53, 54.52, 55.52, 55.531, 55.531]	[13728483, 4281173, 2633013, 2579894, 1826385, 549869, 11246]
era5.conv._33791	[47.93, 43.03, 48.03, 48.05]	[33.33, 33.22, 33.22, 33.21]	[2271283, 1658547, 463671, 100917]
era5.conv._98618	[9.75, 9.75, 9.73, 9.74, 9.45, 9.74, 9.742]	[118.73, 118.73, 118.75, 118.76, 118.44, 118.759, 118.759]	[4898529, 2465046, 627278, 212768, 91755, 1872]
era5.conv._68538	[-30.67, -30.67, -30.65, -30.65, -30.67, -30.667, -30.691, -30.66, -30.665, -30.665, -30.667]	[23.0, 24.0, 24.02, 24.0, 23.98, 24.0, 24.024, 23.99, 23.993, 23.993, 24.0]	[22714290, 2563008, 1909305, 1664847, 1119359, 779648, 638265, 138663, 1197]
era5.conv._76151	[29.17, 28.88, 29.17]	[-118.32, -118.3, -118.3]	[2611080, 2127671, 7848]
era5.conv._48900	[10.82, 10.81, 11.17, 10.82, 10.13, 10.294, 10.817, 10.821, 10.817]	[106.67, 106.66, 105.58, 106.67, 106.11, 106.24, 106.667, 106.661, 106.667]	[9836983, 1249317, 112041, 39834, 23007, 1926, 35]
era5.conv._33946	[45.02, 44.68]	[33.98, 34.13]	[5365974, 1138437]
era5.conv._52983	[36.87, 35.87, 35.867]	[104.15, 104.15, 104.15]	[9889533, 298017, 1368]
era5.conv._52818	[36.2, 36.11, 36.42]	[94.63, 94.38, 94.9]	[6606072, 1530970, 2727]
era5.conv._74004	[32.51, 32.5, 32.87]	[-114.0, -114.0, -114.33]	[6881010, 3094811, 128421]
era5.conv._98433	[14.57, 14.58, 14.3, 14.5, 14.567]	[121.37, 121.37, 121.21, 121.35, 121.367]	[4636395, 2690079, 2521872, 134757, 1719]
era5.conv._98444	[13.13, 13.07, 13.13, 13.15, 13.15, 13.08, 13.151]	[123.73, 123.44, 123.73, 123.72, 123.73, 123.44, 123.728]	[6507035, 2963376, 1970783, 344438, 165663, 65]
era5.conv._48820	[21.03, 21.02, 21.02, 21.02, 21.01, 21.03, 21.03, 21.12, 21.033, 21.033]	[105.88, 105.8, 105.52, 105.8, 105.8, 105.13, 105.8, 105.288, 105.8, 105.8]	[7394364, 4499555, 1210446, 299691, 84411, 41652, 3186, 315]
era5.conv._83566	[-19.63, -19.6, -19.83, -19.62, -19.85, -19.617]	[-43.58, -43.57, -43.92, -43.97, -43.95, -43.967]	[6513927, 3171112, 884444, 80766, 48321, 2988]
era5.conv._58665	[28.65, 28.62]	[120.08, 121.42]	[7278246, 317115]
era5.conv._48650	[2.72, 3.1, 2.717]	[101.7, 101.65, 101.7]	[11633127, 3536974, 2646]
era5.conv._98753	[7.12, 7.11, 7.12, 7.13, 7.07, 7.128, 7.125, 7.13, 7.12, -0.54]	[125.65, 125.65, 125.65, 125.65, 125.39, 125.655, 125.646, 125.66, 124.65, -80.96]	[3973229, 1987479, 1157374, 751873, 554649, 178663, 95931, 5351, 1863]
era5.conv._56964	[22.67, 22.95, 22.67, 22.57, 22.95, 22.77, 22.82]	[101.4, 101.81, 101.4, 101.49, 100.98, 100.98, 100.99]	[7290288, 730854, 689512, 6435, 2556, 351]
era5.conv._97072	[-0.68, 0.68, -0.68, -0.683, -0.92]	[119.73, 119.73, 119.73, 119.733, 119.91]	[9347583, 4593750, 1204870, 4710]
era5.conv._40394	[27.43, 27.52, 27.433]	[41.68, 41.38, 41.683]	[20198936, 1044297, 765801]
era5.conv._08160	[41.67, 41.67, 41.65, 41.66, 41.68, 41.68, 41.679, 41.679]	[-1.02, -1.0, -1.0, -1.01, -1.073, 1.073, -1.073, -1.073]	[6760079, 5211091, 4749984, 4125798, 3339315, 1961487, 295578]
era5.conv._83779	[-28.6, -23.62, -23.5, -23.5, -23.51, -23.508]	[-53.52, -46.65, -46.63, -46.633, -46.63, -46.634]	[8353928, 1293911, 828015, 766370, 383803, 2439]
era5.conv._71802	[46.92, 47.31, 47.52, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.514, 47.51]	[-55.38, -52.78, -52.78, 52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.783, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.784, -52.78]	[9118096, 6172094, 1560829, 776618, 407229, 90783, 960]
era5.conv._15420	[44.5, 44.5, 44.3, 44.83, 44.48, 44.5, 44.51, 44.5, 44.503, 44.501]	[26.13, 26.13, 26.08, 26.37, 26.18, 26.07, 26.08, 26.21, 26.103, 26.111]	[12538251, 6629058, 1587447, 1398269, 400005, 207714, 85281, 3701, 2673]
era5.conv._72376	[35.23, 36.75, 36.22, 35.22, 35.23, 35.23, 35.231, 35.231]	[-111.82, -108.23, -111.82, -111.82, -111.81, -111.822, -111.82, -111.82]	[174574449, 6571493, 5894639, 4580480, 1214714, 346817, 342019]
era5.conv._01400	[56.53, 56.9, 56.53, 56.55, 59.943, 56.547, 56.542, 56.542, 56.5, 56.54, 56.543, 56.543]	[3.22, 3.35, 3.2, 3.21, 10.72, 3.212, 3.224, 3.224, 3.2, 3.22, 3.224, 3.224]	[84372759, 39954375, 3616830, 1994166, 1119240, 830025, 212418, 54126, 44334, 2646]
era5.conv._72672	[43.07, 43.05, 43.67, 43.06, 43.063, 43.06, 43.065, 43.065]	[-108.48, -108.47, -108.47, -108.48, -108.443, -108.44, -108.477, -108.477]	[184663305, 4550467, 4039382, 3925379, 3471058, 1794011, 528872]
era5.conv._40570	[17.6, 29.12]	[44.42, 46.67]	[18, 9]
era5.conv._96937	[-7.22, -7.22]	[113.72, 112.72]	[70, 5]
era5.conv._98321	[6.33, 16.33]	[120.57, 120.57]	[99, 20]
era5.conv._01006	[69.07, 78.23]	[15.18, 22.78]	[108, 36]
era5.conv._09291	[53.03, 53.03]	[13.0, 14.0]	[117, 15]
era5.conv._82010	[-11.02, 40.65]	[-68.73, -4.7]	[171, 10]
era5.conv._41350	[15.43, -0.7]	[45.33, 73.15]	[549, 207]
era5.conv._94387	[-24.52, -24.87]	[152.21, 152.33]	[85, 40]
era5.conv._78458	[19.75, 23.217]	[-70.55, -106.411]	[576, 45]
era5.conv._89059	[-63.32, -63.32]	[-57.9, -56.68]	[225, 180]
era5.conv._40420	[25.55, 25.28]	[49.63, 49.48]	[378, 15]
era5.conv._72309	[34.85, 34.85, 0.34, 34.54]	[-76.88, -76.88, -0.76, -76.53]	[815, 144, 54]
era5.conv._40858	[23.98, 28.95]	[50.83, 50.83]	[135, 63]
era5.conv._60285	[28.0, 28.45]	[-10.93, -11.15]	[35, 30]
era5.conv._48501	[11.78, 11.47]	[102.88, 102.52]	[80, 5]
era5.conv._48374	[16.43, 16.77]	[101.15, 101.25]	[468, 10]
era5.conv._09001	[54.7, 40.8]	[7.17, -73.3]	[837, 15]
era5.conv._40740	[36.85, 37.07]	[54.27, 58.5]	[90, 37]
era5.conv._94204	[-16.4, -16.24, -16.38, -17.58]	[122.91, 122.55, 122.92, 123.83]	[187, 60, 35, 18]
era5.conv._80021	[46.3, 43.43]	[11.78, -3.82]	[171, 5]
era5.conv._06465	[51.0, 50.0]	[5.07, 5.07]	[200, 117]
era5.conv._40560	[21.48, 21.28]	[40.53, 40.32]	[239, 40]
era5.conv._94321	[-21.25, -22.16]	[132.61, 131.47]	[126, 35]
era5.conv._43271	[13.53, 13.31]	[78.5, 78.3]	[256, 149]
era5.conv._94368	[-21.1, -20.05]	[149.11, 148.9]	[1018, 207]
era5.conv._30954	[50.27, 50.68]	[113.28, 113.58]	[6975, 567]
era5.conv._47770	[34.41, 34.68]	[135.11, 135.18]	[369, 27]
era5.conv._42042	[33.98, 33.58]	[74.78, 74.47]	[1560, 20]
era5.conv._41852	[25.75, 25.44, 26.02]	[89.25, 89.14, 88.4]	[14185, 505, 65]
era5.conv._62441	[30.6, 27.05]	[32.28, 27.47]	[162, 65]
era5.conv._40449	[23.58, 25.35, 25.35, 25.33]	[58.28, 55.38, 55.38, 55.52]	[99, 98, 40]
era5.conv._59997	[10.38, 10.72]	[114.37, 115.83]	[2070, 48]
era5.conv._48955	[15.13, 15.12, 5.38]	[105.78, 105.78, 103.1]	[387, 99, 5]
era5.conv._41941	[22.35, 22.27, 22.27, 23.27]	[91.82, 91.82, 91.82, 90.7]	[75, 35, 24]
era5.conv._60770	[33.35, 33.35, 33.35]	[10.98, 10.48, 10.48]	[6959, 90]
era5.conv._71851	[49.9, 49.9]	[-98.27, -96.3]	[4625, 2840]
era5.conv._41712	[28.88, 28.52]	[64.4, 64.24]	[41662, 485]
era5.conv._71033	[57.25, 50.28]	[-105.6, -119.27]	[57134, 2086]
era5.conv._40597	[12.83, 12.5, 28.22]	[45.03, 45.02, 36.35]	[113314, 2663, 25]
era5.conv._48580	[6.47, 6.91, 6.78, 6.78]	[101.1, 100.41, 101.17, 101.15]	[543, 40, 25, 15]
era5.conv._41917	[23.77, 23.76, 23.78, 23.46]	[90.38, 90.38, 90.38, 90.22]	[101682, 6325, 2304, 1350]
era5.conv._15300	[45.67, 45.67, 45.7]	[24.93, 24.93, 25.53]	[10692, 1494]
era5.conv._41685	[29.88, 29.53]	[69.72, 69.3]	[13578, 615]
era5.conv._70267	[64.0, 63.6]	[-145.73, -145.78]	[40572, 17039]
era5.conv._41516	[15.51, 35.92]	[107.57, 74.33]	[500, 15]
era5.conv._48602	[5.46, 5.47, -5.47]	[100.38, 100.38, 100.38]	[2659, 2454, 762]
era5.conv._55664	[28.63, 28.58, 28.63]	[87.08, 86.62, 87.08]	[71478, 1566]
era5.conv._41940	[22.35, 22.35, 22.35, 22.21]	[91.82, 91.81, 91.82, 91.49]	[78237, 1126, 958]
era5.conv._97120	[-2.5, -3.55]	[119.0, 118.98]	[571635, 197370]
era5.conv._41660	[23.22, 30.25]	[85.19, 66.88]	[454, 10]
era5.conv._71069	[55.3, 55.3]	[-114.28, -114.78]	[410281, 40460]
era5.conv._97240	[-8.57, -8.34, -8.57, -8.53, -8.75, -8.77, -8.56, -8.533]	[116.07, 116.03, 116.07, 116.07, 116.27, 116.28, 116.09, 116.067]	[334778, 320765, 243230, 180685, 49060, 12205, 30]
era5.conv._64654	[8.4, 8.4, 8.07, 8.4]	[20.65, 20.65, 20.65, 20.65]	[28296, 8593]
era5.conv._60769	[33.58, 33.87]	[10.78, 10.77]	[315739, 280667]
era5.conv._96655	[-1.0, -2.22, -2.23, -2.23]	[114.0, 114.0, 113.94, 113.95]	[402965, 392030, 66405, 21300]
era5.conv._60549	[33.52, 34.93, 34.52, 33.58]	[-0.33, -0.43, -0.28, -0.28]	[568089, 267427, 126162, 15395]
era5.conv._71124	[54.8, 54.75, 53.55]	[-110.08, -110.05, -114.1]	[430691, 77239, 585]
era5.conv._48694	[1.36, 1.37, 1.3, 1.22, 1.37]	[103.91, 103.92, 103.9, 103.55, 103.92]	[329564, 32913, 24456, 6168]
era5.conv._74002	[39.5, 39.5, 39.5, 39.5, 39.5, 39.45]	[-76.07, -76.57, -76.17, -76.56, -76.167, -76.167]	[1915201, 156586, 143622, 103833, 12546, 720]
era5.conv._41710	[28.82, 28.49]	[62.75, 62.44]	[31514, 740]
era5.conv._56079	[33.33, 33.58]	[102.72, 102.97]	[20313, 1604]
era5.conv._96845	[-7.86, -7.87, -7.51, -7.31, -7.87]	[110.91, 110.92, 110.76, 110.46, 110.92]	[103641, 925, 620, 400]
era5.conv._74724	[32.43, 32.93]	[-112.68, -112.7]	[560520, 91255]
era5.conv._41858	[24.85, 24.5, 25.75]	[89.37, 89.22, 88.92]	[73061, 1940, 25]
era5.conv._71146	[53.73, 49.903, 53.548, 49.903]	[-105.27, 97.212, -114.109, -97.212]	[227487, 7565, 2499, 1345]
era5.conv._61997	[-46.5, -46.43, -7.3]	[51.0, 51.87, 72.4]	[2381, 1114, 70]
era5.conv._59345	[23.0, 23.52, 23.52, 23.57]	[120.22, 119.57, 119.57, 119.6]	[189919, 24072, 7992]
era5.conv._71194	[40.0, 44.737, 44.737]	[-50.0, -63.647, -63.647]	[40410, 3618]
era5.conv._42423	[26.73, 26.07]	[94.17, 90.17]	[19852, 6305]
era5.conv._53083	[44.62, 44.68]	[114.15, 113.7]	[210663, 6714]
era5.conv._91941	[-14.97, -45.97]	[-147.67, 147.67]	[211044, 6895]
era5.conv._74732	[32.85, 32.51]	[-106.1, -106.05]	[343656, 51714]
era5.conv._51886	[38.37, 38.37, 38.25]	[90.15, 90.15, 90.85]	[453429, 112023]
era5.conv._62462	[27.28, 27.28, 27.28, 27.23, 27.78]	[33.77, 33.76, 33.77, 33.83, 33.77]	[65484, 29373, 7587, 6530]
era5.conv._71117	[40.0, 43.964, 44.232, 46.266, 46.266]	[-50.0, -79.573, -79.78, -79.418, -79.418]	[53325, 11990, 704, 335]
era5.conv._67666	[-15.42, -14.45, -15.42]	[28.32, 28.47, 28.47]	[618495, 22758, 819]
era5.conv._41932	[22.72, 22.7, 22.7, 22.42, 22.7]	[90.37, 90.31, 90.32, 90.22, 90.32]	[28880, 16410, 625, 210]
era5.conv._03317	[52.57, 53.57]	[-3.05, -3.05]	[1189314, 657801]
era5.conv._41900	[24.9, 24.53]	[91.88, 91.52]	[39833, 535]
era5.conv._98328	[16.41, 16.42, 16.42, 16.25, 16.4, 16.25, 16.404, 16.375, 0.22]	[120.6, 120.6, 120.6, 120.36, 120.6, 120.36, 120.601, 120.619, 10.24]	[3086782, 1602018, 184029, 52816, 5305, 4877, 1053]
era5.conv._41744	[27.83, 27.5, 6.53, 27.83]	[66.63, 66.38, 122.03, 66.63]	[26379, 525, 15]
era5.conv._96171	[-0.43, -0.35, -0.2, -0.43, 0.47, 0.33, -0.33, -0.35]	[102.45, 102.33, 102.19, 102.45, 102.32, 102.32, 102.32, 102.33]	[281928, 228915, 215220, 89170, 50, 40]
era5.conv._61995	[-20.3, -20.3, -20.5, -20.28, -20.3]	[57.5, 57.5, 57.83, 57.48, 57.49]	[2282727, 532789, 310970, 38717]
era5.conv._56173	[32.82, 31.85, 32.82, 31.85]	[102.85, 102.7, 102.85, 102.7]	[96831, 5779]
