index	alternative_name	bbox_max_latitude	bbox_max_longitude	bbox_min_latitude	bbox_min_longitude	city	comment	contact	end_date	latitude	local_gravity	longitude	measuring_system_id	measuring_system_model	metadata_contact	metadata_contact_role	observed_variables	observing_frequency	operating_institute	operating_territory	optional_data	platform_sub_type	platform_type	primary_id	primary_id_scheme	record_number	reporting_time	role	secondary_id	start_date	station_abbreviation	station_automation	station_crs	station_name	station_type	telecommunication_method	file	secondary_id_scheme
b''	b'[]'	15.98	121.48882191440066	14.98	120.4511800855993	b'Cabanatuan'	b'NA'	b'NA'	b'1994-10-21'	15.48	b'NA'	120.97	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-98329'	b'5'	4668	63	b'NA'	98329	b'1979-06-17'	b'[]'	1	0	b'MUNOZ'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-98329_CEUAS_merged_v0.nc	
b''	b'-1'	32.85	-88.05814057728219	31.85	-89.24185942271782	b'Meridian'	b'NA'	b'NA'	b'1945-12-31'	32.35	b'NA'	-88.65	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'-1'	b'-1'	63	0	b'0-20000-0-72234'	b'5'	2379	63	b'NA'	b'13817'	b'1942-01-01'	b'-1'	1	0	b'MERIDIAN/KEY, MS.'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-72234_CEUAS_merged_v0.nc	
b''	b'-1'	33.433	74.31272965783185	32.433	73.12127034216815	b'Jhelum'	b'NA'	b'NA'	b'2020-12-31'	32.933	b'NA'	73.717	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'-1'	b'-1'	63	0	b'0-20000-0-41598'	b'5'	1518	63	b'NA'	b'41598'	b'1949-01-01'	b'-1'	1	0	b'JHELUM'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-41598_CEUAS_merged_v0.nc	
b''	b'-1'	42.0	-73.43240379087662	41.0	-74.76759620912337	b'Newburgh'	b'NA'	b'NA'	b'1951-12-31'	41.5	b'NA'	-74.1	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'-1'	b'-1'	63	0	b'0-20000-0-74482'	b'5'	2282	63	b'NA'	b'74482'	b'1942-01-01'	b'-1'	1	0	b'NEWBURGH/STEWART AFB'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-74482_CEUAS_merged_v0.nc	
b''	b'[]'	12.050000190734865	105.3603325610165	11.050000190734863	104.33966438722568	b'Phnum Penh'	b'NA'	b'NA'	b'1977-02-18'	11.55	b'NA'	104.85	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-48991'	b'5'	1484	63	b'NA'	b'1:48991'	b'1965-03-04'	b'[]'	1	0	b'PHNOM-PENH (KHMOUGH)'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-48991_CEUAS_merged_v0.nc	
b''	b'[]'	23.27	-80.98773842527149	22.27	-82.07225957472852	b'Union de Reyes'	b'NA'	b'NA'	b'2003-08-26'	22.77	b'NA'	-81.53	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-78327'	b'5'	3861	63	b'NA'	78327	b'2003-08-26'	b'[]'	1	0	b'UNION DE REYES,  MATANZAS'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-78327_CEUAS_merged_v0.nc	
b''	b'[]'	17.049999237060547	105.2716094863709	16.049999237060547	104.2283905136291	b'Savannakhet'	b'NA'	b'NA'	b'1977-03-10'	16.55	b'NA'	104.75	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-48947'	b'5'	1476	63	b'NA'	b'1:48947'	b'1971-06-16'	b'[]'	1	0	b'SAVANNAKHET'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-48947_CEUAS_merged_v0.nc	
b''	b'[]'	10.270000457763672	161.47735949687373	9.270000457763672	160.46264294453252	b'Bairiki'	b'NA'	b'NA'	b'1958-07-10'	9.77	b'NA'	160.97	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-91354'	b'5'	4652	63	b'NA'	40607	b'1958-03-27'	b'[]'	1	0	b'UJELANG,  CAROLINE IS.'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-91354_CEUAS_merged_v0.nc	
b''	b'[]'	20.67	95.41266346797262	19.67	94.3473305320274	b'Minbu'	b'NA'	b'NA'	b'1981-04-28'	20.17	b'NA'	94.88	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-48064'	b'5'	2221	63	b'NA'	48064	b'1981-04-28'	b'[]'	1	0	b'MINBU'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-48064_CEUAS_merged_v0.nc	
b''	b'[]'	23.17	59.94186643373122	22.17	58.85813756626878	b'Sur'	b'NA'	b'NA'	b'2016-12-23'	22.67	b'NA'	59.4	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-41267'	b'5'	1550	63	b'NA'	41267	b'2016-12-23'	b'[]'	1	0	b'QALHAT'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-41267_CEUAS_merged_v0.nc	
