	stat	lat	lon	raw	adj
263	CHM00054662	38.9	121.63	-0.20197368421052658	-0.5764191923085775
264	CHM00054727	36.7	117.55	-0.22306064019250252	-0.5478652502148357
265	CHM00054776	37.4	122.68		
266	CHM00054823	36.683	116.98		
267	CHM00054857	36.0667	120.33	-0.22064896755162175	-0.3118296755450572
268	CHM00055299	31.4833	92.06	-0.05942857142857045	-0.05942857142857045
269	CHM00055591	29.6667	91.13	-0.18856533223932403	-0.34076362956655354
270	CHM00055664	28.633	87.08		
271	CHM00056004	33.95	92.61		
272	CHM00056029	33.0	96.95	-0.1547514530650363	-0.1547514530650363
273	CHM00056046	33.8	99.8		
274	CHM00056080	35.0	102.9	-0.029846582984658702	-0.31261125083080094
275	CHM00056096	33.383	104.91		
276	CHM00056137	31.15	97.16	-0.4782012009039161	-0.5712840010480166
277	CHM00056146	31.6167	100.0	-0.2246808510638287	-0.2246808510638287
278	CHM00056187	30.75	103.86	-0.25941512125534966	-0.08166243570843526
279	CHM00056247	29.967	99.06		
280	CHM00056294	30.667	104.01		
281	CHM00056312	29.5667	94.46		
282	CHM00056444	28.45	98.88		
283	CHM00056492	28.817	104.53		
284	CHM00056571	27.9	102.26	-0.3512747875354113	-0.4780481008902592
285	CHM00056651	26.867	100.23		
286	CHM00056691	26.8667	104.28	-0.2025245441795225	-0.3406443121055402
287	CHM00056739	24.9844	98.5	0.08626761423030327	-0.2341605258995139
288	CHM00056778	25.0167	102.68	-0.17645803698435225	-0.27931746025682036
289	CHM00056964	22.7667	100.98	0.1361516034985417	-0.30337522634612124
290	CHM00056985	23.4444	103.32	0.20833333333333404	-0.4356488984206634
291	CHM00056989	22.5	103.95		
292	CHM00057036	34.3	108.93		
293	CHM00057083	34.7167	113.65	-0.3661538461538469	-0.3727455576650028
294	CHM00057127	33.0667	107.03	-0.401690140845072	-0.36400032150912726
295	CHM00057131	34.4333	108.96	-0.4081690140845076	-0.40675400425015024
296	CHM00057178	33.1	112.48	-0.37198880406654705	-0.27863054889921873
297	CHM00057245	32.43	109.02		
298	CHM00057290	32.967	114.05		
299	CHM00057328	31.217	107.5		
300	CHM00057411	30.8	106.08		
301	CHM00057447	30.2833	109.46	-0.31404255319148927	-0.38374887452905804
302	CHM00057461	30.7333	111.36	-0.4221251819505092	-0.703965499411524
303	CHM00057494	30.6	114.05	-0.5170976923800058	-1.5207541893268472
304	CHM00057516	29.6	106.4	-0.2863247863247863	-0.2863247863247863
305	CHM00057679	28.2	113.08	-0.3781250000000004	-0.8517897519198676
306	CHM00057749	27.5667	110.0	-0.47327221438645944	-0.0756235830201756
307	CHM00057816	26.4833	106.65	-0.283880171184023	-0.19321774905823602
308	CHM00057957	25.3333	110.3	-0.3253561253561253	-0.3373972140146427
309	CHM00057972	25.7353	112.97	-0.4115275899625391	0.12618272665366714
310	CHM00057993	25.8667	115.0	-0.7015965166908572	-1.2792633366688593
311	CHM00058027	34.2833	117.15	-0.28401408450704213	-0.38359088736523517
312	CHM00058150	33.75	120.3	-0.19992795389048984	-0.4658715503703918
313	CHM00058203	32.8667	115.73	-0.4558189830560795	-0.4518084909724099
314	CHM00058238	31.9333	118.9	-0.4363636363636367	-0.5654438452287109
315	CHM00058362	31.4167	121.45	-0.35242165242165285	-0.33746193562477717
316	CHM00058424	30.6167	116.96	-0.40756914119359583	-0.6001882494797467
317	CHM00058457	30.2333	120.16	-0.4758815232722143	-0.4797097188629727
318	CHM00058606	28.6	115.91	-0.35310245310245336	-0.69888706399937
319	CHM00058633	28.9667	118.86	-0.539055776527852	-0.6898112503073539
320	CHM00058665	28.6167	121.41	-0.3963068181818175	-0.46905499371614995
321	CHM00058666	28.45	121.88		
322	CHM00058725	27.3333	117.46	-0.4154442877291955	-0.3621889531360134
323	CHM00058847	26.0833	119.28	-0.46750700280112056	-0.270610879849992
324	CHM00059023	24.7	108.03		
325	CHM00059096	24.367	114.48		
326	CHM00059134	24.4833	118.08	-0.3782303456510063	-0.4912539192799483
327	CHM00059211	23.9	106.6	-0.26511298572949804	0.3944707751947296
328	CHM00059265	23.4833	111.3	-0.4471590909090905	-0.6509762070395692
329	CHM00059280	23.7	113.08	-0.22582582582582608	-0.3373515727641618
330	CHM00059287	23.217	113.48		
331	CHM00059316	23.35	116.66	-0.4410563294316675	-0.6735195879869075
332	CHM00059431	22.6333	108.21	-0.3246043253287994	-0.6201947943598296
333	CHM00059644	21.4833	109.1		
334	CHM00059663	21.8333	111.96		
335	CHM00059758	20.0	110.25	-0.251403249630724	-0.07954155655697227
336	CHM00059948	18.2167	109.58		
337	CIM00085442	-23.4503	-70.44		
338	CIM00085469	-27.1606	-109.42		
339	CIM00085543	-32.78	-71.51		
340	CIM00085586	-33.6547	-71.61	0.3694560669456067	-0.3578574719289395
341	CIM00085799	-41.4347	-73.09		
342	CIM00085934	-53.0033	-70.84		
343	CJM00078384	19.2917	-81.35	1.0052168605638594	0.31534259298574774
344	CKM00096996	-12.1892	96.83		
345	CMM00064870	7.35	13.56		
346	CMM00064910	4.0167	9.7		
347	COM00080001	12.5833	-81.71		
348	COM00080035	11.5333	-72.93		
349	COM00080222	4.7	-74.15		
350	COM00080241	4.55	-70.91		
351	CSM00078762	9.9833	-84.18		
352	CTM00064650	4.4	18.51	0.6324324324324326	0.8027266218855648
353	CUM00078355	21.4	-77.85		
354	CUM00078367	19.9	-75.21		
355	CVM00008594	16.7419	-22.94		
356	CWM00091843	-21.2	-159.81		
357	CYM00017601	34.583	32.98		
358	CYM00017607	35.1408	33.39		
359	DAM00006181	55.767	12.53		
360	DRM00078486	18.4333	-69.88	0.6788888210720475	0.13009731716574133
361	ECM00084008	-0.9	-89.6		
362	ECM00084203	-2.1581	-79.88		
363	EGM00062306	31.3253	27.22		
364	EGM00062337	31.0733	33.83		
365	EGM00062378	29.8628	31.34		
366	EGM00062403	26.2003	32.74		
367	EGM00062414	23.9644	32.82		
368	EGM00062423	27.0583	27.98		
369	EIM00003953	51.9381	-10.24	-0.04133916019178687	-0.08742070316051391
370	ENM00026038	59.3981	24.6		
371	ERM00063021	15.283	38.91		
372	ETM00063450	9.0333	38.75		
373	EZM00011518	50.1	14.28		
374	EZM00011520	50.0078	14.44	0.15090655509065565	0.20181663864326665
375	EZM00011747	49.4525	17.13	0.04401114206128097	0.07545761915967732
376	FGM00081405	4.8222	-52.36	0.3501485884101046	0.17246304153507153
377	FIM00002836	67.3667	26.62	0.06042900311171022	0.06042900311171022
378	FIM00002935	62.3975	25.67		
379	FIM00002963	60.8139	23.49	0.10922190201729068	0.05164741713992676
380	FJM00091680	-17.75	177.45		
381	FKM00088889	-51.82	-58.44		
382	FKM00088890	-51.7	-57.86		
383	FMM00091334	7.45	151.83	-0.429875185485935	-0.46131249961910836
384	FMM00091348	6.95	158.2	-0.42120718777082505	-0.20045607101659277
385	FMM00091413	9.4833	138.06	-0.1903691813804176	-0.7134343669272646
386	FOM00006011	62.0231	-6.76	-0.055226824457594414	-0.7399813981216083
387	FPM00091925	-9.8061	-139.03		
388	FPM00091938	-17.5553	-149.61	-0.008646616541353725	-1.5163821388187257
389	FPM00091944	-18.067	-140.95		
390	FPM00091948	-23.1303	-134.96		
391	FPM00091952	-21.817	-138.8		
392	FPM00091954	-23.35	-149.48		
393	FPM00091958	-27.6183	-144.33		
394	FRM00007110	48.4442	-4.41	-0.21669229830228284	-0.24450839468149804
395	FRM00007145	48.7744	2.0	-0.1328527702366281	-0.004941351605470649
396	FRM00007180	48.6833	6.21		
397	FRM00007481	45.7264	5.07		
398	FRM00007510	44.8306	-0.69	0.018353501979677448	0.05096765155158675
399	FRM00007645	43.8569	4.4	-0.20849675197227344	-0.5725528093724679
400	FRM00007761	41.9181	8.79	-0.1994087837837838	-0.11427963875434761
401	FSM00061996	-37.7953	77.56		
402	FSM00061998	-49.3522	70.24		
403	GBM00064500	0.45	9.41		
404	GGM00037260	43.017	41.03		
405	GGM00037484	41.633	41.6		
406	GGM00037549	41.6833	44.95		
407	GIM00008495	36.15	-5.35	-0.0514492851908465	-0.0514492851908465
408	GLM00004202	76.533	-68.75		
409	GLM00004220	68.7081	-52.85	0.007348159936289237	-0.3386373452865751
410	GLM00004270	61.1667	-45.41	-0.0025477707006363905	0.5965523446441455
411	GLM00004310	81.6	-16.67		
412	GLM00004320	76.7694	-18.66	0.08239667908219206	-0.00661551987828652
413	GLM00004339	70.4844	-21.95	0.09053628722952047	0.09053628722952047
414	GLM00004360	65.6111	-37.63	0.22639347764312212	-0.4075385972320167
415	GMM00010035	54.5333	9.55	0.030965909090909106	-0.0546083060177869
416	GMM00010046	54.383	10.15		
417	GMM00010113	53.7139	7.15		
418	GMM00010184	54.0978	13.4	0.0008426966292144732	-0.3507112267312022
419	GMM00010200	53.3894	7.22	0.04793152639086981	-0.00445313718960564
420	GMM00010238	52.8153	9.92	0.02902298850574719	0.23753452958732046
421	GMM00010304	52.7156	7.31		
422	GMM00010307	52.267	7.43		
423	GMM00010338	52.467	9.7		
424	GMM00010384	52.483	13.41		
425	GMM00010410	51.4056	6.96	-0.0152173780358354	0.20326511548912793
426	GMM00010437	51.13	9.28		
427	GMM00010486	51.11	13.67		
428	GMM00010548	50.5617	10.37	0.03839779005524863	-0.06008189923197288
429	GMM00010618	49.6928	7.32	-0.08948948948948897	0.451126621005786
430	GMM00010771	49.4283	11.9	-0.012443778110945398	0.08147322212918
431	GMM00010828	48.1	9.25		
432	GMM00010866	48.354	11.78		
433	GMM00010868	48.2442	11.55	0.021307701697716654	-0.19820305926983214
434	GMM00010921	47.983	8.9		
435	GMM00010954	47.8342	10.86		
436	GPM00078897	16.2639	-61.51	-0.036904761904761496	-0.3072159124880435
